code	round	p_lot	scope	citing_coqs
iCoA-PP_26-104	retest	P050092	1 2 7	CoQ-PP_26-093
iCoA-PP_26-105	retest	P050152	1 2 7	CoQ-PP_26-094
iCoA-PP_26-106	retest	P050022	1 2 7	CoQ-PP_26-095
iCoA-PP_26-107	retest	P060352	1 2 7	CoQ-PP_26-091
iCoA-PP_26-109	retest	P050322	1 2 7	CoQ-PP_26-096
iCoA-PP_26-110	retest	HPA1024	1 2 7	CoQ-PP_26-097
iCoA-PP_26-111	retest	P050052	1 2 7	CoQ-PP_26-098
iCoA-PP_26-112	retest	P060152	1 2 7	CoQ-PP_26-099
iCoA-PP_26-113	retest	P060212	1 2 7	CoQ-PP_26-100
iCoA-PP_26-114	retest	OPM1024	1 2 7	CoQ-PP_26-101
iCoA-PP_26-115	retest	P050062	1 2 7	CoQ-PP_26-102
iCoA-PP_26-116	retest	P060242	1 2 7	CoQ-PP_26-103
iCoA-PP_26-117	retest	P060382	1 2 7	CoQ-PP_26-105
iCoA-PP_26-118	retest	P060062	1 2 7	CoQ-PP_26-104
iCoA-PP_26-120	initial	P060492	1 2 7	CoQ-PP_26-084
iCoA-PP_26-121	retest	P060122	1 2 7	CoQ-PP_26-106
iCoA-PP_26-122	retest	P050192	1 2 7	CoQ-PP_26-107
iCoA-PP_26-123	retest	P060132	1 2 7	CoQ-PP_26-109
iCoA-PP_26-124	retest	P050222	1 2 7	CoQ-PP_26-110
iCoA-PP_26-125	retest	P060022	1 2 7	CoQ-PP_26-111
iCoA-PP_26-126	retest	P060072	1 2 7	CoQ-PP_26-112
iCoA-PP_26-127	retest	P050282	1 2 7	CoQ-PP_26-113
iCoA-PP_26-128	retest	P060322	1 2 7	CoQ-PP_26-114
iCoA-PP_26-129	retest	GG1024	1 2 7	CoQ-PP_26-115
iCoA-PP_26-130	retest	P050302	1 2 7	CoQ-PP_26-116
iCoA-PP_26-131	retest	P050072	1 2 7	CoQ-PP_26-117
iCoA-PP_26-132	retest	P050312	1 2 7	CoQ-PP_26-118
iCoA-PP_26-133	retest	P060092	1 2 7	CoQ-PP_26-119
iCoA-PP_26-134	retest	P060182	1 2 7	CoQ-PP_26-120
iCoA-PP_26-135	retest	P050182	1 2 7	CoQ-PP_26-121
iCoA-PP_26-138	retest	P060362	7	CoQ-PP_26-122
iCoA-PP_26-139	retest	P060172	1 2 7	CoQ-PP_26-126
iCoA-PP_26-140	retest	P050112	1 2 7	CoQ-PP_26-127
iCoA-PP_26-141	retest	P060042	1 2 7	CoQ-PP_26-129
iCoA-PP_26-142	retest	P050042	1 2 7	CoQ-PP_26-128
iCoA-PP_26-143	retest	P060372	1 2 7	CoQ-PP_26-108
iCoA-PP_26-144	retest	—	1 2 7	— at issue —
iCoA-PP_26-145	retest	—	1 2 7	— at issue —
iCoA-PP_26-146	retest	P060492	1 2 7	CoQ-PP_26-125
iCoA-PP_26-147	retest	P050082	1 2 7	CoQ-PP_26-130
iCoA-PP_26-148	retest	P060232	1 2 7	CoQ-PP_26-131
iCoA-PP_26-149	retest	P060112	1 2 7	CoQ-PP_26-132
iCoA-PP_26-150	retest	P060282	1 2 7	CoQ-PP_26-133
iCoA-PP_26-151	retest	P060082	1 2 7	CoQ-PP_26-134
iCoA-PP_26-152	retest	P060012	1 2 7	CoQ-PP_26-135
iCoA-PP_26-153	retest	P050142	1 2 7	CoQ-PP_26-138
iCoA-PP_26-154	retest	P050102	1 2 7	CoQ-PP_26-151
iCoA-PP_26-155	retest	—	1 2 7	CoQ-PP_26-158
iCoA-PP_26-156	retest	P050272	1 2 7	CoQ-PP_26-159
iCoA-PP_26-157	retest	P060342	1 2 7	CoQ-PP_26-160
iCoA-PP_26-159	retest	—	1 2 7	CoQ-PP_26-162
iCoA-PP_26-160	retest	—	1 2 7	CoQ-PP_26-163
iCoA-PP_26-161	retest	P050262	1 2 7	CoQ-PP_26-164
iCoA-PP_26-162	retest	P060102	1 2 7	CoQ-PP_26-165
iCoA-PP_26-163	retest	P050012	1 2 7	CoQ-PP_26-147
iCoA-PP_26-164	retest	—	1 2 7	CoQ-PP_26-148
iCoA-PP_26-165	retest	P050202	1 2 7	CoQ-PP_26-149
iCoA-PP_26-166	retest	P050292	1 2 7	CoQ-PP_26-150
iCoA-PP_26-167	retest	P060142	1 2 7	CoQ-PP_26-152
iCoA-PP_26-168	retest	—	1 2 7	CoQ-PP_26-153
iCoA-PP_26-169	retest	—	1 2 7	CoQ-PP_26-154
iCoA-PP_26-170	retest	—	1 2 7	CoQ-PP_26-155
iCoA-PP_26-171	retest	P050032	1 2 7	CoQ-PP_26-156
iCoA-PP_26-172	retest	P050132	1 2 7	CoQ-PP_26-157
iCoA-PP_26-173	retest	P060052	1 2 7	CoQ-PP_26-136
iCoA-PP_26-174	retest	P050122	1 2 7	CoQ-PP_26-137
iCoA-PP_26-175	retest	—	1 2 7	CoQ-PP_26-139
iCoA-PP_26-176	retest	P050172	1 2 7	CoQ-PP_26-140
iCoA-PP_26-177	retest	P050252	1 2 7	CoQ-PP_26-141
iCoA-PP_26-178	retest	—	1 2 7	CoQ-PP_26-142
iCoA-PP_26-181	retest	—	1 2 7	CoQ-PP_26-145
iCoA-PP_26-182	retest	—	1 2 7	CoQ-PP_26-146
