tranche,p_lot,cultivation batch,strain,determination,printed line,finding,detail
1,P060212,JD112501,Jelly Donuts,10.1,Mycotoxins Микотоксини · Ph. Eur. 2.8.18 / 2.8.22 (HPLC-FLD) · Aflatoxin B1 | Афлатоксин B₁,blank,no transcribed result on the desk for this line
1,P060212,JD112501,Jelly Donuts,10.2,Mycotoxins Микотоксини · Ph. Eur. 2.8.18 / 2.8.22 (HPLC-FLD) · Aflatoxins ∑ | Афлатоксини ∑ (B1+B2+G1+G2),blank,no transcribed result on the desk for this line
1,P060212,JD112501,Jelly Donuts,10.3,Mycotoxins Микотоксини · Ph. Eur. 2.8.18 / 2.8.22 (HPLC-FLD) · Ochratoxin A | Охратоксин A,blank,no transcribed result on the desk for this line
1,P060212,JD112501,Jelly Donuts,11.1,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Lead (Pb) | Олово,blank,no transcribed result on the desk for this line
1,P060212,JD112501,Jelly Donuts,11.2,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Cadmium (Cd) | Кадмиум,blank,no transcribed result on the desk for this line
1,P060212,JD112501,Jelly Donuts,11.3,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Arsenic (As) | Арсен,blank,no transcribed result on the desk for this line
1,P060212,JD112501,Jelly Donuts,11.4,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Mercury (Hg) | Жива,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,9.1,Microbiological Purity Микробиолошка Чистота · Ph. Eur. 2.6.12 / 2.6.13 / 2.6.31 cat. C · TAMC | Вкупен аеробен микробен број,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,9.2,Microbiological Purity Микробиолошка Чистота · Ph. Eur. 2.6.12 / 2.6.13 / 2.6.31 cat. C · TYMC | Вкупен број квасци/мувли,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,9.3,Microbiological Purity Микробиолошка Чистота · Ph. Eur. 2.6.12 / 2.6.13 / 2.6.31 cat. C · Bile-tolerant gram-neg. | Жолчно-толерантни грам-нег.,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,9.4,Microbiological Purity Микробиолошка Чистота · Ph. Eur. 2.6.12 / 2.6.13 / 2.6.31 cat. C · Salmonella | Салмонела,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,9.5,Microbiological Purity Микробиолошка Чистота · Ph. Eur. 2.6.12 / 2.6.13 / 2.6.31 cat. C · Escherichia coli | Ешерихија коли,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,10.1,Mycotoxins Микотоксини · Ph. Eur. 2.8.18 / 2.8.22 (HPLC-FLD) · Aflatoxin B1 | Афлатоксин B₁,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,10.2,Mycotoxins Микотоксини · Ph. Eur. 2.8.18 / 2.8.22 (HPLC-FLD) · Aflatoxins ∑ | Афлатоксини ∑ (B1+B2+G1+G2),blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,10.3,Mycotoxins Микотоксини · Ph. Eur. 2.8.18 / 2.8.22 (HPLC-FLD) · Ochratoxin A | Охратоксин A,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,11.1,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Lead (Pb) | Олово,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,11.2,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Cadmium (Cd) | Кадмиум,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,11.3,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Arsenic (As) | Арсен,blank,no transcribed result on the desk for this line
2,P060172,KC102501,Kush Crasher,11.4,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Mercury (Hg) | Жива,blank,no transcribed result on the desk for this line
2,P060082,SJ092501,Sleepy Joe,1,"Identification A, Appearance Идентиф. A, Изглед · Макроскопски",blank,no transcribed result on the desk for this line
2,P060082,SJ092501,Sleepy Joe,2,Identification B Идентиф. Б · Микроскопски,blank,no transcribed result on the desk for this line
2,P060082,SJ092501,Sleepy Joe,7,Foreign Matter Страни материи,blank,no transcribed result on the desk for this line
