p_lot	cultivation_batch	laboratory	parameters	certificates waiting on it
P060362	JD012603/01	Farmahem (LoD, loss on drying)	Loss on drying	CoQ-PP_26-071
P060362	JD012603/01	IPH contaminants (IJZ)	Lead, Cadmium, Arsenic, Mercury, Pesticide residues	CoQ-PP_26-071
P060372	CC012603	Farmahem (LoD, loss on drying)	Loss on drying	CoQ-PP_26-072
P060372	CC012603	IPH contaminants (IJZ)	Lead, Cadmium, Arsenic, Mercury, Pesticide residues	CoQ-PP_26-072
