CoQ code,Series,Register status,Date of issue,Supersedes,Plan no.,Batch (cultivation),P lot,Strain,Harvest,Packaging,Manuf. date (template),Pack. date (template),iCoA code,iCoA issued,iCoA tested / sampled,Retest campaign,Total THC (%),THC certificate,Grade,Potency window,Product code,Specification code,Specification status,Phenotype,Chemotype,Processing,Dominance,Packaging (spec.),Latest external certificate,#1 result,#1 document,#1 issued,#1 laboratory,#2 result,#2 document,#2 issued,#2 laboratory,#3 result,#3 document,#3 issued,#3 laboratory,#4 result,#4 document,#4 issued,#4 laboratory,#5 result,#5 document,#5 issued,#5 laboratory,#6 result,#6 document,#6 issued,#6 laboratory,#7 result,#7 document,#7 issued,#7 laboratory,#8 result,#8 document,#8 issued,#8 laboratory,#9.1 result,#9.1 document,#9.1 issued,#9.1 laboratory,#9.2 result,#9.2 document,#9.2 issued,#9.2 laboratory,#9.3 result,#9.3 document,#9.3 issued,#9.3 laboratory,#9.4 result,#9.4 document,#9.4 issued,#9.4 laboratory,#9.5 result,#9.5 document,#9.5 issued,#9.5 laboratory,#9.6 result,#9.6 document,#9.6 issued,#9.6 laboratory,#9.7 result,#9.7 document,#9.7 issued,#9.7 laboratory,#10.1 result,#10.1 document,#10.1 issued,#10.1 laboratory,#10.2 result,#10.2 document,#10.2 issued,#10.2 laboratory,#10.3 result,#10.3 document,#10.3 issued,#10.3 laboratory,#11.1 result,#11.1 document,#11.1 issued,#11.1 laboratory,#11.2 result,#11.2 document,#11.2 issued,#11.2 laboratory,#11.3 result,#11.3 document,#11.3 issued,#11.3 laboratory,#11.4 result,#11.4 document,#11.4 issued,#11.4 laboratory,#12 result,#12 document,#12 issued,#12 laboratory
CoQ-PP_26-026,release,issuable,06.06.2026,n/a — release certificate,(assigned on issue),GP062501,P050202,Grape Pie,15.09.2025 – 17.09.2025,30.10.2025 – 07.11.2025,—,—,iCoA-PP_26-025,03.06.2026,30.10.2025,—,24.89,iCoA-PP_26-025,II,22.00 – 25.99 %,GP_THC24 : CBD1,QCSP_001_GP-II_v.01,"for review — replaces the issued QCSP_001_GP-II_v.01 (was GP_THC26 : CBD1, 25.40 – 26.60 %); now GP_THC24 : CBD1 22.00 – 25.99 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",28.11.2025,Conforms | Одговара,iCoA-PP_26-025,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-025,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,24.89,iCoA-PP_26-025,03.06.2026,Purely Plant GmbH (in-house),0.17,iCoA-PP_26-025,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-025,03.06.2026,Purely Plant GmbH (in-house),"8.19 (avg of 4 weighings 51-1,51-2,52-1,52-2)",iCoA-PP_26-025,03.06.2026,Purely Plant GmbH (in-house),1.3 × 10⁴,1009/1813/25,08.10.2025,IPH — Institute of Public Health,4.2 × 10³,1009/1813/25,08.10.2025,IPH — Institute of Public Health,< 10³ and > 10²,1009/1813/25,08.10.2025,IPH — Institute of Public Health,Absent | Отсутна,1009/1813/25,08.10.2025,IPH — Institute of Public Health,Absent | Отсутна,1009/1813/25,08.10.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,4762/2025,08.10.2025,IPH — Institute of Public Health,not tested,—,—,—,0.077,4762/2025,08.10.2025,IPH — Institute of Public Health,0.014,4762/2025,08.10.2025,IPH — Institute of Public Health,0.024,4762/2025,08.10.2025,IPH — Institute of Public Health,0.011,4762/2025,08.10.2025,IPH — Institute of Public Health,ND,4762/2025,08.10.2025,IPH — Institute of Public Health
CoQ-PP_26-027,release,issuable,06.06.2026,n/a — release certificate,(assigned on issue),CJ062501-2,P050212,Cap Junky,23.09.2025 – 24.09.2025,18.11.2025 – 24.11.2025,—,—,iCoA-PP_26-026,03.06.2026,18.11.2025,—,16.56,ППК25322,IV,15.60 – 18.39 %,CJ_THC17 : CBD1,QCSP_001_CJ-IV_v.01,"for review — replaces the issued QCSP_001_CJ-IV_v.01 (was CJ_THC20 : CBD1, 18.00 – 22.00 %); now CJ_THC17 : CBD1 15.60 – 18.39 %",HYBRID,THC,MACHINE TRIMMED,INDICA 60 : SATIVA 40,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",24.10.2025,Conforms | Одговара,iCoA-PP_26-026,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-026,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25322,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,16.56,ППК25322,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.14,ППК25322,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,< LOQ ᴰ,ППК25322,23.10.2025,CNP,Conforms | Одговара,iCoA-PP_26-026,03.06.2026,Purely Plant GmbH (in-house),6.70,ППК25322,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,2.2 × 10⁴,1032/1851/25,17.10.2025,IPH — Institute of Public Health,4.9 × 10⁴,1032/1851/25,17.10.2025,IPH — Institute of Public Health,< 10⁴ and > 10³,1032/1851/25,17.10.2025,IPH — Institute of Public Health,Absent | Отсутна,1032/1851/25,17.10.2025,IPH — Institute of Public Health,Absent | Отсутна,1032/1851/25,17.10.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,4908/2025,24.10.2025,IPH — Institute of Public Health,not tested,—,—,—,0.026,4908/2025,24.10.2025,IPH — Institute of Public Health,0.002,4908/2025,24.10.2025,IPH — Institute of Public Health,0.011,4908/2025,24.10.2025,IPH — Institute of Public Health,0.012,4908/2025,24.10.2025,IPH — Institute of Public Health,ND,4908/2025,24.10.2025,IPH — Institute of Public Health
CoQ-PP_26-028,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0018,CJ062501/1,P050222,Cap Junky,23.09.2025,24.11.2025 – 25.11.2025,23.09.2025,24.11.2025,iCoA-PP_26-027,03.06.2026,24.11.2025,—,21.51,ППК25321,III,18.40 – 21.59 %,CJ_THC20 : CBD1,QCSP_001_CJ-III_v.01,"for review — replaces the issued QCSP_001_CJ-III_v.01 (was CJ_THC24 : CBD1, 23.00 – 25.00 %); now CJ_THC20 : CBD1 18.40 – 21.59 %",HYBRID,THC,MACHINE TRIMMED,INDICA 60 : SATIVA 40,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",01.12.2025,Conforms | Одговара,iCoA-PP_26-027,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-027,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25321,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,21.51,ППК25321,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.07,ППК25321,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.02 ᴰ,ППК25321,23.10.2025,CNP,Conforms | Одговара,iCoA-PP_26-027,03.06.2026,Purely Plant GmbH (in-house),7.77,ППК25321,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,< 10,1217/2168/25,01.12.2025,IPH — Institute of Public Health,20,1217/2168/25,01.12.2025,IPH — Institute of Public Health,< 10,1217/2168/25,01.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1217/2168/25,01.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1217/2168/25,01.12.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,4907/2025,24.10.2025,IPH — Institute of Public Health,not tested,—,—,—,0.037,4907/2025,24.10.2025,IPH — Institute of Public Health,0.002,4907/2025,24.10.2025,IPH — Institute of Public Health,0.027,4907/2025,24.10.2025,IPH — Institute of Public Health,0.017,4907/2025,24.10.2025,IPH — Institute of Public Health,ND,4907/2025,24.10.2025,IPH — Institute of Public Health
CoQ-PP_26-029,release,issuable,06.06.2026,n/a — release certificate,(assigned on issue),CJ072501,P050252,Cap Junky,27.10.2025,27.11.2025 – 28.11.2025,—,—,iCoA-PP_26-028,03.06.2026,27.11.2025,—,23.70,ППК25367,II,21.60 – 26.39 %,CJ_THC24 : CBD1,QCSP_001_CJ-II_v.01,"for review — replaces the issued QCSP_001_CJ-II_v.01 (was CJ_THC26 : CBD1, 25.01 – 26.99 %); now CJ_THC24 : CBD1 21.60 – 26.39 %",HYBRID,THC,MACHINE TRIMMED,INDICA 60 : SATIVA 40,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",02.12.2025,Conforms | Одговара,iCoA-PP_26-028,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-028,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25367,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,23.70,ППК25367,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.09,ППК25367,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-028,03.06.2026,Purely Plant GmbH (in-house),8.22,ППК25367,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,4.5 × 10³,1218/2169/25,01.12.2025,IPH — Institute of Public Health,3.5 × 10³,1218/2169/25,01.12.2025,IPH — Institute of Public Health,< 10,1218/2169/25,01.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1218/2169/25,01.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1218/2169/25,01.12.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,5697/2025,02.12.2025,IPH — Institute of Public Health,not tested,—,—,—,0.013,5697/2025,02.12.2025,IPH — Institute of Public Health,0.004,5697/2025,02.12.2025,IPH — Institute of Public Health,0.011,5697/2025,02.12.2025,IPH — Institute of Public Health,0.002,5697/2025,02.12.2025,IPH — Institute of Public Health,ND,5697/2025,02.12.2025,IPH — Institute of Public Health
CoQ-PP_26-030,release,issuable,06.06.2026,n/a — release certificate,(assigned on issue),WC072501,P050262,Wedding Crusher,27.10.2025 – 28.10.2025,01.12.2025,—,—,iCoA-PP_26-029,03.06.2026,01.12.2025,—,22.11,ППК25369,II,20.60 – 23.39 %,WC_THC22 : CBD1,QCSP_001_WC-II_v.01,"for review — replaces the issued QCSP_001_WC-II_v.01 (was WC_THC22.5:CBD1, 22.50% ± 2.50%); now WC_THC22 : CBD1 20.60 – 23.39 %",HYBRID,THC,MACHINE TRIMMED,TO BE DETERMINED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",02.12.2025,Conforms | Одговара,iCoA-PP_26-029,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-029,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25369,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,22.11,ППК25369,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.06,ППК25369,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-029,03.06.2026,Purely Plant GmbH (in-house),8.94,ППК25369,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,100,1221/2172/25,01.12.2025,IPH — Institute of Public Health,90,1221/2172/25,01.12.2025,IPH — Institute of Public Health,< 10,1221/2172/25,01.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1221/2172/25,01.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1221/2172/25,01.12.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,5699/2025,02.12.2025,IPH — Institute of Public Health,not tested,—,—,—,0.023,5699/2025,02.12.2025,IPH — Institute of Public Health,0.005,5699/2025,02.12.2025,IPH — Institute of Public Health,0.006,5699/2025,02.12.2025,IPH — Institute of Public Health,0.01,5699/2025,02.12.2025,IPH — Institute of Public Health,ND,5699/2025,02.12.2025,IPH — Institute of Public Health
CoQ-PP_26-031,release,issuable,06.06.2026,n/a — release certificate,(assigned on issue),PM072501,P050272,Permanent Marker,27.10.2025,02.12.2025 – 03.12.2025,—,—,iCoA-PP_26-030,03.06.2026,02.12.2025,—,10.01,ППК25368,III,9.00 – 10.99 %,PM_THC10 : CBD1,QCSP_001_PM-III_v.01,"for review — replaces the issued QCSP_001_PM-III_v.01 (was PM_THC16.5:CBD1, 16.50% ± 2.50%); now PM_THC10 : CBD1 9.00 – 10.99 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",02.12.2025,Conforms | Одговара,iCoA-PP_26-030,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-030,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25368,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,10.01,ППК25368,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.04,ППК25368,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-030,03.06.2026,Purely Plant GmbH (in-house),9.52,ППК25368,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,110,1220/2171/25,01.12.2025,IPH — Institute of Public Health,200,1220/2171/25,01.12.2025,IPH — Institute of Public Health,< 10,1220/2171/25,01.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1220/2171/25,01.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1220/2171/25,01.12.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,5698/2025,02.12.2025,IPH — Institute of Public Health,not tested,—,—,—,0.021,5698/2025,02.12.2025,IPH — Institute of Public Health,0.001,5698/2025,02.12.2025,IPH — Institute of Public Health,0.012,5698/2025,02.12.2025,IPH — Institute of Public Health,0.003,5698/2025,02.12.2025,IPH — Institute of Public Health,ND,5698/2025,02.12.2025,IPH — Institute of Public Health
CoQ-PP_26-032,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0019,CLE072501,P050282,Clemosa A Bud,28.10.2025,03.12.2025 – 04.12.2025,28.10.2025,03.12.2025,iCoA-PP_26-031,03.06.2026,03.12.2025,—,8.02,ППК25370,I,7.20 – 8.79 %,CLE_THC8 : CBD1,QCSP_001_CLE-I_v.01,"for review — replaces the issued QCSP_001_CLE-I_v.01 (was CLE_THC8 : CBD1, 7.20 – 8.80 %); now CLE_THC8 : CBD1 7.20 – 8.79 %",HYBRID,THC,MACHINE TRIMMED,TO BE DETERMINED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",21.01.2026,Conforms | Одговара,iCoA-PP_26-031,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-031,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25370,28.11.2025,CNP,8.02,ППК25370,28.11.2025,CNP,0.04,ППК25370,28.11.2025,CNP,< LOQ ᴰ,ППК25370,28.11.2025,CNP,Conforms | Одговара,iCoA-PP_26-031,03.06.2026,Purely Plant GmbH (in-house),9.68,ППК25370,28.11.2025,CNP,< 10,1219/2170/25,01.12.2025,IPH — Institute of Public Health,< 10,1219/2170/25,01.12.2025,IPH — Institute of Public Health,< 10,1219/2170/25,01.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1219/2170/25,01.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1219/2170/25,01.12.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,2.2,5700/2025,02.12.2025,IPH — Institute of Public Health,not tested,—,—,—,0.032,5700/2025,02.12.2025,IPH — Institute of Public Health,0.002,5700/2025,02.12.2025,IPH — Institute of Public Health,0.013,5700/2025,02.12.2025,IPH — Institute of Public Health,0.021,5700/2025,02.12.2025,IPH — Institute of Public Health,ND,5700/2025,02.12.2025,IPH — Institute of Public Health
CoQ-PP_26-033,release,issuable,06.06.2026,n/a — release certificate,(assigned on issue),GP072501-1,P050292,Grape Pie,11.11.2025 – 13.11.2025,15.12.2025 – 21.12.2025,—,—,iCoA-PP_26-032,03.06.2026,15.12.2025,—,21.36,ППК25378,III,18.00 – 21.99 %,GP_THC20 : CBD1,QCSP_001_GP-III_v.01,"for review — replaces the issued QCSP_001_GP-III_v.01 (was GP_THC24 : CBD1, 22.61 – 25.39 %); now GP_THC20 : CBD1 18.00 – 21.99 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",21.01.2026,Conforms | Одговара,iCoA-PP_26-032,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-032,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25378,12.12.2025,UKIM Faculty of Pharmacy — Center for Natural Products,21.36,ППК25378,12.12.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.11,ППК25378,12.12.2025,UKIM Faculty of Pharmacy — Center for Natural Products,not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-032,03.06.2026,Purely Plant GmbH (in-house),6.62,ППК25378,12.12.2025,UKIM Faculty of Pharmacy — Center for Natural Products,6 × 10³,1228/2194/25,05.12.2025,IPH — Institute of Public Health,6.5 × 10³,1228/2194/25,05.12.2025,IPH — Institute of Public Health,< 10,1228/2194/25,05.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1228/2194/25,05.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1228/2194/25,05.12.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,5886/2025,12.12.2025,IPH — Institute of Public Health,not tested,—,—,—,0.028,5886/2025,12.12.2025,IPH — Institute of Public Health,0.003,5886/2025,12.12.2025,IPH — Institute of Public Health,0.03,5886/2025,12.12.2025,IPH — Institute of Public Health,0.025,5886/2025,12.12.2025,IPH — Institute of Public Health,ND,5886/2025,12.12.2025,IPH — Institute of Public Health
CoQ-PP_26-034,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0020,GP072501/2,P050302,Grape Pie,13.11.2025,22.12.2025,13.11.2025,22.12.2025,iCoA-PP_26-033,03.06.2026,22.12.2025,—,19.81,ППК25379,III,18.00 – 21.99 %,GP_THC20 : CBD1,QCSP_001_GP-III_v.01,"for review — replaces the issued QCSP_001_GP-III_v.01 (was GP_THC24 : CBD1, 22.61 – 25.39 %); now GP_THC20 : CBD1 18.00 – 21.99 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",21.01.2026,Conforms | Одговара,iCoA-PP_26-033,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-033,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25379,12.12.2025,CNP,19.81,ППК25379,12.12.2025,CNP,0.10,ППК25379,12.12.2025,CNP,0.03 ᴰ,ППК25379,12.12.2025,CNP,Conforms | Одговара,iCoA-PP_26-033,03.06.2026,Purely Plant GmbH (in-house),7.41,ППК25379,12.12.2025,CNP,2 × 10²,1229/2195/25,05.12.2025,IPH — Institute of Public Health,3 × 10²,1229/2195/25,05.12.2025,IPH — Institute of Public Health,< 10,1229/2195/25,05.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1229/2195/25,05.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1229/2195/25,05.12.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,5887/2025,12.12.2025,IPH — Institute of Public Health,not tested,—,—,—,0.017,5887/2025,12.12.2025,IPH — Institute of Public Health,0.0028,5887/2025,12.12.2025,IPH — Institute of Public Health,0.02,5887/2025,12.12.2025,IPH — Institute of Public Health,0.019,5887/2025,12.12.2025,IPH — Institute of Public Health,ND,5887/2025,12.12.2025,IPH — Institute of Public Health
CoQ-PP_26-035,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0021,GP082501/1,P050312,Grape Pie,19.11.2025 – 20.11.2025,23.12.2025 – 26.12.2025,19.11.2025,23.12.2025,iCoA-PP_26-034,03.06.2026,23.12.2025,—,21.29,ППК25380,III,18.00 – 21.99 %,GP_THC20 : CBD1,QCSP_001_GP-III_v.01,"for review — replaces the issued QCSP_001_GP-III_v.01 (was GP_THC24 : CBD1, 22.61 – 25.39 %); now GP_THC20 : CBD1 18.00 – 21.99 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",21.01.2026,Conforms | Одговара,iCoA-PP_26-034,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-034,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25380,12.12.2025,CNP,21.29,ППК25380,12.12.2025,CNP,0.08,ППК25380,12.12.2025,CNP,0.03 ᴰ,ППК25380,12.12.2025,CNP,Conforms | Одговара,iCoA-PP_26-034,03.06.2026,Purely Plant GmbH (in-house),6.29,ППК25380,12.12.2025,CNP,4.3 × 10²,1226/2192/25,05.12.2025,IPH — Institute of Public Health,1 × 10³,1226/2192/25,05.12.2025,IPH — Institute of Public Health,< 10³ and > 10²,1226/2192/25,05.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1226/2192/25,05.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1226/2192/25,05.12.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,5888/2025,12.12.2025,IPH — Institute of Public Health,not tested,—,—,—,0.014,5888/2025,12.12.2025,IPH — Institute of Public Health,0.003,5888/2025,12.12.2025,IPH — Institute of Public Health,0.02,5888/2025,12.12.2025,IPH — Institute of Public Health,0.017,5888/2025,12.12.2025,IPH — Institute of Public Health,ND,5888/2025,12.12.2025,IPH — Institute of Public Health
CoQ-PP_26-036,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0022,GP082501/2,P050322,Grape Pie,20.11.2025,26.12.2025,20.11.2025,26.12.2025,iCoA-PP_26-035,03.06.2026,26.12.2025,—,14.83,ППК25381,IV,14.40 – 17.59 %,GP_THC16 : CBD1,QCSP_001_GP-IV_v.01,"for review — replaces the issued QCSP_001_GP-IV_v.01 (was GP_THC20 : CBD1, 18.00 – 22.00 %); now GP_THC16 : CBD1 14.40 – 17.59 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",21.01.2026,Conforms | Одговара,iCoA-PP_26-035,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-035,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25381,12.12.2025,CNP,14.83,ППК25381,12.12.2025,CNP,0.11,ППК25381,12.12.2025,CNP,0.02 ᴰ,ППК25381,12.12.2025,CNP,Conforms | Одговара,iCoA-PP_26-035,03.06.2026,Purely Plant GmbH (in-house),6.88,ППК25381,12.12.2025,CNP,3.2 × 10³,1227/2193/25,05.12.2025,IPH — Institute of Public Health,5.8 × 10³,1227/2193/25,05.12.2025,IPH — Institute of Public Health,< 10⁴ and > 10³,1227/2193/25,05.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1227/2193/25,05.12.2025,IPH — Institute of Public Health,Absent | Отсутна,1227/2193/25,05.12.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,5889/2025,12.12.2025,IPH — Institute of Public Health,not tested,—,—,—,0.013,5889/2025,12.12.2025,IPH — Institute of Public Health,0.003,5889/2025,12.12.2025,IPH — Institute of Public Health,0.02,5889/2025,12.12.2025,IPH — Institute of Public Health,0.016,5889/2025,12.12.2025,IPH — Institute of Public Health,ND,5889/2025,12.12.2025,IPH — Institute of Public Health
CoQ-PP_26-037,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2026-0001,WC082501,P060012,Wedding Crusher,09.12.2025,13.01.2026 – 14.01.2026,09.12.2025,13.01.2026,iCoA-PP_26-036,03.06.2026,13.01.2026,—,21.67,ППК26001,II,20.60 – 23.39 %,WC_THC22 : CBD1,QCSP_001_WC-II_v.01,"for review — replaces the issued QCSP_001_WC-II_v.01 (was WC_THC22.5:CBD1, 22.50% ± 2.50%); now WC_THC22 : CBD1 20.60 – 23.39 %",HYBRID,THC,MACHINE TRIMMED,TO BE DETERMINED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",02.02.2026,Conforms | Одговара,iCoA-PP_26-036,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-036,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК26001,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,21.67,ППК26001,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,0.08,ППК26001,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,0.02 ᴰ,ППК26001,21.01.2026,CNP,Conforms | Одговара,iCoA-PP_26-036,03.06.2026,Purely Plant GmbH (in-house),7.50,ППК26001,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,10,3/0006/26,20.01.2026,IPH — Institute of Public Health,30,3/0006/26,20.01.2026,IPH — Institute of Public Health,< 10,3/0006/26,20.01.2026,IPH — Institute of Public Health,Absent | Отсутна,3/0006/26,20.01.2026,IPH — Institute of Public Health,Absent | Отсутна,3/0006/26,20.01.2026,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,80/2026,02.02.2026,IPH — Institute of Public Health,not tested,—,—,—,ND,80/2026,02.02.2026,IPH — Institute of Public Health,ND,80/2026,02.02.2026,IPH — Institute of Public Health,ND,80/2026,02.02.2026,IPH — Institute of Public Health,ND,80/2026,02.02.2026,IPH — Institute of Public Health,ND,80/2026,02.02.2026,IPH — Institute of Public Health
