tranche	status	coq	p_lot	cultivation_batch	issued	date_before	date_after	row	parameter	before	before_source	after	after_source
T1	proposed	CoQ-PP_26-070	P060352	FB012602	yes	06.06.2026	07.08.2026	6	Total CBN	[ — ]		< LOQ	197-7-К/26
T1	proposed	CoQ-PP_26-070	P060352	FB012602	yes	06.06.2026	07.08.2026	8	Loss on drying	[ — ]		n/t	
T1	proposed	CoQ-PP_26-070	P060352	FB012602	yes	06.06.2026	07.08.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T1	proposed	CoQ-PP_26-070	P060352	FB012602	yes	06.06.2026	07.08.2026	10.2	Aflatoxins total	[ — ]		n/t	
T1	proposed	CoQ-PP_26-070	P060352	FB012602	yes	06.06.2026	07.08.2026	10.3	Ochratoxin A	[ — ]		n/t	
T1	proposed	CoQ-PP_26-070	P060352	FB012602	yes	06.06.2026	07.08.2026	11.1	Lead	[ — ]		n/t	
T1	proposed	CoQ-PP_26-070	P060352	FB012602	yes	06.06.2026	07.08.2026	11.2	Cadmium	[ — ]		n/t	
T1	proposed	CoQ-PP_26-070	P060352	FB012602	yes	06.06.2026	07.08.2026	11.3	Arsenic	[ — ]		n/t	
T1	proposed	CoQ-PP_26-070	P060352	FB012602	yes	06.06.2026	07.08.2026	11.4	Mercury	[ — ]		n/t	
T1	proposed	CoQ-PP_26-070	P060352	FB012602	yes	06.06.2026	07.08.2026	12	Pesticide residues	[ — ]		n/t	
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	3	Identification C (HPLC)	[ — ]		Conforms	197-21-К/26
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	4	Total THC	[ — ]		17.84	197-21-К/26
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	5	Total CBD	[ — ]		< LOQ	197-21-К/26
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	6	Total CBN	[ — ]		< LOQ	197-21-К/26
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	8	Loss on drying	[ — ]		n/t	
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	10.2	Aflatoxins total	[ — ]		n/t	
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	10.3	Ochratoxin A	[ — ]		n/t	
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	11.1	Lead	[ — ]		n/t	
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	11.2	Cadmium	[ — ]		n/t	
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	11.3	Arsenic	[ — ]		n/t	
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	11.4	Mercury	[ — ]		n/t	
T1	proposed	CoQ-PP_26-074	P060382	SCR012603	yes	06.06.2026	07.08.2026	12	Pesticide residues	[ — ]		n/t	
T1	proposed	CoQ-PP_26-077	P060402	GG012603	yes	07.07.2026	07.07.2026	1	Identification A	Conforms	iCoA-PP_26-077	Conforms	ППК26114
T1	proposed	CoQ-PP_26-077	P060402	GG012603	yes	07.07.2026	07.07.2026	2	Identification B	Conforms	iCoA-PP_26-077	Conforms	ППК26114
T1	proposed	CoQ-PP_26-077	P060402	GG012603	yes	07.07.2026	07.07.2026	7	Foreign matter	Conforms	iCoA-PP_26-077	Conforms	ППК26114
T1	proposed	CoQ-PP_26-077	P060402	GG012603	yes	07.07.2026	07.07.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T1	proposed	CoQ-PP_26-077	P060402	GG012603	yes	07.07.2026	07.07.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-004	GG1024	GG1024	yes	06.06.2026	25.08.2026	3	Identification C (HPLC)	[ — ]		Conforms	220-9-К/26
T2	proposed	CoQ-PP_26-004	GG1024	GG1024	yes	06.06.2026	25.08.2026	4	Total THC	[ — ]		15.51	220-9-К/26
T2	proposed	CoQ-PP_26-004	GG1024	GG1024	yes	06.06.2026	25.08.2026	5	Total CBD	[ — ]		< LOQ	220-9-К/26
T2	proposed	CoQ-PP_26-004	GG1024	GG1024	yes	06.06.2026	25.08.2026	6	Total CBN	[ — ]		< LOQ	220-9-К/26
T2	proposed	CoQ-PP_26-004	GG1024	GG1024	yes	06.06.2026	25.08.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-004	GG1024	GG1024	yes	06.06.2026	25.08.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-010	P050042	OMP1024_01	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-010	P050042	OMP1024_01	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-013	P050072	GP0824_03	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T2	proposed	CoQ-PP_26-013	P050072	GP0824_03	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T2	proposed	CoQ-PP_26-014	P050082	OPM1024_03	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
