tranche	status	coq	p_lot	cultivation_batch	issued	date_before	date_after	row	parameter	before	before_source	after	after_source
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	12	Pesticide residues	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	grade	grade	—		I	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	spec	spec	—		QCSP_001_BSS-I_v.01	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	pcode	pcode	—		BSS_THC28 : CBD1	
T3	applied 26.09	CoQ-PP_26-023	P050172	CJ052501-2	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-023	P050172	CJ052501-2	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-026	P050202	GP062501	no	06.06.2026	11.09.2026	3	Identification C (HPLC)	[ — ]		Conforms	227-18-К/26
T3	applied 26.09	CoQ-PP_26-026	P050202	GP062501	no	06.06.2026	11.09.2026	6	Total CBN	[ — ]		[pending]	
T3	applied 26.09	CoQ-PP_26-026	P050202	GP062501	no	06.06.2026	11.09.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-026	P050202	GP062501	no	06.06.2026	11.09.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-029	P050252	CJ072501	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-029	P050252	CJ072501	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-030	P050262	WC072501	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-030	P050262	WC072501	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-031	P050272	PM072501	no	06.06.2026	11.09.2026	6	Total CBN	[ — ]		< LOQ	227-9-К/26
T3	applied 26.09	CoQ-PP_26-031	P050272	PM072501	no	06.06.2026	11.09.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-031	P050272	PM072501	no	06.06.2026	11.09.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-033	P050292	GP072501-1	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-033	P050292	GP072501-1	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-041	P060052	AB092501	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-041	P060052	AB092501	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-046	P060102	WED102501	no	06.06.2026	01.09.2026	9.1	TAMC	[ — ]		< 10	551/1082/26
T3	applied 26.09	CoQ-PP_26-046	P060102	WED102501	no	06.06.2026	01.09.2026	9.2	TYMC	[ — ]		< 10	551/1082/26
T3	applied 26.09	CoQ-PP_26-046	P060102	WED102501	no	06.06.2026	01.09.2026	9.3	Bile-tolerant GNB	[ — ]		< 10	551/1082/26
T3	applied 26.09	CoQ-PP_26-046	P060102	WED102501	no	06.06.2026	01.09.2026	9.4	Salmonella	[ — ]		Absent	551/1082/26
T3	applied 26.09	CoQ-PP_26-046	P060102	WED102501	no	06.06.2026	01.09.2026	9.5	E. coli	[ — ]		Absent	551/1082/26
T3	applied 26.09	CoQ-PP_26-046	P060102	WED102501	no	06.06.2026	01.09.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-046	P060102	WED102501	no	06.06.2026	01.09.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	3	Identification C (HPLC)	[ — ]		Conforms	227-16-К/26
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	4	Total THC	[ — ]		7.50	227-16-К/26
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	5	Total CBD	[ — ]		< LOQ	227-16-К/26
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	6	Total CBN	[ — ]		< LOQ	227-16-К/26
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	8	Loss on drying	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	9.1	TAMC	[ — ]		10	550/1081/26
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	9.2	TYMC	[ — ]		< 10	550/1081/26
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	9.3	Bile-tolerant GNB	[ — ]		< 10	550/1081/26
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	9.4	Salmonella	[ — ]		Absent	550/1081/26
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	9.5	E. coli	[ — ]		Absent	550/1081/26
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	10.2	Aflatoxins total	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	11.1	Lead	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	11.2	Cadmium	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	11.3	Arsenic	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	11.4	Mercury	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	12	Pesticide residues	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	grade	grade	—		III	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	spec	spec	—		QCSP_001_GRC-III_v.01	
T3	applied 26.09	CoQ-PP_26-050	P060142	GRC102501/1	no	06.06.2026	11.09.2026	pcode	pcode	—		GRC_THC8 : CBD1	
T3	applied 26.09	CoQ-PP_26-052		SJ102501	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-052		SJ102501	no	06.06.2026	06.06.2026	10.2	Aflatoxins total	[ — ]		[pending]	
T3	applied 26.09	CoQ-PP_26-052		SJ102501	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-052		SJ102501	no	06.06.2026	06.06.2026	11.1	Lead	[ — ]		[pending]	
T3	applied 26.09	CoQ-PP_26-052		SJ102501	no	06.06.2026	06.06.2026	11.2	Cadmium	[ — ]		[pending]	
T3	applied 26.09	CoQ-PP_26-052		SJ102501	no	06.06.2026	06.06.2026	11.3	Arsenic	[ — ]		[pending]	
T3	applied 26.09	CoQ-PP_26-052		SJ102501	no	06.06.2026	06.06.2026	11.4	Mercury	[ — ]		[pending]	
T3	applied 26.09	CoQ-PP_26-052		SJ102501	no	06.06.2026	06.06.2026	12	Pesticide residues	ND mg/kg — all 26 residues	1065/2026	[pending]	
T3	applied 26.09	CoQ-PP_26-055		SJ112501	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-055		SJ112501	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-056		J31112501	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-056		J31112501	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-058		OPM112501	no	06.06.2026	11.09.2026	6	Total CBN	[ — ]		< LOQ	227-10-К/26
T3	applied 26.09	CoQ-PP_26-058		OPM112501	no	06.06.2026	11.09.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-058		OPM112501	no	06.06.2026	11.09.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-061		GG112501	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-061		GG112501	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-062		J31122501	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-062		J31122501	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-063		CC112501	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-063		CC112501	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-065		FB112501	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-065		FB112501	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-066		GG012601	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-066		GG012601	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-067		JD012601	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-067		JD012601	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	3	Identification C (HPLC)	[ — ]		Conforms	197-6-К/26
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	4	Total THC	[ — ]		17.67	197-6-К/26
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	5	Total CBD	[ — ]		< LOQ	197-6-К/26
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	6	Total CBN	[ — ]		< LOQ	197-6-К/26
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	8	Loss on drying	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	10.2	Aflatoxins total	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	11.1	Lead	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	11.2	Cadmium	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	11.3	Arsenic	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	11.4	Mercury	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	12	Pesticide residues	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	grade	grade	—		I	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	spec	spec	—		QCSP_001_CC-I_v.01	
T3	applied 26.09	CoQ-PP_26-068		P060332	no	06.06.2026	07.08.2026	pcode	pcode	—		CC_THC17 : CBD1	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	3	Identification C (HPLC)	[ — ]		Conforms	227-8-К/26
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	4	Total THC	[ — ]		22.40	227-8-К/26
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	5	Total CBD	[ — ]		< LOQ	227-8-К/26
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	6	Total CBN	[ — ]		< LOQ	227-8-К/26
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	8	Loss on drying	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	10.2	Aflatoxins total	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	11.1	Lead	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	11.2	Cadmium	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	11.3	Arsenic	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	11.4	Mercury	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	12	Pesticide residues	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	grade	grade	—		I	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	spec	spec	—		QCSP_001_SCR-I_v.01	
T3	applied 26.09	CoQ-PP_26-073	P060342	SCR012601	no	06.06.2026	11.09.2026	pcode	pcode	—		SCR_THC22 : CBD1	
T3	applied 26.09	CoQ-PP_26-075		FB012603V	no	07.07.2026	07.07.2026	1	Identification A	Conforms	iCoA-PP_26-075	Conforms	ППК26110
T3	applied 26.09	CoQ-PP_26-075		FB012603V	no	07.07.2026	07.07.2026	2	Identification B	Conforms	iCoA-PP_26-075	Conforms	ППК26110
T3	applied 26.09	CoQ-PP_26-075		FB012603V	no	07.07.2026	07.07.2026	7	Foreign matter	Conforms	iCoA-PP_26-075	Conforms	ППК26110
T3	applied 26.09	CoQ-PP_26-075		FB012603V	no	07.07.2026	07.07.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-075		FB012603V	no	07.07.2026	07.07.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-079		FB012603	no	07.07.2026	07.07.2026	1	Identification A	Conforms	iCoA-PP_26-079	Conforms	ППК26112
T3	applied 26.09	CoQ-PP_26-079		FB012603	no	07.07.2026	07.07.2026	2	Identification B	Conforms	iCoA-PP_26-079	Conforms	ППК26112
T3	applied 26.09	CoQ-PP_26-079		FB012603	no	07.07.2026	07.07.2026	7	Foreign matter	Conforms	iCoA-PP_26-079	Conforms	ППК26112
T3	applied 26.09	CoQ-PP_26-079		FB012603	no	07.07.2026	07.07.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-079		FB012603	no	07.07.2026	07.07.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-080		SCR022601	no	13.07.2026	13.07.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-080		SCR022601	no	13.07.2026	13.07.2026	10.3	Ochratoxin A	[ — ]		n/t	
