CoQ code,Series,Batch (cultivation),P lot,Strain,Date of issue,#,Parameter,Method,Acceptance criterion,Result,Document,Issued,Laboratory,Received by the laboratory,Status,Route,Also on file
CoQ-PP_26-001,release,CJ1024,— no P lot assigned —,Cup Junky,06.06.2026,10.1,Aflatoxin B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-001,release,CJ1024,— no P lot assigned —,Cup Junky,06.06.2026,10.2,Aflatoxins ∑,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,< 2,750/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-001,release,CJ1024,— no P lot assigned —,Cup Junky,06.06.2026,10.3,Ochratoxin A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-001,release,CJ1024,— no P lot assigned —,Cup Junky,06.06.2026,11.1,Lead (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.036,750/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-001,release,CJ1024,— no P lot assigned —,Cup Junky,06.06.2026,11.2,Cadmium (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.013,750/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-001,release,CJ1024,— no P lot assigned —,Cup Junky,06.06.2026,11.3,Arsenic (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.063,750/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-001,release,CJ1024,— no P lot assigned —,Cup Junky,06.06.2026,11.4,Mercury (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.006,750/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-001,release,CJ1024,— no P lot assigned —,Cup Junky,06.06.2026,12,Pesticide Residues,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,ND,750/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,1,"Identification A, Appearance · Macroscopic",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,iCoA-PP_26-002,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,2,Identification B · Microscopic,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,iCoA-PP_26-002,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,3,Identification C · HPLC/HPTLC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)",Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,13.02.2025,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,4,Assay — Total Δ⁹-THC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)","18.11 – 21.88 %  (grade III, nominal 20.00 ± 1.89)",21.03,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,13.02.2025,covered,,25.01 (197-2-К/26)
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,5,Assay — Total CBD,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBD + CBDA x 0.877 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.04,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,13.02.2025,covered,,<LOQ (197-2-К/26)
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,6,Total CBN,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBN + CBNA x 0.876 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.02,ППК25051,26.02.2025,CNP,13.02.2025,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,7,Foreign Matter,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",Conforms | Одговара,iCoA-PP_26-002,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,8,Loss on Drying,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,5.99,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,13.02.2025,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,9.1,TAMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,1.5 × 10⁴,161/0269/25,24.02.2025,IPH — Institute of Public Health,—,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,9.2,TYMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,2.2 × 10³,161/0269/25,24.02.2025,IPH — Institute of Public Health,—,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,9.3,Bile-tolerant gram-neg.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,< 10² and > 10,161/0269/25,24.02.2025,IPH — Institute of Public Health,—,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,9.4,Salmonella,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Absent | Отсутна,161/0269/25,24.02.2025,IPH — Institute of Public Health,—,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,9.5,Escherichia coli,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Absent | Отсутна,161/0269/25,24.02.2025,IPH — Institute of Public Health,—,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,9.6,Pseudomonas aeruginosa,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,9.7,Staphylococcus aureus,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,10.1,Aflatoxin B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,ND (197-2-М/26)
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,10.2,Aflatoxins ∑,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,< 2,751/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,ND (197-2-М/26)
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,10.3,Ochratoxin A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,ND (197-2-М/26)
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,11.1,Lead (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.071,751/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,11.2,Cadmium (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.014,751/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,11.3,Arsenic (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.081,751/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,11.4,Mercury (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.014,751/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-002,release,BSS1024,BSS1024,Blue Sunset Sherbet,06.06.2026,12,Pesticide Residues,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,ND,751/2025,27.02.2025,IPH — Institute of Public Health,13.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,1,"Identification A, Appearance · Macroscopic",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,iCoA-PP_26-003,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,2,Identification B · Microscopic,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,iCoA-PP_26-003,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,3,Identification C · HPLC/HPTLC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)",Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,13.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,4,Assay — Total Δ⁹-THC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)","19.80 – 24.19 %  (grade II, nominal 22.00 ± 2.20)",21.80,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,13.02.2025,covered,,26.14 (197-1-К/26)
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,5,Assay — Total CBD,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBD + CBDA x 0.877 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.04,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,13.02.2025,covered,,<LOQ (197-1-К/26)
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,6,Total CBN,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBN + CBNA x 0.876 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.02,ППК25050,26.02.2025,CNP,13.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,7,Foreign Matter,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",Conforms | Одговара,iCoA-PP_26-003,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,8,Loss on Drying,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,5.73,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,13.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,9.1,TAMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,1.6 × 10⁴,163/0271/25,24.02.2025,IPH — Institute of Public Health,17.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,9.2,TYMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,1 × 10⁴,163/0271/25,24.02.2025,IPH — Institute of Public Health,17.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,9.3,Bile-tolerant gram-neg.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,< 10² and > 10,163/0271/25,24.02.2025,IPH — Institute of Public Health,17.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,9.4,Salmonella,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Absent | Отсутна,163/0271/25,24.02.2025,IPH — Institute of Public Health,17.02.2025,covered,,
CoQ-PP_26-003,release,BG1024,BG1024,Blue Gelato,06.06.2026,9.5,Escherichia coli,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Absent | Отсутна,163/0271/25,24.02.2025,IPH — Institute of Public Health,17.02.2025,covered,,
