CoQ code,Series,Batch (cultivation),P lot,Strain,Date of issue,#,Parameter,Method,Acceptance criterion,Result,Document,Issued,Laboratory,Received by the laboratory,Status,Route,Also on file
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,5,Assay — Total CBD,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBD + CBDA x 0.877 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.07,ППК25321,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,10.10.2025,covered,,<LOQ (220-3-К/26)
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,6,Total CBN,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBN + CBNA x 0.876 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.02 ᴰ,ППК25321,23.10.2025,CNP,10.10.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,7,Foreign Matter,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",Conforms | Одговара,iCoA-PP_26-026,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,8,Loss on Drying,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,7.77,ППК25321,23.10.2025,UKIM Faculty of Pharmacy — Center for Natural Products,10.10.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,9.1,TAMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,< 10,1217/2168/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,9.2,TYMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,20,1217/2168/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,9.3,Bile-tolerant gram-neg.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,< 10,1217/2168/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,9.4,Salmonella,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Absent | Отсутна,1217/2168/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,9.5,Escherichia coli,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Absent | Отсутна,1217/2168/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,9.6,Pseudomonas aeruginosa,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,9.7,Staphylococcus aureus,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,10.1,Aflatoxin B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,ND (220-3-М/26)
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,10.2,Aflatoxins ∑,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,< 2,4907/2025,24.10.2025,IPH — Institute of Public Health,10.10.2025,covered,,ND (220-3-М/26)
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,10.3,Ochratoxin A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,ND (220-3-М/26)
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,11.1,Lead (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.037,4907/2025,24.10.2025,IPH — Institute of Public Health,10.10.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,11.2,Cadmium (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.002,4907/2025,24.10.2025,IPH — Institute of Public Health,10.10.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,11.3,Arsenic (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.027,4907/2025,24.10.2025,IPH — Institute of Public Health,10.10.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,11.4,Mercury (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.017,4907/2025,24.10.2025,IPH — Institute of Public Health,10.10.2025,covered,,
CoQ-PP_26-028,release,CJ062501/1,P050222,Cap Junky,06.06.2026,12,Pesticide Residues,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,ND,4907/2025,24.10.2025,IPH — Institute of Public Health,10.10.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,1,"Identification A, Appearance · Macroscopic",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,to be performed (in house),iCoA-PP_26-027,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,2,Identification B · Microscopic,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,to be performed (in house),iCoA-PP_26-027,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,3,Identification C · HPLC/HPTLC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)",Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,ППК25367,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,4,Assay — Total Δ⁹-THC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)","21.60 – 26.39 %  (grade II, nominal 24.00 ± 2.40)",23.70,ППК25367,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,28.18 (227-27-К/26)
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,5,Assay — Total CBD,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBD + CBDA x 0.877 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.09,ППК25367,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,<LOQ (227-27-К/26)
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,6,Total CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",not tested,—,—,—,—,not tested — no certificate covers it,,<LOQ (227-27-К/26)
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,7,Foreign Matter,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",to be performed (in house),iCoA-PP_26-027,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,8,Loss on Drying,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,8.22,ППК25367,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,9.1,TAMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,4.5 × 10³,1218/2169/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,9.2,TYMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,3.5 × 10³,1218/2169/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,9.3,Bile-tolerant gram-neg.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,< 10,1218/2169/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,9.4,Salmonella,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Absent | Отсутна,1218/2169/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,9.5,Escherichia coli,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Absent | Отсутна,1218/2169/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,9.6,Pseudomonas aeruginosa,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,9.7,Staphylococcus aureus,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,10.1,Aflatoxin B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,10.2,Aflatoxins ∑,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,< 2,5697/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,10.3,Ochratoxin A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,11.1,Lead (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.013,5697/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,11.2,Cadmium (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.004,5697/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,11.3,Arsenic (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.011,5697/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,11.4,Mercury (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.002,5697/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-029,release,CJ072501,P050252,Cup Junky,06.06.2026,12,Pesticide Residues,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,ND,5697/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,1,"Identification A, Appearance · Macroscopic",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,to be performed (in house),iCoA-PP_26-028,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,2,Identification B · Microscopic,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,to be performed (in house),iCoA-PP_26-028,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,3,Identification C · HPLC/HPTLC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)",Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,ППК25369,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,4,Assay — Total Δ⁹-THC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)","20.60 – 23.39 %  (grade II, nominal 22.00 ± 1.40)",22.11,ППК25369,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,25.37 (227-3-К/26)
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,5,Assay — Total CBD,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBD + CBDA x 0.877 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.06,ППК25369,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,<LOQ (227-3-К/26)
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,6,Total CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",not tested,—,—,—,—,not tested — no certificate covers it,,<LOQ (227-3-К/26)
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,7,Foreign Matter,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",to be performed (in house),iCoA-PP_26-028,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,8,Loss on Drying,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,8.94,ППК25369,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,9.1,TAMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,100,1221/2172/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,9.2,TYMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,90,1221/2172/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,9.3,Bile-tolerant gram-neg.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,< 10,1221/2172/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,9.4,Salmonella,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Absent | Отсутна,1221/2172/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,9.5,Escherichia coli,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Absent | Отсутна,1221/2172/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,9.6,Pseudomonas aeruginosa,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,9.7,Staphylococcus aureus,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,10.1,Aflatoxin B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,10.2,Aflatoxins ∑,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,< 2,5699/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,10.3,Ochratoxin A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,11.1,Lead (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.023,5699/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,11.2,Cadmium (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.005,5699/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,11.3,Arsenic (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.006,5699/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,11.4,Mercury (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.01,5699/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-030,release,WC072501,P050262,Wedding Crasher,06.06.2026,12,Pesticide Residues,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,ND,5699/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,1,"Identification A, Appearance · Macroscopic",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,to be performed (in house),iCoA-PP_26-029,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,2,Identification B · Microscopic,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,to be performed (in house),iCoA-PP_26-029,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,3,Identification C · HPLC/HPTLC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)",Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,ППК25368,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,4,Assay — Total Δ⁹-THC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)","9.00 – 10.99 %  (grade III, nominal 10.00 ± 1.00)",10.01,ППК25368,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,12.77 (227-9-К/26)
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,5,Assay — Total CBD,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBD + CBDA x 0.877 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.04,ППК25368,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,<LOQ (227-9-К/26)
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,6,Total CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",not tested,—,—,—,—,not tested — no certificate covers it,,<LOQ (227-9-К/26)
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,7,Foreign Matter,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",to be performed (in house),iCoA-PP_26-029,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,8,Loss on Drying,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,9.52,ППК25368,28.11.2025,UKIM Faculty of Pharmacy — Center for Natural Products,24.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,9.1,TAMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,110,1220/2171/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,9.2,TYMC,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,200,1220/2171/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered — laboratory finding recorded,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,9.3,Bile-tolerant gram-neg.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,< 10,1220/2171/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,9.4,Salmonella,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Absent | Отсутна,1220/2171/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,9.5,Escherichia coli,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Absent | Отсутна,1220/2171/25,01.12.2025,IPH — Institute of Public Health,26.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,9.6,Pseudomonas aeruginosa,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,9.7,Staphylococcus aureus,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,upon request — not required for release,—,—,—,—,upon request — not required for release,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,10.1,Aflatoxin B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,10.2,Aflatoxins ∑,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,< 2,5698/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,10.3,Ochratoxin A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,not tested,—,—,—,—,not tested — no certificate covers it,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,11.1,Lead (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.021,5698/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,11.2,Cadmium (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.001,5698/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,11.3,Arsenic (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.012,5698/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,11.4,Mercury (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.003,5698/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-031,release,PM072501,P050272,Permanent Market,06.06.2026,12,Pesticide Residues,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,ND,5698/2025,02.12.2025,IPH — Institute of Public Health,24.11.2025,covered,,
CoQ-PP_26-032,release,CLE072501,P050282,Clemosa A Bud,06.06.2026,1,"Identification A, Appearance · Macroscopic",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,iCoA-PP_26-030,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
CoQ-PP_26-032,release,CLE072501,P050282,Clemosa A Bud,06.06.2026,2,Identification B · Microscopic,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Одговара,iCoA-PP_26-030,03.06.2026,Purely Plant GmbH (in-house),—,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
