Batch,Cultivation batch,Strain,Certificate,Series,Date of issue,#,Parameter,Result,Document,Issued,Laboratory,Internal,Status
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,10.2,Aflatoxins ∑,< 2,750/2025,27.02.2025,IPH — Institute of Public Health,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,10.2,Aflatoxins ∑,ND,227-26-М/26,16.09.2026,Farmahem,,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,10.3,Ochratoxin A,not tested,—,—,—,,not tested — no certificate covers it
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,10.3,Ochratoxin A,ND,227-26-М/26,16.09.2026,Farmahem,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,11.1,Lead (Pb),0.036,750/2025,27.02.2025,IPH — Institute of Public Health,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,11.1,Lead (Pb),0.036,750/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,11.2,Cadmium (Cd),0.013,750/2025,27.02.2025,IPH — Institute of Public Health,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,11.2,Cadmium (Cd),0.013,750/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,11.3,Arsenic (As),0.063,750/2025,27.02.2025,IPH — Institute of Public Health,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,11.3,Arsenic (As),0.063,750/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,11.4,Mercury (Hg),0.006,750/2025,27.02.2025,IPH — Institute of Public Health,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,11.4,Mercury (Hg),0.006,750/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,12,Pesticide Residues,ND,750/2025,27.02.2025,IPH — Institute of Public Health,,covered
