Batch,Cultivation batch,Strain,Certificate,Series,Date of issue,#,Parameter,Result,Document,Issued,Laboratory,Internal,Status
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-131,17.08.2026,Purely Plant GmbH (in-house),yes,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,ППК25175,10.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,220-11-К/26,25.08.2026,Farmahem,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,4,Assay — Total Δ⁹-THC,25.45,ППК25175,10.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,4,Assay — Total Δ⁹-THC,28.30,220-11-К/26,25.08.2026,Farmahem,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,5,Assay — Total CBD,0.08,ППК25175,10.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,5,Assay — Total CBD,< LOQ,220-11-К/26,25.08.2026,Farmahem,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,6,Total CBN,< LOQ ᴰ,ППК25175,10.07.2025,CNP,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,6,Total CBN,< LOQ,220-11-К/26,25.08.2026,Farmahem,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-012,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-131,17.08.2026,Purely Plant GmbH (in-house),yes,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,8,Loss on Drying,6.58,ППК25175,10.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,8,Loss on Drying,6.58,ППК25175,10.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,carried from the initial testing (CoQ-PP-2025-0010) — covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,9.1,TAMC,1.1 × 10⁴,628/1129/25,02.07.2025,IPH — Institute of Public Health,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,9.1,TAMC,1.1 × 10⁴,628/1129/25,02.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0010) — covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,9.2,TYMC,1.2 × 10⁴,628/1129/25,02.07.2025,IPH — Institute of Public Health,,UNDETERMINED — pending the QCSP 001 reading
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,9.2,TYMC,1.2 × 10⁴,628/1129/25,02.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0010) — UNDETERMINED — pending the QCSP 001 reading
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,9.3,Bile-tolerant gram-neg.,< 10⁴ and > 10³,628/1129/25,02.07.2025,IPH — Institute of Public Health,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,9.3,Bile-tolerant gram-neg.,< 10⁴ and > 10³,628/1129/25,02.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0010) — covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,9.4,Salmonella,Absent | Отсутна,628/1129/25,02.07.2025,IPH — Institute of Public Health,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,9.4,Salmonella,Absent | Отсутна,628/1129/25,02.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0010) — covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,9.5,Escherichia coli,Absent | Отсутна,628/1129/25,02.07.2025,IPH — Institute of Public Health,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,9.5,Escherichia coli,Absent | Отсутна,628/1129/25,02.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0010) — covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,9.6,Pseudomonas aeruginosa,upon request — not required for release,—,—,—,,upon request — not required for release
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,9.6,Pseudomonas aeruginosa,upon request — not required for release,—,—,—,,upon request — not required for release
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,9.7,Staphylococcus aureus,upon request — not required for release,—,—,—,,upon request — not required for release
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,9.7,Staphylococcus aureus,upon request — not required for release,—,—,—,,upon request — not required for release
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,10.1,Aflatoxin B₁,not tested,—,—,—,,not tested — no certificate covers it
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,10.1,Aflatoxin B₁,ND,220-11-М/26,11.09.2026,Farmahem,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,10.2,Aflatoxins ∑,< 2,3178/2025,26.06.2025,IPH — Institute of Public Health,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,10.2,Aflatoxins ∑,ND,220-11-М/26,11.09.2026,Farmahem,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,10.3,Ochratoxin A,not tested,—,—,—,,not tested — no certificate covers it
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,10.3,Ochratoxin A,ND,220-11-М/26,11.09.2026,Farmahem,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,11.1,Lead (Pb),ND,3178/2025,26.06.2025,IPH — Institute of Public Health,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,11.1,Lead (Pb),ND,3178/2025,26.06.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0010) — covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,11.2,Cadmium (Cd),ND,3178/2025,26.06.2025,IPH — Institute of Public Health,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,11.2,Cadmium (Cd),ND,3178/2025,26.06.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0010) — covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,11.3,Arsenic (As),0.119,3178/2025,26.06.2025,IPH — Institute of Public Health,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,11.3,Arsenic (As),0.119,3178/2025,26.06.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0010) — covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,11.4,Mercury (Hg),ND,3178/2025,26.06.2025,IPH — Institute of Public Health,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,11.4,Mercury (Hg),ND,3178/2025,26.06.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0010) — covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-013,release,06.06.2026,12,Pesticide Residues,ND,3178/2025,26.06.2025,IPH — Institute of Public Health,,covered
P050072,GP0824_03,Grape Pie,CoQ-PP_26-117,reissue — 12-month retest,18.09.2026,12,Pesticide Residues,ND,3178/2025,26.06.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0010) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,1,"Identification A, Appearance · Macroscopic",Conforms | Одговара,iCoA-PP_26-013,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,1,"Identification A, Appearance · Macroscopic",Conforms | Одговара,iCoA-PP_26-147,17.08.2026,Purely Plant GmbH (in-house),yes,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-013,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-147,17.08.2026,Purely Plant GmbH (in-house),yes,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,ППК25210,28.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,220-23-К/26,26.08.2026,Farmahem,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,4,Assay — Total Δ⁹-THC,16.55,ППК25210,28.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,4,Assay — Total Δ⁹-THC,19.30,220-23-К/26,26.08.2026,Farmahem,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,5,Assay — Total CBD,0.04,ППК25210,28.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,5,Assay — Total CBD,< LOQ,220-23-К/26,26.08.2026,Farmahem,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,6,Total CBN,0.01 ᴰ,ППК25210,28.07.2025,CNP,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,6,Total CBN,< LOQ,220-23-К/26,26.08.2026,Farmahem,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-013,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-147,17.08.2026,Purely Plant GmbH (in-house),yes,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,8,Loss on Drying,6.38,ППК25210,28.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,8,Loss on Drying,6.38,ППК25210,28.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,9.1,TAMC,2 × 10²,766/1375/25,29.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,9.1,TAMC,2 × 10²,766/1375/25,29.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,9.2,TYMC,3 × 10²,766/1375/25,29.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,9.2,TYMC,3 × 10²,766/1375/25,29.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,9.3,Bile-tolerant gram-neg.,< 10,766/1375/25,29.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,9.3,Bile-tolerant gram-neg.,< 10,766/1375/25,29.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,9.4,Salmonella,Absent | Отсутна,766/1375/25,29.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,9.4,Salmonella,Absent | Отсутна,766/1375/25,29.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,9.5,Escherichia coli,Absent | Отсутна,766/1375/25,29.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,9.5,Escherichia coli,Absent | Отсутна,766/1375/25,29.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,9.6,Pseudomonas aeruginosa,upon request — not required for release,—,—,—,,upon request — not required for release
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,9.6,Pseudomonas aeruginosa,upon request — not required for release,—,—,—,,upon request — not required for release
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,9.7,Staphylococcus aureus,upon request — not required for release,—,—,—,,upon request — not required for release
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,9.7,Staphylococcus aureus,upon request — not required for release,—,—,—,,upon request — not required for release
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,10.1,Aflatoxin B₁,not tested,—,—,—,,not tested — no certificate covers it
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,10.1,Aflatoxin B₁,ND,220-23-М/26,11.09.2026,Farmahem,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,10.2,Aflatoxins ∑,2.1,3636/2025,28.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,10.2,Aflatoxins ∑,ND,220-23-М/26,11.09.2026,Farmahem,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,10.3,Ochratoxin A,not tested,—,—,—,,not tested — no certificate covers it
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,10.3,Ochratoxin A,ND,220-23-М/26,11.09.2026,Farmahem,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,11.1,Lead (Pb),ND,3636/2025,28.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,11.1,Lead (Pb),ND,3636/2025,28.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,11.2,Cadmium (Cd),ND,3636/2025,28.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,11.2,Cadmium (Cd),ND,3636/2025,28.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,11.3,Arsenic (As),0.135,3636/2025,28.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,11.3,Arsenic (As),0.135,3636/2025,28.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,11.4,Mercury (Hg),0.03,3636/2025,28.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,11.4,Mercury (Hg),0.03,3636/2025,28.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-014,release,06.06.2026,12,Pesticide Residues,ND,3636/2025,28.07.2025,IPH — Institute of Public Health,,covered
P050082,OPM1024_03,Orange Punch Mimosa,CoQ-PP_26-130,reissue — 12-month retest,18.09.2026,12,Pesticide Residues,ND,3636/2025,28.07.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0011) — covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,1,"Identification A, Appearance · Macroscopic",Conforms | Одговара,iCoA-PP_26-014,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,1,"Identification A, Appearance · Macroscopic",Conforms | Одговара,iCoA-PP_26-104,27.07.2026,Purely Plant GmbH (in-house),yes,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-014,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-104,27.07.2026,Purely Plant GmbH (in-house),yes,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,ППК25104,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,197-9-К/26,07.08.2026,Farmahem,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,4,Assay — Total Δ⁹-THC,17.22,ППК25104,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,4,Assay — Total Δ⁹-THC,18.67,197-9-К/26,07.08.2026,Farmahem,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,5,Assay — Total CBD,0.05,ППК25104,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,5,Assay — Total CBD,< LOQ,197-9-К/26,07.08.2026,Farmahem,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,6,Total CBN,ND ᴰ,ППК25104,17.04.2025,CNP,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,6,Total CBN,0.20,197-9-К/26,07.08.2026,Farmahem,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-014,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-104,27.07.2026,Purely Plant GmbH (in-house),yes,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,8,Loss on Drying,7.54,ППК25104,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,8,Loss on Drying,7.54,ППК25104,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,carried from the initial testing (CoQ-PP-2025-0012) — covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,9.1,TAMC,5.1 × 10⁴,320/0587/25,14.04.2025,IPH — Institute of Public Health,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,9.1,TAMC,5.1 × 10⁴,320/0587/25,14.04.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0012) — covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,9.2,TYMC,4.2 × 10⁴,320/0587/25,14.04.2025,IPH — Institute of Public Health,,OUT OF SPECIFICATION
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,9.2,TYMC,4.2 × 10⁴,320/0587/25,14.04.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0012) — OUT OF SPECIFICATION
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,9.3,Bile-tolerant gram-neg.,< 10,320/0587/25,14.04.2025,IPH — Institute of Public Health,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,9.3,Bile-tolerant gram-neg.,< 10,320/0587/25,14.04.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0012) — covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,9.4,Salmonella,Absent | Отсутна,320/0587/25,14.04.2025,IPH — Institute of Public Health,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,9.4,Salmonella,Absent | Отсутна,320/0587/25,14.04.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0012) — covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,9.5,Escherichia coli,Absent | Отсутна,320/0587/25,14.04.2025,IPH — Institute of Public Health,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,9.5,Escherichia coli,Absent | Отсутна,320/0587/25,14.04.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0012) — covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,9.6,Pseudomonas aeruginosa,upon request — not required for release,—,—,—,,upon request — not required for release
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,9.6,Pseudomonas aeruginosa,upon request — not required for release,—,—,—,,upon request — not required for release
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,9.7,Staphylococcus aureus,upon request — not required for release,—,—,—,,upon request — not required for release
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,9.7,Staphylococcus aureus,upon request — not required for release,—,—,—,,upon request — not required for release
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,10.1,Aflatoxin B₁,not tested,—,—,—,,not tested — no certificate covers it
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,10.1,Aflatoxin B₁,ND,197-9-М/26,10.08.2026,Farmahem,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,10.2,Aflatoxins ∑,< 2,1766/2025,11.04.2025,IPH — Institute of Public Health,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,10.2,Aflatoxins ∑,ND,197-9-М/26,10.08.2026,Farmahem,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,10.3,Ochratoxin A,not tested,—,—,—,,not tested — no certificate covers it
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,10.3,Ochratoxin A,ND,197-9-М/26,10.08.2026,Farmahem,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,11.1,Lead (Pb),0.02,1766/2025,11.04.2025,IPH — Institute of Public Health,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,11.1,Lead (Pb),0.02,1766/2025,11.04.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0012) — covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,11.2,Cadmium (Cd),0.007,1766/2025,11.04.2025,IPH — Institute of Public Health,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,11.2,Cadmium (Cd),0.007,1766/2025,11.04.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0012) — covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,11.3,Arsenic (As),0.015,1766/2025,11.04.2025,IPH — Institute of Public Health,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,11.3,Arsenic (As),0.015,1766/2025,11.04.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0012) — covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,11.4,Mercury (Hg),0.005,1766/2025,11.04.2025,IPH — Institute of Public Health,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,11.4,Mercury (Hg),0.005,1766/2025,11.04.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0012) — covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-015,release,06.06.2026,12,Pesticide Residues,ND,1766/2025,11.04.2025,IPH — Institute of Public Health,,covered
P050092,GG1024_01,Gorilla Glue,CoQ-PP_26-093,reissue — 12-month retest,17.08.2026,12,Pesticide Residues,ND,1766/2025,11.04.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0012) — covered
