batch,coq_code,issued,supersedes,supersedes_issued,icoa_cited,icoa_cited_issued,parameters_referenced,parameters_referenced_named,icoa_per_register,note
P060112,CoQ-PP_26-132,18.09.2026,CoQ-PP_26-047,06.06.2026,iCoA-PP_26-149,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-132,
P060122,CoQ-PP_26-106,18.09.2026,CoQ-PP_26-048,06.06.2026,iCoA-PP_26-121,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-106,
P060132,CoQ-PP_26-109,18.09.2026,CoQ-PP_26-049,06.06.2026,iCoA-PP_26-123,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-109,
P060152,CoQ-PP_26-099,17.08.2026,CoQ-PP_26-051,06.06.2026,iCoA-PP_26-112,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-099,
P060172,CoQ-PP_26-126,18.09.2026,CoQ-PP_26-053,06.06.2026,iCoA-PP_26-139,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-126,
P060182,CoQ-PP_26-120,18.09.2026,CoQ-PP_26-054,06.06.2026,iCoA-PP_26-134,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-120,"9,11 credited to no laboratory"
P060212,CoQ-PP_26-100,17.08.2026,CoQ-PP_26-057,06.06.2026,iCoA-PP_26-113,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-100,
P060232,CoQ-PP_26-131,18.09.2026,CoQ-PP_26-059,06.06.2026,iCoA-PP_26-148,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-131,
P060242,CoQ-PP_26-103,17.08.2026,CoQ-PP_26-060,06.06.2026,iCoA-PP_26-116,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-103,
P060282,CoQ-PP_26-133,18.09.2026,CoQ-PP_26-064,06.06.2026,iCoA-PP_26-150,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-133,
P060322,CoQ-PP_26-114,18.09.2026,CoQ-PP_26-069,06.06.2026,iCoA-PP_26-128,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-114,
P060352,CoQ-PP_26-091,17.08.2026,CoQ-PP_26-070,06.06.2026,iCoA-PP_26-107,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-091,
P060362,CoQ-PP_26-122,18.09.2026,CoQ-PP_26-071,06.06.2026,iCoA-PP_26-138,17.08.2026,"1,2",Identification A · appearance · Identification B · microscopy,iCoA-PP_26-122,"foreign matter (7) credited to CNP, not in-house"
P060372,CoQ-PP_26-108,18.09.2026,CoQ-PP_26-072,06.06.2026,iCoA-PP_26-143,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-108,
P060382,CoQ-PP_26-105,17.08.2026,CoQ-PP_26-074,06.06.2026,iCoA-PP_26-117,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-105,
P060402,CoQ-PP_26-092,17.08.2026,CoQ-PP_26-077,07.07.2026,—,—,—,—,iCoA-PP_26-092,"no iCoA row; 1,2,7,8 credited to CNP"
P060412,CoQ-PP_26-123,18.09.2026,CoQ-PP_26-078,07.07.2026,—,—,—,—,iCoA-PP_26-123,"no iCoA row; 1,2,7,8 credited to CNP"
P060422,CoQ-PP_26-124,18.09.2026,CoQ-PP_26-076,07.07.2026,iCoA-PP_26-137,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-124,"9,11 credited to no laboratory"
