batch	coq_code	issued	supersedes	supersedes_issued	icoa_cited	icoa_cited_issued	icoa_scope	parameters_referenced	parameters_referenced_named	icoa_per_register	register_agrees	pheno	pheno_split	total_thc_pct	loss_on_drying_pct	TAMC	TYMC	Pb	Cd	As	Hg	drive_file_id	drive_title	drive_bytes	note
P050182	CoQ-PP_26-121	18.09.2026	CoQ-PP_26-024	06.06.2026	iCoA-PP_26-135	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-121	NO	SATIVA		19.69	7.29	2.7e4	2.6e4	0.034	ND	ND	ND	1AcMuqofKNibr8-TN9T1-kk-cYNY8e5kx	P050182.pdf	548582	
P050192	CoQ-PP_26-107	18.09.2026	CoQ-PP_26-025	06.06.2026	iCoA-PP_26-122 + iCoA-PP_26-023	17.08.2026 + 03.06.2026	1,2,7	1,2,7,8	Identification A · appearance · Identification B · microscopy · Foreign matter · Loss on drying	iCoA-PP_26-107	NO	INDICA		20.52	8.60	2e2	2e2	0.024	0.004	0.025	0.0036	1uYZVOJh5teg0CpGKzG6V-Xdy_fNrhpVv	P050192.pdf	558935	
P050212	CoQ-PP_26-089	07.09.2026	CoQ-PP_26-027	06.06.2026	iCoA-PP_26-091	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-089	NO	HYBRID	INDICA60 : SATIVA40	18.91	6.70	6.2e3	2.3e3	0.026	0.002	0.011	0.012	1X_ti3CJU5hY-7rKKD22emW0K4ToC0xHt	P050212 (1).pdf	587576	
P050222	CoQ-PP_26-110	18.09.2026	CoQ-PP_26-028	06.06.2026	iCoA-PP_26-124	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-110	NO	HYBRID	INDICA60 : SATIVA40	24.80	7.77	<10	20	0.037	0.002	0.027	0.017	1LYxCfQj4ZU22-vFn5fjjn76GID5y6X89	P050222.pdf	557549	
P050302	CoQ-PP_26-116	18.09.2026	CoQ-PP_26-034	06.06.2026	iCoA-PP_26-130	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-116	NO	HYBRID		18.29	7.41	2e2	3e2	0.017	0.0028	0.02	0.019	12RXpGLcUjqJZJFp1OOHSb0RcUevues4-	P050302.pdf	551511	
P050312	CoQ-PP_26-118	18.09.2026	CoQ-PP_26-035	06.06.2026	iCoA-PP_26-132	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-118	NO	HYBRID		25.13	6.29	4.3e2	1e3	0.014	0.003	0.02	0.017	1_RXr492-uTsNrloa2HV8j3UTWCafT_mw	P050312.pdf	554182	
P050322	CoQ-PP_26-096	17.08.2026	CoQ-PP_26-036	06.06.2026	iCoA-PP_26-109	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-096	NO	HYBRID		15.70	6.88	3.2e3	5.8e3	0.013	0.003	0.02	0.016	1RLjv9dih9XdRyOXsnIZEAwxbnuUBQnlz	P050322 (1).pdf	526234	
P060012	CoQ-PP_26-135	18.09.2026	CoQ-PP_26-037	06.06.2026	iCoA-PP_26-152	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-135	NO	HYBRID		23.48	7.50	10	30	ND	ND	ND	ND	1YZWBfZsgSGFztbLMWO1HfmPQTlhO88SL	P060012.pdf	532565	
P060022	CoQ-PP_26-111	18.09.2026	CoQ-PP_26-038	06.06.2026	iCoA-PP_26-125	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-111	NO	HYBRID	INDICA60 : SATIVA40	28.34	7.21	1.5e2	1.3e2	0.075	ND	ND	ND	1QvRfshTmB8cwJ-tKSX6joVqo-zP5rD7N	P060022.pdf	552250	
P060032	CoQ-PP_26-090	17.08.2026	CoQ-PP_26-039	06.06.2026	iCoA-PP_26-102	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-090	NO	HYBRID	INDICA60 : SATIVA40	18.29	7.37	9.5e2	1.2e3	0.073	ND	ND	ND	11TZRTwBsCCCfXNtgsokSj8HdtD99gU9C	P060032 (1).pdf	529490	
P060062	CoQ-PP_26-104	17.08.2026	CoQ-PP_26-042	06.06.2026	iCoA-PP_26-118	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-104	NO	HYBRID		12.25	7.97	2e3	2.2e3	0.03	ND	ND	ND	1beEdBNg7cmEDeGFwhxKvJEu6qhk54i_M	P060062 (1).pdf	533114	
P060072	CoQ-PP_26-112	18.09.2026	CoQ-PP_26-043	06.06.2026	iCoA-PP_26-126	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-112	NO	HYBRID	INDICA60 : SATIVA40	25.65	7.64	<10	<10	0.04	ND	ND	0.004	11MpXcVeE8r23ridBo2EJTqv7H9SnKWl3	P060072.pdf	557493	
P060092	CoQ-PP_26-119	18.09.2026	CoQ-PP_26-045	06.06.2026	iCoA-PP_26-133	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-119	NO	HYBRID		25.24	6.91	1e2	<10	0.022	ND	ND	0.007	1BUenYcQdiFfnWQeRHINp95V6eIfDfIUY	P060092.pdf	551546	
P060112	CoQ-PP_26-132	18.09.2026	CoQ-PP_26-047	06.06.2026	iCoA-PP_26-149	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-132	NO	HYBRID		13.95	6.4	5e1	5e1	0.078	ND	0.0187	ND	1DNkgAKvnTQlkLOCGEtWCZQ8KVp-ai0AW	P060112.pdf	543184	
P060122	CoQ-PP_26-106	18.09.2026	CoQ-PP_26-048	06.06.2026	iCoA-PP_26-121	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-106	NO	HYBRID		12.09	7.1	1e3	1.6e3	0.078	ND	0.022	ND	1sNq4flkvkrjO7fT0OUTRPlL5Eb5fCYGX	P060122.pdf	556221	
P060132	CoQ-PP_26-109	18.09.2026	CoQ-PP_26-049	06.06.2026	iCoA-PP_26-123	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-109	NO	HYBRID		9.55	5.6	3.1e4	3.9e4	0.07	ND	0.0942	ND	1dR9_VzZqRGMR6ywvFyCgsFcj1H7hL_YD	P060132.pdf	543217	
P060152	CoQ-PP_26-099	17.08.2026	CoQ-PP_26-051	06.06.2026	iCoA-PP_26-112	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-099	NO	HYBRID	INDICA70 : SATIVA30	17.32	6.3	1.6e2	1.9e2	0.061	ND	ND	ND	1FnMN_MBQ1jhywZUFdKp2lhpx_yRMpbWW	P060152 (1).pdf	515183	
P060172	CoQ-PP_26-126	18.09.2026	CoQ-PP_26-053	06.06.2026	iCoA-PP_26-139	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-126	NO	INDICA		17.06	8.6	3.8e3	6.8e3	ND	ND	ND	ND	1Vn3uRkNBWo4qpLNcLMVju7cUUjri0DIP	P060172.pdf	538884	
P060182	CoQ-PP_26-120	18.09.2026	CoQ-PP_26-054	06.06.2026	iCoA-PP_26-134	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-120	NO	HYBRID		9.80	7.7	2.3e2	1.3e2	ND	ND	ND	0.0013	1XgbYnZnUAmTSzVV0NsNmQwr2R5hRUs3e	P060182.pdf	592468	9,11 credited to no laboratory
P060212	CoQ-PP_26-100	17.08.2026	CoQ-PP_26-057	06.06.2026	iCoA-PP_26-113	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-100	NO	HYBRID	SATIVA60 : INDICA40	20.32	6.69	2.6e3	3.3e3	0.022	0.0149	0.02	0.0166	1_3L98AHbmZJgVha3sMOsRBG6M6CN8-XU	P060212 (1).pdf	522904	
P060232	CoQ-PP_26-131	18.09.2026	CoQ-PP_26-059	06.06.2026	iCoA-PP_26-148	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-131	NO	HYBRID		10.80	8.61	10	<10	ND	ND	ND	ND	1Z0aBYrtZOqJF306LAOcHEj4ORK6ua1jc	P060232.pdf	542158	
P060242	CoQ-PP_26-103	17.08.2026	CoQ-PP_26-060	06.06.2026	iCoA-PP_26-116	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-103	NO	INDICA		7.91	6.6	120	100	0.049	0.165	ND	ND	13_NX139vq60tP8JB9ht0FQmk5Ebg0KJU	P060242 (1).pdf	524470	
P060282	CoQ-PP_26-133	18.09.2026	CoQ-PP_26-064	06.06.2026	iCoA-PP_26-150	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-133	NO	HYBRID		19.73	6.84	2.3e3	4.3e3	0.0299	0.0136	0.0154	0.017	1m5V9BusVzXRnePzZwWZnquoACFtHyHhD	P060282.pdf	537165	
P060322	CoQ-PP_26-114	18.09.2026	CoQ-PP_26-069	06.06.2026	iCoA-PP_26-128	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-114	NO	HYBRID		17.99	7.67	2e3	2.1e3	0.0114	0.017	0.0144	0.0155	1YYNMjGRChveckb4BtIiyaHq9ywgA4cBU	P060322.pdf	558402	
P060352	CoQ-PP_26-091	17.08.2026	CoQ-PP_26-070	06.06.2026	iCoA-PP_26-107	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-091	NO	HYBRID		18.86	6.08	6.3e4	2.2e4	0.017	0.008	0.009	0.002	1LCLmwHYZ2i15KONPddkbjaOy_SQNmbKR	P060352 (1).pdf	539353	
P060362	CoQ-PP_26-122	18.09.2026	CoQ-PP_26-071	06.06.2026	iCoA-PP_26-138	17.08.2026	1,2	1,2	Identification A · appearance · Identification B · microscopy	iCoA-PP_26-122	NO	HYBRID	SATIVA60 : INDICA40	21.01	6.95	2e2	1e2	0.008	0.011	0.01	0.002	1Dq-Bo-EMu6T3sFZztVxUxzh4ZwoARlFC	P060362.pdf	545349	foreign matter (7) credited to CNP, not in-house
P060372	CoQ-PP_26-108	18.09.2026	CoQ-PP_26-072	06.06.2026	iCoA-PP_26-143	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-108	NO	HYBRID	INDICA70 : SATIVA30	14.76	6.42	2.7e3	1.6e1	0.006	0.007	0.006	0.001	1wV5kgsgWcFxdiivC3aIca0pFEL0KHYbn	P060372.pdf	599453	
P060382	CoQ-PP_26-105	17.08.2026	CoQ-PP_26-074	06.06.2026	iCoA-PP_26-117	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-105	NO	HYBRID		17.84	7.15	5.4e4	1.8e4	0.004	0.008	0.009	0.004	1gzWGarZb0fgyJG1PNDfxRDpu6RP4RJ_7	P060382 (1).pdf	544029	
P060402	CoQ-PP_26-092	17.08.2026	CoQ-PP_26-077	07.07.2026	—	—	—	—	—	iCoA-PP_26-092	NO	INDICA		16.70	6.48	5e3	4.1e3	0.059	0.03	0.05	0.015	131nSAU0wesNOCQGdpyuCYTcsqr283vlD	P060402 (1).pdf	550537	no iCoA row; 1,2,7,8 credited to CNP
P060412	CoQ-PP_26-123	18.09.2026	CoQ-PP_26-078	07.07.2026	—	—	—	—	—	iCoA-PP_26-123	NO	HYBRID	SATIVA60 : INDICA40	14.43	7.52	6.3e3	4.4e3	0.085	0.044	0.042	0.042	1QXRoZx2T6_-46KBIja-TwV-sRAS7erYU	P060412.pdf	577676	no iCoA row; 1,2,7,8 credited to CNP
P060422	CoQ-PP_26-124	18.09.2026	CoQ-PP_26-076	07.07.2026	iCoA-PP_26-137	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-124	NO	HYBRID	SATIVA60 : INDICA40	17.09	7.04	5.1e3	4.7e3	ND	0.06	0.03	0.045	1w2GtdmjLog-xSZdeSy-r0M-51JLfJ391	P060422.pdf	601712	9,11 credited to no laboratory
