Tranche,Release CoQ code,Issued,Superseded by (retest CoQ),Retest issued,Production batch (P lot),Cultivation batch,Strain,Product type,Grade,Product code,Potency window (%),Nominal ± tol (%),Total THC result (%),CBD (%),CBN (%),Potency certificate,Certificate issued,Laboratory,Internal CoA,Internal CoA issued,Retest Total THC (%),Retest potency certificate
2,CoQ-PP_26-040,06.06.2026,CoQ-PP_26-129,18.09.2026,P060042,OPM092501,Orange Punch Mimosa,INDICA · THC · MACHINE TRIMMED,Grade IV,OPM_THC10 : CBD1,9.00 – 10.99,10.00 ± 1.00,9.43,0.04,ND ᴰ,ППК26008,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-038,03.06.2026,10.18,220-22-К/26
3,CoQ-PP_26-041,06.06.2026,CoQ-PP_26-136,21.09.2026,P060052,AB092501,Apple and Banana,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),Grade II,AB_THC18 : CBD1,16.20 – 19.79,18.00 ± 1.80,16.93,0.07,—,ППК26005,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-039,03.06.2026,22.97,227-30-К/26
1,CoQ-PP_26-042,06.06.2026,CoQ-PP_26-104,17.08.2026,P060062,PM092501,Permanent Marker,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade I,PM_THC14 : CBD1,13.00 – 14.99,14.00 ± 1.00,14.06,0.05,< LOQ ᴰ,ППК26004,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-040,03.06.2026,12.25,197-20-К/26
2,CoQ-PP_26-043,06.06.2026,CoQ-PP_26-112,18.09.2026,P060072,CJ092501,Cap Junky,HYBRID · THC · MACHINE TRIMMED (INDICA 60 : SATIVA 40),Grade II,CJ_THC24 : CBD1,21.60 – 26.39,24.00 ± 2.40,22.30,0.10,ND ᴰ,ППК26007,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-041,03.06.2026,25.65,220-5-К/26
2,CoQ-PP_26-044,06.06.2026,CoQ-PP_26-134,18.09.2026,P060082,SJ092501,Sleepy Joe,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),Grade II,SJ_THC10 : CBD1,9.00 – 10.99,10.00 ± 1.00,10.96,0.07,< LOQ,ППК26006,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-042,03.06.2026,10.39,220-27-К/26
2,CoQ-PP_26-045,06.06.2026,CoQ-PP_26-119,18.09.2026,P060092,GP092501,Grape Pie,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade II,GP_THC24 : CBD1,22.00 – 25.99,24.00 ± 2.00,25.73,0.11,0.02 ᴰ,ППК26009,21.01.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-043,03.06.2026,25.24,220-13-К/26
3,CoQ-PP_26-046,06.06.2026,CoQ-PP_26-165,21.09.2026,P060102,WED102501,Wedding Cake,,,,,,—,—,—,—,,,iCoA-PP_26-044,03.06.2026,25.15,227-4-К/26
2,CoQ-PP_26-047,06.06.2026,CoQ-PP_26-132,18.09.2026,P060112,PUM102501,Pure Michigen,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),,,,,—,< LOQ** %w/w,< LOQ** %w/w,—,,,iCoA-PP_26-045,03.06.2026,13.95,220-25-К/26
2,CoQ-PP_26-048,06.06.2026,CoQ-PP_26-106,18.09.2026,P060122,ACC102501,Amnesia Core Cut,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),,,,,—,—,—,—,,,iCoA-PP_26-046,03.06.2026,12.09,220-1-К/26
2,CoQ-PP_26-049,06.06.2026,CoQ-PP_26-109,18.09.2026,P060132,CF102501,Chem Flyer,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),,,,,—,—,—,—,,,iCoA-PP_26-047,03.06.2026,9.55,220-6-К/26
