code	cu	p	strain	dir	series	tested	packaging	issued	conforms	path
iCoA-PP_26-023	HPA052501	P050182	High Pro Amnesia	INITIAL	initial release	03.10.2025	03.10.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-023_P050182_HPA_High_Pro_Amnesia_Initial.html
iCoA-PP_26-024	BSS052501	P050192	Blue Sunset Sherbet	INITIAL	initial release	10.10.2025	10.10.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-024_P050192_BSS_Blue_Sunset_Sherbet_Initial.html
iCoA-PP_26-025	GP062501	P050202	Grape Pie	INITIAL	initial release	30.10.2025	30.10.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-025_P050202_GP_Grape_Pie_Initial.html
iCoA-PP_26-026	CJ062501/2	P050212	Cap Junky	INITIAL	initial release	18.11.2025	18.11.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-026_P050212_CJ_Cap_Junky_Initial.html
iCoA-PP_26-027	CJ062501/1	P050222	Cap Junky	INITIAL	initial release	24.11.2025	24.11.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-027_P050222_CJ_Cap_Junky_Initial.html
iCoA-PP_26-028	CJ072501	P050252	Cap Junky	INITIAL	initial release	27.11.2025	27.11.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-028_P050252_CJ_Cap_Junky_Initial.html
iCoA-PP_26-029	WC072501	P050262	Wedding Crusher	INITIAL	initial release	01.12.2025	01.12.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-029_P050262_WC_Wedding_Crusher_Initial.html
iCoA-PP_26-030	PM072501	P050272	Permanent Marker	INITIAL	initial release	02.12.2025	02.12.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-030_P050272_PM_Permanent_Marker_Initial.html
iCoA-PP_26-031	CLE072501	P050282	Clemosa A Bud	INITIAL	initial release	03.12.2025	03.12.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-031_P050282_CLE_Clemosa_A_Bud_Initial.html
iCoA-PP_26-032	GP072501/1	P050292	Grape Pie	INITIAL	initial release	15.12.2025	15.12.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-032_P050292_GP_Grape_Pie_Initial.html
iCoA-PP_26-033	GP072501/2	P050302	Grape Pie	INITIAL	initial release	22.12.2025	22.12.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-033_P050302_GP_Grape_Pie_Initial.html
iCoA-PP_26-034	GP082501/1	P050312	Grape Pie	INITIAL	initial release	23.12.2025	23.12.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-034_P050312_GP_Grape_Pie_Initial.html
iCoA-PP_26-035	GP082501/2	P050322	Grape Pie	INITIAL	initial release	26.12.2025	26.12.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-035_P050322_GP_Grape_Pie_Initial.html
iCoA-PP_26-036	WC082501	P060012	Wedding Crusher	INITIAL	initial release	13.01.2026	13.01.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-036_P060012_WC_Wedding_Crusher_Initial.html
iCoA-PP_26-037	CJ082501/1	P060022	Cap Junky	INITIAL	initial release	16.01.2026	16.01.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-037_P060022_CJ_Cap_Junky_Initial.html
iCoA-PP_26-038	CJ082501/2	P060032	Cap Junky	INITIAL	initial release	29.01.2026	29.01.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-038_P060032_CJ_Cap_Junky_Initial.html
iCoA-PP_26-039	OPM092501	P060042	Orange Punch Mimosa	INITIAL	initial release	29.01.2026	29.01.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-039_P060042_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-040	AB092501	P060052	Apple and Banana	INITIAL	initial release	30.01.2026	30.01.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-040_P060052_AB_Apple_and_Banana_Initial.html
iCoA-PP_26-041	PM092501	P060062	Permanent Marker	INITIAL	initial release	30.01.2026	30.01.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-041_P060062_PM_Permanent_Marker_Initial.html
iCoA-PP_26-042	CJ092501	P060072	Cap Junky	INITIAL	initial release	02.02.2026	02.02.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-042_P060072_CJ_Cap_Junky_Initial.html
iCoA-PP_26-043	SJ0925021	P060082	Sleepy Joe	INITIAL	initial release	02.02.2026	02.02.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-043_P060082_SJ_Sleepy_Joe_Initial.html
iCoA-PP_26-044	GP092501	P060092	Grape Pie	INITIAL	initial release	03.02.2026	03.02.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-044_P060092_GP_Grape_Pie_Initial.html
iCoA-PP_26-045	WED102501	P060102	Wedding Cake	INITIAL	initial release	16.02.2026	16.02.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-045_P060102_WED_Wedding_Cake_Initial.html
iCoA-PP_26-046	PUM102501	P060112	Pure Michigen	INITIAL	initial release	17.02.2026	17.02.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-046_P060112_PUM_Pure_Michigen_Initial.html
iCoA-PP_26-047	ACC102501	P060122	Amnesia Core Cut	INITIAL	initial release	18.02.2026	18.02.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-047_P060122_ACC_Amnesia_Core_Cut_Initial.html
iCoA-PP_26-048	CF102501	P060132	Chem Flyer	INITIAL	initial release	19.02.2026	19.02.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-048_P060132_CF_Chem_Flyer_Initial.html
iCoA-PP_26-049	GRC102501	P060142	Grapes And Cream	INITIAL	initial release	23.02.2026	23.02.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-049_P060142_GAC_Grapes_And_Cream_Initial.html
iCoA-PP_26-050	GP0824_02	P050022	Grape Pie	RETEST	retest 1	05.03.2026	03.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-050_P050022_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-051	GP0824_02	P050022	Grape Pie	RETEST	retest 2	05.03.2026	03.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-051_P050022_GP_Grape_Pie_Retest_2.html
iCoA-PP_26-052	GP0824_03	P050072	Grape Pie	RETEST	retest 2	05.03.2026	14.07.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-052_P050072_GP_Grape_Pie_Retest_2.html
iCoA-PP_26-053	J31102501	P060152	Jokerz 31	INITIAL	initial release	05.03.2026	05.03.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-053_P060152_J31_Jokerz_31_Initial.html
iCoA-PP_26-054	GRC102501	P060182	Grapes And Cream	RETEST	retest 1	06.03.2026	14.03.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-054_P060182_GAC_Grapes_And_Cream_Retest_1.html
iCoA-PP_26-055	SJ102501	P060162	Sleepy Joe	INITIAL	initial release	09.03.2026	09.03.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-055_P060162_SJ_Sleepy_Joe_Initial.html
iCoA-PP_26-056	KC102501	P060172	Kush Crasher	INITIAL	initial release	12.03.2026	12.03.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-056_P060172_KC_Kush_Crasher_Initial.html
iCoA-PP_26-057	GRC102501	P060182	Grapes And Cream	INITIAL	initial release	14.03.2026	14.03.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-057_P060182_GAC_Grapes_And_Cream_Initial.html
iCoA-PP_26-058	SJ112501	P060192	Sleepy Joe	INITIAL	initial release	31.03.2026	31.03.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-058_P060192_SJ_Sleepy_Joe_Initial.html
iCoA-PP_26-059	J31112501	P060202	Jokerz 31	INITIAL	initial release	17.04.2026	17.04.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-059_P060202_J3_Jokerz_31_Initial.html
iCoA-PP_26-060	JD112501	P060212	Jelly Donuts	INITIAL	initial release	21.04.2026	21.04.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-060_P060212_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-061	OPM112501	P060222	Orange Punch Mimosa	INITIAL	initial release	24.04.2026	24.04.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-061_P060222_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-062	PM112501	P060232	Permanent Marker	INITIAL	initial release	27.04.2026	27.04.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-062_P060232_PM_Permanent_Marker_Initial.html
iCoA-PP_26-063	OPM122501	P060242	Orange Punch Mimosa	INITIAL	initial release	28.04.2026	28.04.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-063_P060242_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-064	GG112501	P060252	Gorilla Glue	INITIAL	initial release	05.05.2026	05.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-064_P060252_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-065	GP062501	P050202	Grape Pie	RETEST	retest 1	11.05.2026	30.10.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-065_P050202_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-066	GP062501	P050202	Grape Pie	RETEST	retest 3	11.05.2026	30.10.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-066_P050202_GP_Grape_Pie_Retest_3.html
iCoA-PP_26-067	GP062501	P050202	Grape Pie	RETEST	retest 4	11.05.2026	30.10.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-067_P050202_GP_Grape_Pie_Retest_4.html
iCoA-PP_26-068	GP0824_02	P050022	Grape Pie	RETEST	retest 3	11.05.2026	03.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-068_P050022_GP_Grape_Pie_Retest_3.html
iCoA-PP_26-069	GP0824_02	P050022	Grape Pie	RETEST	retest 4	11.05.2026	03.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-069_P050022_GP_Grape_Pie_Retest_4.html
iCoA-PP_26-070	GP0824_03	P050072	Grape Pie	RETEST	retest 1	11.05.2026	14.07.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-070_P050072_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-071	GP0824_03	P050072	Grape Pie	RETEST	retest 3	11.05.2026	14.07.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-071_P050072_GP_Grape_Pie_Retest_3.html
iCoA-PP_26-072	J31122501	P060262	Jokerz 31	INITIAL	initial release	14.05.2026	14.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-072_P060262_J3_Jokerz_31_Initial.html
iCoA-PP_26-073	CC112501	P060272	Cash Cow	INITIAL	initial release	18.05.2026	18.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-073_P060272_CC_Cash_Cow_Initial.html
iCoA-PP_26-074	SCR112501	P060282	Scrambler	INITIAL	initial release	18.05.2026	18.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-074_P060282_SCR_Scrambler_Initial.html
iCoA-PP_26-075	FB112501	P060292	Fat Bastard	INITIAL	initial release	19.05.2026	19.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-075_P060292_FB_Fat_Bastard_Initial.html
iCoA-PP_26-076	GG012601＊	P060302	Gorilla Glue	INITIAL	initial release	20.05.2026	20.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-076_P060302_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-077	JD012601＊	P060312	Jelly Donuts	INITIAL	initial release	21.05.2026	21.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-077_P060312_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-078	FB012601_1	P060322	Fat Bastard	INITIAL	initial release	22.05.2026	22.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-078_P060322_FB_Fat_Bastard_Initial.html
iCoA-PP_26-079	CC012601/1	P060332	Cash Cow	INITIAL	initial release	22.05.2026	22.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-079_P060332_CC_Cash_Cow_Initial.html
iCoA-PP_26-080	FB012603V	P060392	Fat Bastard	INITIAL	initial release	23.05.2026	23.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-080_P060392_FB_Fat_Bastard_Initial.html
iCoA-PP_26-081	JD012603	P060422	Jelly Donuts	INITIAL	initial release	23.05.2026	23.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-081_P060422_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-082	JD012603	P060362	Jelly Donuts	INITIAL	initial release	23.05.2026	23.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-082_P060362_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-083	FB012602*	P060352	Fat Bastard	INITIAL	initial release	23.05.2026	23.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-083_P060352_FB_Fat_Bastard_Initial.html
iCoA-PP_26-084	CC012603	P060372	Cash Cow	INITIAL	initial release	24.05.2026	24.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-084_P060372_CC_Cash_Cow_Initial.html
iCoA-PP_26-085	GG012603	P060402	Gorilla Glue	INITIAL	initial release	24.05.2026	24.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-085_P060402_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-086	JD012603	P060412	Jelly Donuts	INITIAL	initial release	24.05.2026	24.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-086_P060412_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-087	SCR012603	P060382	Scrambler	INITIAL	initial release	25.05.2026	25.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-087_P060382_SCR_Scrambler_Initial.html
iCoA-PP_26-088	SCR012601*	P060342	Scrambler	INITIAL	initial release	25.05.2026	25.05.2026	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-088_P060342_S_Scrambler_Initial.html
iCoA-PP_26-089	BSS1024_01/1	P050122	Blue Sunset Sherbet	INITIAL	initial release	01.09.2025	01.09.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-089_P050122_BSS_Blue_Sunset_Sherbet_Initial.html
iCoA-PP_26-090	CC042601	N/A — no P batch assigned	Cash Cow	INITIAL	initial release			03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-090_CC042601_CC_Cash_Cow_Initial.html
iCoA-PP_26-091	FB042601	N/A — no P batch assigned	Fat Bastard	INITIAL	initial release			03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-091_FB042601_FB_Fat_Bastard_Initial.html
iCoA-PP_26-092	OMP1024_01	P050042	Orange Punch Mimosa	INITIAL	initial release	20.06.2025	20.06.2025	03.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-092_P050042_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-093	FB012603	P060432	Fat Bastard	INITIAL	initial release	15.06.2026	15.06.2026	15.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-093_P060432_FB_Fat_Bastard_Initial.html
iCoA-PP_26-094	SCR022601	P060442	Scrambler	INITIAL	initial release	18.06.2026	18.06.2026	18.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-094_P060442_SCR_Scrambler_Initial.html
iCoA-PP_26-095	FB032601	P060452	Fat Bastard	INITIAL	initial release	29.06.2026	29.06.2026	29.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-095_P060452_FB_Fat_Bastard_Initial.html
iCoA-PP_26-096	— not recorded — (P160012)	P160012	Grape Pie	INITIAL	initial release			06.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-096_P160012_GP_Grape_Pie_Initial.html
iCoA-PP_26-097	— not recorded — (P160022)	P160022	Grape Pie	INITIAL	initial release			06.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-097_P160022_GP_Grape_Pie_Initial.html
iCoA-PP_26-098	— not recorded — (P160032)	P160032	Grape Pie	INITIAL	initial release			06.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-098_P160032_GP_Grape_Pie_Initial.html
iCoA-PP_26-099	GG032601	P060462	Gorilla Glue	INITIAL	initial release	16.07.2026	16.07.2026	16.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-099_P060462_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-100	BG1024	N/A — no P batch assigned	Blue Gelato	RETEST	retest 1	21.07.2026	07.03.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-100_BG1024_BG_Blue_Gelato_Retest_1.html
