icoa_code	coq_code	coq_date	batch	strain	kind	Ident A	Ident B	Ident C	Foreign M
QCiCoA 063/01	QCCoQ 063 v.01	2026-06-30	JD022601	Jelly Donuts	release	ok	ok	MISSING	ok
QCiCoA 064/01	QCCoQ 064 v.01	2026-07-06	P160012	Grape Pie	release	ok	ok	MISSING	ok
QCiCoA 065/01	QCCoQ 065 v.01	2026-07-06	P160022	Grape Pie	release	ok	ok	MISSING	ok
QCiCoA 066/01	QCCoQ 066 v.01	2026-07-06	P160032	Grape Pie	release	ok	ok	MISSING	ok
QCiCoA 067/01	QCCoQ 067 v.01	2026-07-21	FB032601	Fat Bastard	release	ok	ok	MISSING	ok
QCiCoA 068/01	QCCoQ 068 v.01	2026-07-21	GG032601	Gorilla Glue	release	ok	ok	MISSING	ok
QCiCoA 069/01	QCCoQ 069 v.01	2026-08-10	CJ052501_01	Cap Junky	release	HELD	HELD	HELD	MISSING
QCiCoA 070/01	QCCoQ 070 v.01	2026-08-10	FB012602	Fat Bastard	release	HELD	HELD	HELD	MISSING
QCiCoA 071/01	QCCoQ 071 v.01	2026-08-10	GG012603	Gorilla Glue	release	ok	ok	MISSING	ok
QCiCoA 072/01	QCCoQ 072 v.01	2026-08-10	JD112501	Jelly Donuts	release	HELD	HELD	HELD	MISSING
QCiCoA 073/01	QCCoQ 073 v.01	2026-08-10	P050212	Cap Junky	release	HELD	HELD	MISSING	MISSING
QCiCoA 074/01	QCCoQ 074 v.01	2026-08-10	P060332	Cash Cow	release	HELD	HELD	HELD	MISSING
QCiCoA 075/01	QCCoQ 075 v.01	2026-08-10	SCR012603	Scrambler	release	MISSING	MISSING	MISSING	MISSING
