wave	wave_name	coq_code	issue_date	batch	pp_batch	strain	version	supersedes_qccoa	supersedes_coq	tranche	spec_code	param_no	parameter	criterion	state	value	source	cert_code	route
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	11d	Mercury (Hg)	≤ 0.1 mg/kg	OUTSOURCED	0,005	IJZ	752/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	12	Pesticide Residues	≤ LOQ per МКС EN 15662	OUTSOURCED	≤ LOQ (all 29 compounds)	IJZ	752/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	1	Identification A, Appearance	Conforms to monograph	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	2	Identification B	Conforms to monograph	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	3	Identification C	Conforms to monograph	MISSING				iCoA?
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	4	Assay — Total Δ9-THC	21.60 - 26.39 %	OUTSOURCED	21.03	UKIM_CNP	ППК25051	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	5	Assay — Total CBD	≤ 1.0 %, w/w	OUTSOURCED	0.04	UKIM_CNP	ППК25051	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	6	Total CBN	≤ 1.0 %, w/w	MISSING				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	7	Foreign Matter	≤ 2.0 % / 25–50 g	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0002	2025-02-27	BSS1024	BSS1024	Blue Sunset Sherbet	1	QCCoA 001		T1	QCSP_001_BSS-I_v.01	8	Loss on Drying	≤ 12.0 %	OUTSOURCED	5.99	UKIM_CNP	ППК25051	
