Cultivar	Abbr	Batch	Total D9-THC %	Certificate	Issue Date	Grade under v.01	Grade under v.02
Motor Breath	MB	MB0824_05	16.82	ППК52211	28.07.2025	III	III
Orange Punch Mimosa	OPM	OPM052501	14.16	ППК52557	05.09.2025	III	III
Orange Punch Mimosa	OPM	OPM092501	9.43	ППК26008	21.01.2026	IV	IV
Orange Punch Mimosa	OPM	OPM1024	19.96	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed)	23.04.2025	II	II
Orange Punch Mimosa	OPM	OPM1024	20.03	197-17-К/26	07.08.2026	II	II
Orange Punch Mimosa	OPM	OPM1024_01	15.38	ППК25117	06.05.2025	III	III
Orange Punch Mimosa	OPM	OPM1024_02	18.27	ППК21554	24.06.2025	III	III
Orange Punch Mimosa	OPM	OPM1024_02	18.04	197-18-К/26	07.08.2026	III	III
Orange Punch Mimosa	OPM	OPM1024_03	16.55	ППК25210	28.07.2025	III	III
Orange Punch Mimosa	OPM	OPM112501	8.00	ППК26031	05.03.2026	IV	IV
Orange Punch Mimosa	OPM	OPM122501	8.09	100-4-К/26	09.04.2026	IV	IV
Orange Punch Mimosa	OPM	OPM122501	7.91	197-19-К/26	07.08.2026	IV	IV
Permanent Marker	PM	PM072501	10.01	ППК25368	28.11.2025	IV	IV
Permanent Marker	PM	PM092501	14.06	ППК26004	21.01.2026	III	III
Permanent Marker	PM	PM092501	12.25	197-20-К/26	07.08.2026	IV	IV
Permanent Marker	PM	PM112501	13.33	ППК26030	05.03.2026	IV	IV
Scrambler	SCR	SCR012603	17.84	197-21-К/26	07.08.2026	III	III
Scrambler	SCR	SCR022601	21.92	ППК26116	06.07.2026	II	II
Scrambler	SCR	SCR112501	17.13	ППК26069	11.05.2026	III	III
Sleepy Joy	SJ	SJ092501	10.96	ППК26006	21.01.2026	IV	IV
Sleepy Joy	SJ	SJ102501	11.20	051-3-K/26	04.03.2026	IV	IV
Sleepy Joy	SJ	SJ112501	9.20	051-2-K/26	04.03.2026	IV	IV
Wedding Crasher	WC	WC072501	22.11	ППК25369	28.11.2025	II	II
Wedding Crasher	WC	WC082501	21.67	ППК26001	21.01.2026	II	II
