Seq	Cultivation Batch	P-Number	Strain	Parameter	Acceptance Criterion	Result	Certificate Code	Issue Date	Issuing Institution	Drive File Link
1	GP0824_02	P050022	Grape Pie	Loss on Drying	≤ 10.00%	6.51%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Cannabidiolic acid (CBDA) content	/	0.08%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Cannabidiol (CBD) content	/	ND	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Cannabinol (CBN) content	≤ 1.00%	BLQ	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THC content	/	0.92%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THCA content	/	25.39%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Total CBD (CBD + CBDA x 0.877)	/	0.07%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Total Delta-9-THC (THC + THCA x 0.877)	/	23.19%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Deltamethrin	<0.5 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Chlorpyriphos-methyl	<0.1 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Chlorpyriphos-ethyl	<0.2 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Endosulfan (sum of isomers and endosulfan sulfate)	<3 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Lindan	<0.6 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Aldrin and dieldrin (sum of)	<0.05 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	HCH (sum of alpha-, beta-, delta- and epsilon-)	<0.3 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	HCB (Hexachlorbenzene)	<0.1 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	DDT (total)	<1 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Heptachlor (sum of heptachlor and heptachlorepoxide)	<0.05 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Endrin	<0.05 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Chlordane (sum of cis- and trans-)	<0.05 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Metoxychlor	<0.05 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Cadmium	<0.3 mg/kg (≤ 1)	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Lead	<0.5 mg/kg (≤ 5)	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Mercury	<0.1 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Arsenic	<0.2 mg/kg (≤ 2)	0.047 mg/kg	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Total aflatoxins	<4 µg/kg	<2 µg/kg	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Total aerobic microbial count (TAMC)	≤ 10⁵ CFU/g	<10 CFU/g	627/1128/25	02.07.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Total combined yeasts/moulds count (TYMC)	≤ 10⁴ CFU/g	<10 CFU/g	627/1128/25	02.07.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Bile-tolerant gram-negative bacteria	≤ 10¹ CFU/g	<10 CFU/g	627/1128/25	02.07.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Escherichia coli	absent/g	Одговара (absent)	627/1128/25	02.07.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Salmonella	absent/25g	Одговара (absent)	627/1128/25	02.07.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Total Delta-9-THC (Farmahem retest)	min 5.00% (PP release spec)	22.61 %w/w (U 1.39)	197-11-К/26	07.08.2026 (received 27.07.2026, analysed 30.07.2026)	Farmahem — Laboratorija za zivotna sredina	https://drive.google.com/file/d/1hPbRPIVPatLijbw81GjBtmmsOXuz1l22/view
1	GP0824_02	P050022	Grape Pie	Total CBN (Farmahem retest)	max 1.00% (PP release spec)	0.23 %w/w (U 0.01)	197-11-К/26	07.08.2026 (received 27.07.2026, analysed 30.07.2026)	Farmahem — Laboratorija za zivotna sredina	https://drive.google.com/file/d/1hPbRPIVPatLijbw81GjBtmmsOXuz1l22/view
1	GP0824_02	P050022	Grape Pie	Total CBD (Farmahem retest)	max 1.00% (PP release spec)	<LOQ %w/w	197-11-К/26	07.08.2026 (received 27.07.2026, analysed 30.07.2026)	Farmahem — Laboratorija za zivotna sredina	https://drive.google.com/file/d/1hPbRPIVPatLijbw81GjBtmmsOXuz1l22/view
1	GP0824_02	P050022	Grape Pie	Aflatoxin B1 (Farmahem retest)	≤ 2 µg/kg (Ph.Eur. ref)	ND	197-11-М/26	10.08.2026 (received 29.07.2026, analysed 06.08.2026)	Farmahem — Laboratorija za zivotna sredina	https://drive.google.com/file/d/1UEVji3T0LVtWw8a4nZ5LzmQtkeIRLzaf/view
1	GP0824_02	P050022	Grape Pie	Aflatoxin B2 (Farmahem retest)	(included in Σ aflatoxins)	ND	197-11-М/26	10.08.2026 (received 29.07.2026, analysed 06.08.2026)	Farmahem — Laboratorija za zivotna sredina	https://drive.google.com/file/d/1UEVji3T0LVtWw8a4nZ5LzmQtkeIRLzaf/view
1	GP0824_02	P050022	Grape Pie	Aflatoxin G1 (Farmahem retest)	(included in Σ aflatoxins)	ND	197-11-М/26	10.08.2026 (received 29.07.2026, analysed 06.08.2026)	Farmahem — Laboratorija za zivotna sredina	https://drive.google.com/file/d/1UEVji3T0LVtWw8a4nZ5LzmQtkeIRLzaf/view
1	GP0824_02	P050022	Grape Pie	Aflatoxin G2 (Farmahem retest)	(included in Σ aflatoxins)	ND	197-11-М/26	10.08.2026 (received 29.07.2026, analysed 06.08.2026)	Farmahem — Laboratorija za zivotna sredina	https://drive.google.com/file/d/1UEVji3T0LVtWw8a4nZ5LzmQtkeIRLzaf/view
1	GP0824_02	P050022	Grape Pie	Sum aflatoxins B1+B2+G1+G2 (Farmahem retest)	≤ 4 µg/kg (Ph.Eur. ref)	ND (all four not detected)	197-11-М/26	10.08.2026 (received 29.07.2026, analysed 06.08.2026)	Farmahem — Laboratorija za zivotna sredina	https://drive.google.com/file/d/1UEVji3T0LVtWw8a4nZ5LzmQtkeIRLzaf/view
1	GP0824_02	P050022	Grape Pie	Ochratoxin A (Farmahem retest)	per PP spec (Ph.Eur. ref ≤ 20 µg/kg)	ND	197-11-М/26	10.08.2026 (received 29.07.2026, analysed 06.08.2026)	Farmahem — Laboratorija za zivotna sredina	https://drive.google.com/file/d/1UEVji3T0LVtWw8a4nZ5LzmQtkeIRLzaf/view
1	GP0824_02	P050022	Grape Pie	Loss on Drying (Stability Month 6, 25°C/60%RH)	≤ 10.00%	6.32%	ППК26032	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1G3yrB90CGjY-DUDC4otnqS0vh9VLnmPT/view
1	GP0824_02	P050022	Grape Pie	CBDA content (Stability Month 6, 25°C/60%RH)	/	0.04%	ППК26032	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1G3yrB90CGjY-DUDC4otnqS0vh9VLnmPT/view
1	GP0824_02	P050022	Grape Pie	CBD content (Stability Month 6, 25°C/60%RH)	/	BLQ	ППК26032	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1G3yrB90CGjY-DUDC4otnqS0vh9VLnmPT/view
1	GP0824_02	P050022	Grape Pie	CBN content (Stability Month 6, 25°C/60%RH)	/ (no limit on stability report)	0.23%	ППК26032	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1G3yrB90CGjY-DUDC4otnqS0vh9VLnmPT/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THC content (Stability Month 6, 25°C/60%RH)	/	12.23%	ППК26032	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1G3yrB90CGjY-DUDC4otnqS0vh9VLnmPT/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THCA content (Stability Month 6, 25°C/60%RH)	/	10.34%	ППК26032	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1G3yrB90CGjY-DUDC4otnqS0vh9VLnmPT/view
1	GP0824_02	P050022	Grape Pie	Total CBD (Stability Month 6, 25°C/60%RH)	≤ 1.00% (spec)	0.03%	ППК26032	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1G3yrB90CGjY-DUDC4otnqS0vh9VLnmPT/view
1	GP0824_02	P050022	Grape Pie	Total Delta-9-THC (Stability Month 6, 25°C/60%RH)	/	21.31%	ППК26032	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1G3yrB90CGjY-DUDC4otnqS0vh9VLnmPT/view
1	GP0824_02	P050022	Grape Pie	Loss on Drying (Stability Month 6, 40°C/75%RH)	≤ 10.00%	5.84%	ППК26033	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1xz183VO8nbFU3jhKT8nbaVH_irNeTo2o/view
1	GP0824_02	P050022	Grape Pie	CBDA content (Stability Month 6, 40°C/75%RH)	/	0.03%	ППК26033	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1xz183VO8nbFU3jhKT8nbaVH_irNeTo2o/view
1	GP0824_02	P050022	Grape Pie	CBD content (Stability Month 6, 40°C/75%RH)	/	0.03%	ППК26033	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1xz183VO8nbFU3jhKT8nbaVH_irNeTo2o/view
1	GP0824_02	P050022	Grape Pie	CBN content (Stability Month 6, 40°C/75%RH)	/ (no limit on stability report)	2.35%	ППК26033	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1xz183VO8nbFU3jhKT8nbaVH_irNeTo2o/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THC content (Stability Month 6, 40°C/75%RH)	/	13.16%	ППК26033	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1xz183VO8nbFU3jhKT8nbaVH_irNeTo2o/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THCA content (Stability Month 6, 40°C/75%RH)	/	BLQ	ППК26033	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1xz183VO8nbFU3jhKT8nbaVH_irNeTo2o/view
1	GP0824_02	P050022	Grape Pie	Total CBD (Stability Month 6, 40°C/75%RH)	≤ 1.00% (spec)	0.02%	ППК26033	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1xz183VO8nbFU3jhKT8nbaVH_irNeTo2o/view
1	GP0824_02	P050022	Grape Pie	Total Delta-9-THC (Stability Month 6, 40°C/75%RH)	/	14.99%	ППК26033	05.03.2026 (completed 04.03.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1xz183VO8nbFU3jhKT8nbaVH_irNeTo2o/view
1	GP0824_02	P050022	Grape Pie	Loss on Drying (Stability Month 9, 25°C/60%RH)	≤ 10.00%	6.62%	ППК26059	11.05.2026 (completed 08.05.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/14Qbaz_W8McdUMAo15keK7kZhrZxGL4jz/view
1	GP0824_02	P050022	Grape Pie	CBDA content (Stability Month 9, 25°C/60%RH)	/	0.03%	ППК26059	11.05.2026 (completed 08.05.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/14Qbaz_W8McdUMAo15keK7kZhrZxGL4jz/view
1	GP0824_02	P050022	Grape Pie	CBD content (Stability Month 9, 25°C/60%RH)	/	0.01%	ППК26059	11.05.2026 (completed 08.05.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/14Qbaz_W8McdUMAo15keK7kZhrZxGL4jz/view
1	GP0824_02	P050022	Grape Pie	CBN content (Stability Month 9, 25°C/60%RH)	/ (no limit on stability report)	0.30%	ППК26059	11.05.2026 (completed 08.05.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/14Qbaz_W8McdUMAo15keK7kZhrZxGL4jz/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THC content (Stability Month 9, 25°C/60%RH)	/	11.49%	ППК26059	11.05.2026 (completed 08.05.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/14Qbaz_W8McdUMAo15keK7kZhrZxGL4jz/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THCA content (Stability Month 9, 25°C/60%RH)	/	13.22%	ППК26059	11.05.2026 (completed 08.05.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/14Qbaz_W8McdUMAo15keK7kZhrZxGL4jz/view
1	GP0824_02	P050022	Grape Pie	Total CBD (Stability Month 9, 25°C/60%RH)	≤ 1.00% (spec)	0.03%	ППК26059	11.05.2026 (completed 08.05.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/14Qbaz_W8McdUMAo15keK7kZhrZxGL4jz/view
1	GP0824_02	P050022	Grape Pie	Total Delta-9-THC (Stability Month 9, 25°C/60%RH)	/	23.08%	ППК26059	11.05.2026 (completed 08.05.2026)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/14Qbaz_W8McdUMAo15keK7kZhrZxGL4jz/view
1	GP0824_02	P050022	Grape Pie	Loss on Drying	≤ 10.00%	7.21%	ППК25139	22.05.2025 (completed 20.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Cannabidiolic acid (CBDA) content	/	ND	ППК25139	22.05.2025 (completed 20.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Cannabidiol (CBD) content	/	0.02%	ППК25139	22.05.2025 (completed 20.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Cannabinol (CBN) content	≤ 1.00%	0.53%	ППК25139	22.05.2025 (completed 20.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THC content	/	26.52%	ППК25139	22.05.2025 (completed 20.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THCA content	/	0.10%	ППК25139	22.05.2025 (completed 20.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Total CBD (CBD + CBDA x 0.877)	/	0.10%	ППК25139	22.05.2025 (completed 20.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Total Delta-9-THC (THC + THCA x 0.877)	/	23.79%	ППК25139	22.05.2025 (completed 20.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Deltamethrin	<0.5 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Chlorpyriphos-methyl	<0.1 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Chlorpyriphos-ethyl	<0.2 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Endosulfan (sum of isomers and endosulfan sulfate)	<3 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Lindan	<0.6 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Aldrin and dieldrin (sum of)	<0.05 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	HCH (sum of alpha-, beta-, delta- and epsilon-)	<0.3 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	HCB (Hexachlorbenzene)	<0.1 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	DDT (total)	<1 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Heptachlor (sum of heptachlor and heptachlorepoxide)	<0.05 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Endrin	<0.05 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Chlordane (sum of cis- and trans-)	<0.05 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Metoxychlor	<0.05 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Cadmium	<0.3 mg/kg (≤ 1)	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Lead	<0.5 mg/kg (≤ 5)	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Mercury	<0.1 mg/kg	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Arsenic	<0.2 mg/kg (≤ 2)	N.D.	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Total aflatoxins	<4 µg/kg	<2 µg/kg	2471/2025	30.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Total aerobic microbial count (TAMC)	≤ 10⁵ CFU/g	700 CFU/g	471/0862/25	22.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Total combined yeasts/moulds count (TYMC)	≤ 10⁴ CFU/g	<10 CFU/g	471/0862/25	22.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Bile-tolerant gram-negative bacteria	≤ 10⁴ CFU/g	<10¹ and >10 CFU/g	471/0862/25	22.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Escherichia coli	absent/g	Одговара (absent)	471/0862/25	22.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
1	GP0824_02	P050022	Grape Pie	Salmonella	absent/25g	Одговара (absent)	471/0862/25	22.05.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1ZyghF4WvmezDzjbWQXcbvTkfc6dmHTJl/view
2	MB0824_04	P050032	Motor Breath	Loss on Drying	≤ 10.00%	6.01%	ППК25118	06.05.2025 (completed 05.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1i0eGbiNlnEwbp1tYimHtVsMT48Gmmqo8/view
2	MB0824_04	P050032	Motor Breath	Cannabidiolic acid (CBDA) content	/	0.06%	ППК25118	06.05.2025 (completed 05.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1i0eGbiNlnEwbp1tYimHtVsMT48Gmmqo8/view
2	MB0824_04	P050032	Motor Breath	Cannabidiol (CBD) content	/	ND	ППК25118	06.05.2025 (completed 05.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1i0eGbiNlnEwbp1tYimHtVsMT48Gmmqo8/view
2	MB0824_04	P050032	Motor Breath	Cannabinol (CBN) content	≤ 1.00%	0.03%	ППК25118	06.05.2025 (completed 05.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1i0eGbiNlnEwbp1tYimHtVsMT48Gmmqo8/view
2	MB0824_04	P050032	Motor Breath	Delta-9-THC content	/	0.75%	ППК25118	06.05.2025 (completed 05.05.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1i0eGbiNlnEwbp1tYimHtVsMT48Gmmqo8/view
