#	Production	CoQ doc. code (proposed)	Batch	P-Number	Strain	Product code	Round	1 — Macroscopic ID (Test A)	eCoA reference	2 — Microscopic ID (Test B)	eCoA reference	3 — HPTLC ID (Test C)	eCoA reference	4 — Total Δ⁹-THC (%)	Grade (v.02)	eCoA reference	5 — Total CBD (%)	eCoA reference	6 — Total CBN (%)	eCoA reference	7 — Foreign Matter (%)	eCoA reference	8 — Loss on Drying (%)	eCoA reference	9.1 — TAMC (CFU/g)	eCoA reference	9.2 — TYMC (CFU/g)	eCoA reference	9.3 — Bile-tol. gram-negative (CFU/g)	eCoA reference	9.4 — Salmonella	eCoA reference	9.5 — Escherichia coli	eCoA reference	10.1 — Aflatoxin B1 (µg/kg)	eCoA reference	10.2 — Total Aflatoxins (µg/kg)	eCoA reference	10.3 — Ochratoxin A (µg/kg)	eCoA reference	11.1 — Lead (Pb) (mg/kg)	eCoA reference	11.2 — Cadmium (Cd) (mg/kg)	eCoA reference	11.3 — Arsenic (As) (mg/kg)	eCoA reference	11.4 — Mercury (Hg) (mg/kg)	eCoA reference	12 — Pesticide Residues	eCoA reference
								A.C. Conforms to description		A.C. Conforms to description		A.C. Identity confirmed		A.C. Per target grade (QCSP 001 §01)			A.C. ≤ 1.0		A.C. ≤ 1.0		A.C. ≤ 2.0		A.C. ≤ 12.0		A.C. ≤ 10⁵		A.C. ≤ 10⁴		A.C. ≤ 10⁴		A.C. Absence /25 g		A.C. Absence /1 g		A.C. ≤ 2		A.C. ≤ 4		A.C. ≤ 20		A.C. ≤ 0.5		A.C. ≤ 0.3		A.C. ≤ 0.2		A.C. ≤ 0.1		A.C. ≤ LOQ (Ph. Eur. 2.8.13)	
15	2024-10	CoQ-PP-2026-0008	OPM1024	—	Orange Punch Mimosa	OPM_THC22:CBD1	R1 · Apr 2025	Confirms	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, PP	Conforms	iCoA-PP-2026-0027 (proposed), 13.08.2026, PP	Confirms	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	19.96	Grade II, 19.00 – 25.00	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	0.05	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	—	—	Confirms	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, PP	Missing / not tested	—	1.3·10^4	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	7·10^2	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	<10²>10³ CFU/g [DATA INTEGRITY FLAG — see source]	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	Absent	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	Absent	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	—	—	<2	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	—	—	0.031	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	0.017	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	0.045	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	0.005	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP	ND / <LOQ (13 analytes)	n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed), 23.04.2025, CNP
		CoQ-PP-2026-0081					R2 · Aug 2026	—	—	—	—	—	—	20.03	Grade II, 19.00 – 25.00	197-17-К/26, 07.08.2026, FARM	<LOQ %w/w	197-17-К/26, 07.08.2026, FARM	<LOQ %w/w	197-17-К/26, 07.08.2026, FARM	—	—			—	—	—	—	—	—	—	—	—	—	ND	197-17-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-17-М/26, 10.08.2026, FARM ; 197-17-М/26, 10.08.2026, FARM ; 197-17-М/26, 10.08.2026, FARM ; 197-17-М/26, 10.08.2026, FARM	ND	197-17-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
16	2024-10	CoQ-PP-2026-0010	OPM1024_01	P050042	Orange Punch Mimosa	OPM_THC16:CBD1	R1 · May 2025	Conforms	iCoA-PP-2026-0029 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0029 (proposed), 13.08.2026, PP	Missing / not tested	—	15.38	Grade III, 13.00 – 19.00	ППК25117, 06.05.2025, CNP	0.04	ППК25117, 06.05.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0028 (proposed), 13.08.2026, PP	5.86	ППК25117, 06.05.2025, CNP	<10	407/0745/25, 07.05.2025, IPH	<10	407/0745/25, 07.05.2025, IPH	<10² and >10	407/0745/25, 07.05.2025, IPH	Absent	407/0745/25, 07.05.2025, IPH	Absent	407/0745/25, 07.05.2025, IPH	Missing / not tested	—	<2	2156/2025, 07.05.2025, IPH	Missing / not tested	—	0.031	2156/2025, 07.05.2025, IPH	0.004	2156/2025, 07.05.2025, IPH	0.01	2156/2025, 07.05.2025, IPH	0.001	2156/2025, 07.05.2025, IPH	ND / <LOQ (13 analytes)	2156/2025, 07.05.2025, IPH
17	2024-10	CoQ-PP-2026-0013	OPM1024_02	P050062	Orange Punch Mimosa	OPM_THC16:CBD1	R1 · Jun 2025	Conforms	iCoA-PP-2026-0031 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0031 (proposed), 13.08.2026, PP	Missing / not tested	—	18.27	Grade III, 13.00 – 19.00	ППК21554, 24.06.2025, CNP	0.05	ППК21554, 24.06.2025, CNP	—	—	Conforms	iCoA-PP-2026-0030 (proposed), 13.08.2026, PP	6.89	ППК21554, 24.06.2025, CNP	3.4×10³	588/1067/25, 13.06.2025, IPH	3.6×10³	588/1067/25, 13.06.2025, IPH	<10	588/1067/25, 13.06.2025, IPH	Одговара (absent)	588/1067/25, 13.06.2025, IPH	Одговара (absent)	588/1067/25, 13.06.2025, IPH	—	—	<2	2994/2025, 19.06.2025, IPH	—	—	0.052	2994/2025, 19.06.2025, IPH	0.011	2994/2025, 19.06.2025, IPH	0.028	2994/2025, 19.06.2025, IPH	0.061	2994/2025, 19.06.2025, IPH	ND / <LOQ (13 analytes)	2994/2025, 19.06.2025, IPH
		CoQ-PP-2026-0082					R2 · Aug 2026	—	—	—	—			18.04	Grade III, 13.00 – 19.00	197-18-К/26, 07.08.2026, FARM	<LOQ %w/w	197-18-К/26, 07.08.2026, FARM	<LOQ %w/w	197-18-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-18-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four not detected)	197-18-М/26, 10.08.2026, FARM ; 197-18-М/26, 10.08.2026, FARM ; 197-18-М/26, 10.08.2026, FARM ; 197-18-М/26, 10.08.2026, FARM	ND	197-18-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
18	2024-10	CoQ-PP-2026-0018	OPM1024_03	P050082	Orange Punch Mimosa	OPM_THC16:CBD1	R1 · Jul 2025	Conforms	iCoA-PP-2026-0033 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0033 (proposed), 13.08.2026, PP	Missing / not tested	—	16.55	Grade III, 13.00 – 19.00	ППК25210, 28.07.2025, CNP	0.04	ППК25210, 28.07.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0032 (proposed), 13.08.2026, PP	6.38	ППК25210, 28.07.2025, CNP	2×10²	766/1375/25, 29.07.2025, IPH	3×10²	766/1375/25, 29.07.2025, IPH	<10	766/1375/25, 29.07.2025, IPH	Одговара (absent)	766/1375/25, 29.07.2025, IPH	Одговара (absent)	766/1375/25, 29.07.2025, IPH	Missing / not tested	—	2.1	3636/2025, 28.07.2025, IPH	Missing / not tested	—	N.D.	3636/2025, 28.07.2025, IPH	N.D.	3636/2025, 28.07.2025, IPH	0.135	3636/2025, 28.07.2025, IPH	0.03	3636/2025, 28.07.2025, IPH	ND / <LOQ (13 analytes)	3636/2025, 28.07.2025, IPH
19	2025-05	CoQ-PP-2026-0029	BSS052501	P050192	Blue Sunset Sherbet	BSS_THC22:CBD1	R1 · Nov–Dec 2025	Confirms	PP CoA #017, 04.12.2025, PP	Conforms	iCoA-PP-2026-0034 (proposed), 13.08.2026, PP	Confirms	In-house GC cross-check NGP/QCG/SOP-024, 28.11.2025, PP	20.39	Grade II, 19.39 – 24.75	In-house GC cross-check NGP/QCG/SOP-024, 28.11.2025, PP	0.11	In-house GC cross-check NGP/QCG/SOP-024, 28.11.2025, PP	Missing / not tested	—	Confirms	PP CoA #017, 04.12.2025, PP	8.60	In-house GC cross-check NGP/QCG/SOP-024, 28.11.2025, PP	200	1157/2058/25, 24.11.2025, IPH	200	1157/2058/25, 24.11.2025, IPH	< 10^2 and > 10	1157/2058/25, 24.11.2025, IPH	Odgovara (Absent)	1157/2058/25, 24.11.2025, IPH	Odgovara (Absent)	1157/2058/25, 24.11.2025, IPH	ND	276-31-М/25, 04.12.2025, FARM	Missing / not tested	—	<LOQ	276-31-М/25, 04.12.2025, FARM	0.024	5661/2025, 01.12.2025, IPH	0.004	5661/2025, 01.12.2025, IPH	0.025	5661/2025, 01.12.2025, IPH	0.0036	5661/2025, 01.12.2025, IPH	Pesticide residue screen (471 residues: 265 LC/MS/MS Annex 1 + 206 GC/MS/MS Annex 2, MKC EN 15662:2011): Not found any pesticide above LOQ (≤LOQ) — COMPLIES with USP and Ph.Eur.	10802_2845/2, 17.11.2025, SPL
20	2025-05	CoQ-PP-2026-0020	CJ052501/1	P050162	Cap Junky	CJ_THC22.5:CBD1	R1 · Sep 2025	Conforms	iCoA-PP-2026-0036 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0036 (proposed), 13.08.2026, PP	Missing / not tested	—	20.29	Grade II, 19.75 – 25.25	ППК25280, 17.09.2025, CNP	0.07	ППК25280, 17.09.2025, CNP	—	—	Conforms	iCoA-PP-2026-0035 (proposed), 13.08.2026, PP	7.93	ППК25280, 17.09.2025, CNP	2.8×10⁴	949/1687/25, 17.09.2025, IPH	1.7×10⁴ CFU/g [DATA INTEGRITY FLAG — see source]	949/1687/25, 17.09.2025, IPH	<10³ and >10²	949/1687/25, 17.09.2025, IPH	Одговара (absent)	949/1687/25, 17.09.2025, IPH	Одговара (absent)	949/1687/25, 17.09.2025, IPH	—	—	<2	4350/2025, 15.09.2025, IPH	—	—	0.085	4350/2025, 15.09.2025, IPH	N.D.	4350/2025, 15.09.2025, IPH	N.D.	4350/2025, 15.09.2025, IPH	N.D.	4350/2025, 15.09.2025, IPH	ND / <LOQ (13 analytes)	4350/2025, 15.09.2025, IPH
		CoQ-PP-2026-0083					R2 · Aug 2026	—	—	—	—			24.05	Grade II, 19.75 – 25.25	197-3-К/26, 07.08.2026, FARM	<LOQ %w/w	197-3-К/26, 07.08.2026, FARM	<LOQ %w/w	197-3-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-3-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four not detected)	197-3-М/26, 10.08.2026, FARM ; 197-3-М/26, 10.08.2026, FARM ; 197-3-М/26, 10.08.2026, FARM ; 197-3-М/26, 10.08.2026, FARM	ND	197-3-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
21	2025-05	CoQ-PP-2026-0021	CJ052501/2	P050172	Cap Junky	CJ_THC17:CBD1	R1 · Sep 2025	Conforms	iCoA-PP-2026-0038 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0038 (proposed), 13.08.2026, PP	Missing / not tested	—	14.93	Grade III, 13.93 – 19.75	ППК25281, 17.09.2025, CNP	0.10	ППК25281, 17.09.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0037 (proposed), 13.08.2026, PP	6.63	ППК25281, 17.09.2025, CNP	9×10³	947/1685/25, 17.09.2025, IPH	6.3×10³	947/1685/25, 17.09.2025, IPH	<10	947/1685/25, 17.09.2025, IPH	Одговара (absent)	947/1685/25, 17.09.2025, IPH	Одговара (absent)	947/1685/25, 17.09.2025, IPH	Missing / not tested	—	<2	4349/2025, 15.09.2025, IPH	Missing / not tested	—	0.02	4349/2025, 15.09.2025, IPH	N.D.	4349/2025, 15.09.2025, IPH	0.042	4349/2025, 15.09.2025, IPH	N.D.	4349/2025, 15.09.2025, IPH	ND / <LOQ (13 analytes)	4349/2025, 15.09.2025, IPH
22	2025-05	CoQ-PP-2026-0022	GP052501	P050152	Grape Pie	GP_THC20:CBD1	R1 · Sep 2025	Conforms	iCoA-PP-2026-0040 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0040 (proposed), 13.08.2026, PP	Missing / not tested	—	18.98	Grade III, 18.00 – 22.00	ППК25279, 19.09.2025, CNP	0.08	ППК25279, 19.09.2025, CNP	—	—	Conforms	iCoA-PP-2026-0039 (proposed), 13.08.2026, PP	7.30	ППК25279, 19.09.2025, CNP	2.1×10⁴	946/1684/25, 17.09.2025, IPH	3.6×10³ CFU/g [DATA INTEGRITY FLAG — see source]	946/1684/25, 17.09.2025, IPH	<10² and >10¹	946/1684/25, 17.09.2025, IPH	Одговара (absent)	946/1684/25, 17.09.2025, IPH	Одговара (absent)	946/1684/25, 17.09.2025, IPH	—	—	<2	4348/2025, 15.09.2025, IPH	—	—	0.06	4348/2025, 15.09.2025, IPH	N.D.	4348/2025, 15.09.2025, IPH	N.D.	4348/2025, 15.09.2025, IPH	N.D.	4348/2025, 15.09.2025, IPH	ND / <LOQ (13 analytes)	4348/2025, 15.09.2025, IPH
		CoQ-PP-2026-0084					R2 · Aug 2026	—	—	—	—			18.52	Grade III, 18.00 – 22.00	197-10-К/26, 07.08.2026, FARM	<LOQ %w/w	197-10-К/26, 07.08.2026, FARM	<LOQ %w/w	197-10-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-10-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four not detected)	197-10-М/26, 10.08.2026, FARM ; 197-10-М/26, 10.08.2026, FARM ; 197-10-М/26, 10.08.2026, FARM ; 197-10-М/26, 10.08.2026, FARM	ND	197-10-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
23	2025-05	CoQ-PP-2026-0023	HPA052501	P050182	High Pro Amnesia	HPA_THC22:CBD1	R1 · Sep 2025	Conforms	iCoA-PP-2026-0042 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0042 (proposed), 13.08.2026, PP	Missing / not tested	—	20.39	Grade II, 19.39 – 24.75	ППК25278, 19.09.2025, CNP	0.09	ППК25278, 19.09.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0041 (proposed), 13.08.2026, PP	7.29	ППК25278, 19.09.2025, CNP	2.7×10⁴	948/1686/25, 17.09.2025, IPH	2.6×10⁴	948/1686/25, 17.09.2025, IPH	<10¹	948/1686/25, 17.09.2025, IPH	Одговара (absent)	948/1686/25, 17.09.2025, IPH	Одговара (absent)	948/1686/25, 17.09.2025, IPH	Missing / not tested	—	<2	4352/2025, 15.09.2025, IPH	Missing / not tested	—	0.034	4352/2025, 15.09.2025, IPH	N.D.	4352/2025, 15.09.2025, IPH	N.D.	4352/2025, 15.09.2025, IPH	N.D.	4352/2025, 15.09.2025, IPH	ND / <LOQ (13 analytes)	4352/2025, 15.09.2025, IPH
24	2025-05	CoQ-PP-2026-0019	OPM052501	P050132	Orange Punch Mimosa	OPM_THC16:CBD1	R1 · Aug–Sep 2025	Conforms	iCoA-PP-2026-0044 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0044 (proposed), 13.08.2026, PP	Missing / not tested	—	14.16	Grade III, 13.00 – 19.00	ППК52557, 05.09.2025, CNP	0.04	ППК52557, 05.09.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0043 (proposed), 13.08.2026, PP	8.28	ППК52557, 05.09.2025, CNP	1.2×10⁴	904/1589/25, 02.09.2025, IPH	3.3×10³	904/1589/25, 02.09.2025, IPH	<10	904/1589/25, 02.09.2025, IPH	Одговара (absent)	904/1589/25, 02.09.2025, IPH	Одговара (absent)	904/1589/25, 02.09.2025, IPH	Missing / not tested	—	2.1	4157/2025, 29.08.2025, IPH	Missing / not tested	—	N.D.	4157/2025, 29.08.2025, IPH	N.D.	4157/2025, 29.08.2025, IPH	N.D.	4157/2025, 29.08.2025, IPH	N.D.	4157/2025, 29.08.2025, IPH	ND / <LOQ (13 analytes)	4157/2025, 29.08.2025, IPH
25	2025-06	CoQ-PP-2026-0026	CJ062501/1	P050222	Cap Junky	CJ_THC22.5:CBD1	R1 · Oct–Dec 2025	Conforms	iCoA-PP-2026-0046 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0046 (proposed), 13.08.2026, PP	Confirms	ППК25321, 23.10.2025, CNP	21.51	Grade II, 19.75 – 25.25	ППК25321, 23.10.2025, CNP	0.07	ППК25321, 23.10.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0045 (proposed), 13.08.2026, PP	7.77	ППК25321, 23.10.2025, CNP	<10	1217/2168/25, 01.12.2025, IPH	20	1217/2168/25, 01.12.2025, IPH	<10	1217/2168/25, 01.12.2025, IPH	Odgovara (Absent)	1217/2168/25, 01.12.2025, IPH	Odgovara (Absent)	1217/2168/25, 01.12.2025, IPH	Missing / not tested	—	<2	4907/2025, 24.10.2025, IPH	Missing / not tested	—	0.037	4907/2025, 24.10.2025, IPH	0.002	4907/2025, 24.10.2025, IPH	0.027	4907/2025, 24.10.2025, IPH	0.017	4907/2025, 24.10.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	4907/2025, 24.10.2025, IPH
26	2025-06	CoQ-PP-2026-0024	CJ062501/2	P050212	Cap Junky	CJ_THC17:CBD1	R1 · Oct 2025	—	—	Conforms	iCoA-PP-2026-0047 (proposed), 13.08.2026, PP	Confirms	ППК25322, 23.10.2025, CNP	16.56	Grade III, 13.93 – 19.75	ППК25322, 23.10.2025, CNP	0.14	ППК25322, 23.10.2025, CNP	—	—	—	—	6.70	ППК25322, 23.10.2025, CNP	2.2×10^4	1032/1851/25, 17.10.2025, IPH	4.9×10^3	1032/1851/25, 17.10.2025, IPH	< 10^4 and > 10^3	1032/1851/25, 17.10.2025, IPH	Odgovara (Absent)	1032/1851/25, 17.10.2025, IPH	Odgovara (Absent)	1032/1851/25, 17.10.2025, IPH	—	—	<2	4908/2025, 24.10.2025, IPH	—	—	0.026	4908/2025, 24.10.2025, IPH	0.002	4908/2025, 24.10.2025, IPH	0.011	4908/2025, 24.10.2025, IPH	0.012	4908/2025, 24.10.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	4908/2025, 24.10.2025, IPH
		CoQ-PP-2026-0036					R2 · Jan 2026	Confirms	PP CoA #028, 24.01.2026, PP	—	—	—	—	—	—	—	—	—	—	—	Confirms	PP CoA #028, 24.01.2026, PP	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
		CoQ-PP-2026-0085					R3 · Aug 2026	—	—	—	—	—	—	18.91	Grade III, 13.93 – 19.75	197-4-К/26, 07.08.2026, FARM	<LOQ %w/w	197-4-К/26, 07.08.2026, FARM	<LOQ %w/w	197-4-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-4-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four not detected)	197-4-М/26, 10.08.2026, FARM ; 197-4-М/26, 10.08.2026, FARM ; 197-4-М/26, 10.08.2026, FARM ; 197-4-М/26, 10.08.2026, FARM	ND	197-4-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
27	2025-06	CoQ-PP-2026-0025	GP062501	P050202	Grape Pie	GP_THC24:CBD1	R1 · Oct–Nov 2025	Confirms	PP CoA #016, 04.10.2025, PP	Conforms	iCoA-PP-2026-0048 (proposed), 13.08.2026, PP	Confirms	In-house HPLC cross-check NPCCC/SCP-02, NGP/QCG/SOP-024, 28.11.2025, PP	24.89	Grade II, 22.00 – 26.00	In-house HPLC cross-check NPCCC/SCP-02, NGP/QCG/SOP-024, 28.11.2025, PP	0.17	In-house HPLC cross-check NPCCC/SCP-02, NGP/QCG/SOP-024, 28.11.2025, PP	Missing / not tested	—	Confirms	PP CoA #016, 04.10.2025, PP	8.19% (avg of 4 weighings 51-1,51-2,52-1,52-2)	In-house HPLC cross-check NPCCC/SCP-02, NGP/QCG/SOP-024, 28.11.2025, PP	1.3×10^4 ; 600	1009/1813/25, 08.10.2025, IPH ; 1155/2056/25, 24.11.2025, IPH	4.2×10^3 ; 400	1009/1813/25, 08.10.2025, IPH ; 1155/2056/25, 24.11.2025, IPH	<10^1 and >10^1 ; <10	1009/1813/25, 08.10.2025, IPH ; 1155/2056/25, 24.11.2025, IPH	Odgovara (Absent) ; Odgovara (Absent)	1009/1813/25, 08.10.2025, IPH ; 1155/2056/25, 24.11.2025, IPH	Odgovara (Absent) ; Odgovara (Absent)	1009/1813/25, 08.10.2025, IPH ; 1155/2056/25, 24.11.2025, IPH	Missing / not tested	—	<2	4762/2025, 08.10.2025, IPH	Missing / not tested	—	0.077	4762/2025, 08.10.2025, IPH	0.014	4762/2025, 08.10.2025, IPH	0.024	4762/2025, 08.10.2025, IPH	0.011	4762/2025, 08.10.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	4762/2025, 08.10.2025, IPH
