#	Production	CoQ doc. code (proposed)	Batch	P-Number	Strain	Product code	Round	1 — Macroscopic ID (Test A)	eCoA reference	2 — Microscopic ID (Test B)	eCoA reference	3 — HPTLC ID (Test C)	eCoA reference	4 — Total Δ⁹-THC (%)	Grade (v.02)	eCoA reference	5 — Total CBD (%)	eCoA reference	6 — Total CBN (%)	eCoA reference	7 — Foreign Matter (%)	eCoA reference	8 — Loss on Drying (%)	eCoA reference	9.1 — TAMC (CFU/g)	eCoA reference	9.2 — TYMC (CFU/g)	eCoA reference	9.3 — Bile-tol. gram-negative (CFU/g)	eCoA reference	9.4 — Salmonella	eCoA reference	9.5 — Escherichia coli	eCoA reference	10.1 — Aflatoxin B1 (µg/kg)	eCoA reference	10.2 — Total Aflatoxins (µg/kg)	eCoA reference	10.3 — Ochratoxin A (µg/kg)	eCoA reference	11.1 — Lead (Pb) (mg/kg)	eCoA reference	11.2 — Cadmium (Cd) (mg/kg)	eCoA reference	11.3 — Arsenic (As) (mg/kg)	eCoA reference	11.4 — Mercury (Hg) (mg/kg)	eCoA reference	12 — Pesticide Residues	eCoA reference
								A.C. Conforms to description		A.C. Conforms to description		A.C. Identity confirmed		A.C. Per target grade (QCSP 001 §01)			A.C. ≤ 1.0		A.C. ≤ 1.0		A.C. ≤ 2.0		A.C. ≤ 12.0		A.C. ≤ 10⁵		A.C. ≤ 10⁴		A.C. ≤ 10⁴		A.C. Absence /25 g		A.C. Absence /1 g		A.C. ≤ 2		A.C. ≤ 4		A.C. ≤ 20		A.C. ≤ 0.5		A.C. ≤ 0.3		A.C. ≤ 0.2		A.C. ≤ 0.1		A.C. ≤ LOQ (Ph. Eur. 2.8.13)	
35	2025-08	CoQ-PP-2026-0035	CJ082501/2	P060032	Cap Junky	CJ_THC22.5:CBD1 / CJ_THC17:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #034, 20.02.2026, PP	Conforms	iCoA-PP-2026-0061 (proposed), 13.08.2026, PP	Confirms	ППК26003, 21.01.2026, CNP	20.84	Grade II, 19.75 – 25.25	ППК26003, 21.01.2026, CNP	0.08	ППК26003, 21.01.2026, CNP	—	—	Confirms	PP CoA #034, 20.02.2026, PP	7.37	ППК26003, 21.01.2026, CNP	9.5×10^2	4/0007/26, 20.01.2026, IPH	1.2×10^3	4/0007/26, 20.01.2026, IPH	< 10^2 and > 10	4/0007/26, 20.01.2026, IPH	Odgovara (Absent)	4/0007/26, 20.01.2026, IPH	<10	4/0007/26, 20.01.2026, IPH	—	—	<2	82/2026, 02.02.2026, IPH	—	—	0.073	82/2026, 02.02.2026, IPH	Н.д.	82/2026, 02.02.2026, IPH	Н.д.	82/2026, 02.02.2026, IPH	Н.д.	82/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	82/2026, 02.02.2026, IPH
							R2 · Aug 2026	—	—	—	—	—	—	18.29	Grade III, 13.93 – 19.75	197-5-К/26, 07.08.2026, FARM	<LOQ %w/w	197-5-К/26, 07.08.2026, FARM	<LOQ %w/w	197-5-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND µg/kg (all four)	197-5-М/26, 10.08.2026, FARM	ND (all four not detected)	197-5-М/26, 10.08.2026, FARM	ND	197-5-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
37	2025-08	CoQ-PP-2026-0037	GP082501/2	P050322	Grape Pie	GP_THC16:CBD1	R1 · Dec 2025 – Jan 2026	Conforms	iCoA-PP-2026-0065 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0065 (proposed), 13.08.2026, PP	Missing / not tested	—	14.83	Grade IV, 13.83 – 18.00	PP CoA #021 / ППК25381, 21.01.2026, CNP	0.11	PP CoA #021 / ППК25381, 21.01.2026, CNP	—	—	Conforms	iCoA-PP-2026-0064 (proposed), 13.08.2026, PP	6.88	PP CoA #021 / ППК25381, 21.01.2026, CNP	3.2×10^3	1227/2193/25, 05.12.2025, IPH	5.8×10^3	1227/2193/25, 05.12.2025, IPH	<10¹ and >10³	1227/2193/25, 05.12.2025, IPH	Odgovara (Absent)	1227/2193/25, 05.12.2025, IPH	Odgovara (Absent)	1227/2193/25, 05.12.2025, IPH	—	—	<2	5889/2025, 12.12.2025, IPH	—	—	0.013	5889/2025, 12.12.2025, IPH	0.003	5889/2025, 12.12.2025, IPH	0.02	5889/2025, 12.12.2025, IPH	0.016	5889/2025, 12.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5889/2025, 12.12.2025, IPH
							R2 · Aug 2026	—	—	—	—			15.70	Grade IV, 13.83 – 18.00	197-12-К/26, 07.08.2026, FARM	<LOQ %w/w	197-12-К/26, 07.08.2026, FARM	<LOQ %w/w	197-12-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND µg/kg (all four)	197-12-М/26, 10.08.2026, FARM	ND (all four not detected)	197-12-М/26, 10.08.2026, FARM	ND	197-12-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
43	2025-09	CoQ-PP-2026-0043	PM092501	P060062	Permanent Marker	PM_THC16.5:CBD1 / PM_THC11.5:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #036, 20.02.2026, PP	Conforms	iCoA-PP-2026-0072 (proposed), 13.08.2026, PP	Confirms	ППК26004, 21.01.2026, CNP	14.06	Grade III, 14.00 – 19.00	ППК26004, 21.01.2026, CNP	0.05	ППК26004, 21.01.2026, CNP	—	—	Confirms	PP CoA #036, 20.02.2026, PP	7.97	ППК26004, 21.01.2026, CNP	2×10^3	6/0009/26, 20.01.2026, IPH	2.2×10^3	6/0009/26, 20.01.2026, IPH	<10	6/0009/26, 20.01.2026, IPH	Odgovara (Absent)	6/0009/26, 20.01.2026, IPH	<10	6/0009/26, 20.01.2026, IPH	—	—	<2	83/2026, 02.02.2026, IPH	—	—	0.03	83/2026, 02.02.2026, IPH	Н.д.	83/2026, 02.02.2026, IPH	Н.д.	83/2026, 02.02.2026, IPH	Н.д.	83/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	83/2026, 02.02.2026, IPH
							R2 · Aug 2026	—	—	—	—	—	—	12.25	Grade IV, 9.01 – 14.00	197-20-К/26, 07.08.2026, FARM	<LOQ %w/w	197-20-К/26, 07.08.2026, FARM	<LOQ %w/w	197-20-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND µg/kg (all four)	197-20-М/26, 10.08.2026, FARM	ND (all four not detected)	197-20-М/26, 10.08.2026, FARM	ND	197-20-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
46	2025-10	CoQ-PP-2026-0046	J31102501	P060152	Jokerz 31	J31_THC20:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0077 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0077 (proposed), 13.08.2026, PP	Missing / not tested	—	19.14	Grade II, 16.50 – 23.50	051-1-K/26, 04.03.2026, FARM	< LOQ (<0.20%)	051-1-K/26, 04.03.2026, FARM	< LOQ	051-1-K/26, 04.03.2026, FARM	Conforms	iCoA-PP-2026-0076 (proposed), 13.08.2026, PP	6.3	051-1-GS/26, 02.03.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	—	—	—	—	—	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
							R2 · Aug 2026	—	—	—	—			17.32	Grade II, 16.50 – 23.50	197-16-К/26, 07.08.2026, FARM	<LOQ %w/w	197-16-К/26, 07.08.2026, FARM	<LOQ %w/w	197-16-К/26, 07.08.2026, FARM	—	—	—	—											ND	197-16-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-16-М/26, 10.08.2026, FARM ; 197-16-М/26, 10.08.2026, FARM ; 197-16-М/26, 10.08.2026, FARM ; 197-16-М/26, 10.08.2026, FARM	ND	197-16-М/26, 10.08.2026, FARM										
53	2025-11	CoQ-PP-2026-0053	JD112501	P060212	Jelly Donutz	JD_THC20:CBD1 / JD_THC15:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0091 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0091 (proposed), 13.08.2026, PP	Missing / not tested	—	19.64 ; 13.93	Grade III, 18.00 – 22.00 ; Grade IV, 12.50 – 18.00	ППК26063, 11.05.2026, CNP ; ППК26065, 11.05.2026, CNP	0.06 ; 0.04	ППК26063, 11.05.2026, CNP ; ППК26065, 11.05.2026, CNP	—	—	Conforms	iCoA-PP-2026-0090 (proposed), 13.08.2026, PP	6.69 ; 6.38	ППК26063, 11.05.2026, CNP ; ППК26065, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	—	—	—	—	—	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
							R2 · Aug 2026	—	—	—	—			20.32	Grade III, 18.00 – 22.00	197-15-К/26, 07.08.2026, FARM	<LOQ %w/w	197-15-К/26, 07.08.2026, FARM	<LOQ %w/w	197-15-К/26, 07.08.2026, FARM	—	—	—	—											ND	197-15-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-15-М/26, 10.08.2026, FARM ; 197-15-М/26, 10.08.2026, FARM ; 197-15-М/26, 10.08.2026, FARM ; 197-15-М/26, 10.08.2026, FARM	ND	197-15-М/26, 10.08.2026, FARM										
59	2025-12	CoQ-PP-2026-0059	OPM122501	P060242	Orange Punch Mimosa	OPM_THC10:CBD1	R1 · Apr 2026	Conforms	iCoA-PP-2026-0103 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0103 (proposed), 13.08.2026, PP	Missing / not tested	—	8.09	Grade IV, 7.09 – 13.00	100-4-К/26, 09.04.2026, FARM	< LOQ (<0.20%)	100-4-К/26, 09.04.2026, FARM	< LOQ	100-4-К/26, 09.04.2026, FARM	Conforms	iCoA-PP-2026-0102 (proposed), 13.08.2026, PP	6.6	100-4-ГС/26, 09.04.2026, FARM	120	229/0392/26, 07.04.2026, IPH	100	229/0392/26, 07.04.2026, IPH	<10	229/0392/26, 07.04.2026, IPH	Одговара (Complies/Absent)	229/0392/26, 07.04.2026, IPH	Одговара (Complies/Absent)	229/0392/26, 07.04.2026, IPH	—	—	2.2	1627/2026, 23.04.2026, IPH	—	—	0.049	1627/2026, 23.04.2026, IPH	0.165	1627/2026, 23.04.2026, IPH	н.д.	1627/2026, 23.04.2026, IPH	н.д.	1627/2026, 23.04.2026, IPH	Lindan (Gama HCH): н.д.; Aldrin: н.д.; Dieldrin и Aldrin (expressed as Dieldrin): н.д.; HCB: н.д.; 4,4' DDE: н.д.; 4,4' DDD: н.д.; 4,4' DDT: н.д.; вкупно DDT (total DDT): н.д.; delta HCH: н.д.; alpha HCH: н.д.; beta HCH: н.д.; Endrin: н.д.; Chlorpyrifos-methyl: н.д.; Chlorpyrifos: н.д.; Heptachlor (sum of Heptachlor + Heptachlor epoxide): н.д.; Endosulfan (alpha, beta and endosulfan sulfate): н.д.; Deltamethrin: н.д.; Chlordane (sum of cis- and trans-chlordane): н.д.; Metoxychlor: н.д.; Heptachlor epoxide: н.д.; Endrin aldehyde: н.д.; alpha Endosulfan: н.д.; beta Endosulfan: н.д.; Endrin keton: н.д.; trans-Chlordane: н.д.; cis-Chlordane: н.д.; Dieldrin: н.д.; Heptachlor: н.д.; Endosulfan sulfate: н.д.	1627/2026, 23.04.2026, IPH
							R2 · Aug 2026	—	—	—	—			7.91	Grade IV, 7.09 – 13.00	197-19-К/26, 07.08.2026, FARM	<LOQ %w/w	197-19-К/26, 07.08.2026, FARM	<LOQ %w/w	197-19-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-19-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-19-М/26, 10.08.2026, FARM ; 197-19-М/26, 10.08.2026, FARM ; 197-19-М/26, 10.08.2026, FARM ; 197-19-М/26, 10.08.2026, FARM	ND	197-19-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
60	2026-01	CoQ-PP-2026-0060	CC012601/1	P060332	Cash Cow	CC_THC18:CBD1	R1 · Aug 2026	Conforms	iCoA-PP-2026-0105 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0105 (proposed), 13.08.2026, PP	Missing / not tested	—	17.67	Grade III, 15.50 – 20.50	197-6-К/26, 07.08.2026, FARM	<LOQ %w/w	197-6-К/26, 07.08.2026, FARM	<LOQ %w/w	197-6-К/26, 07.08.2026, FARM	Conforms	iCoA-PP-2026-0104 (proposed), 13.08.2026, PP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	ND	197-6-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-6-М/26, 10.08.2026, FARM ; 197-6-М/26, 10.08.2026, FARM ; 197-6-М/26, 10.08.2026, FARM ; 197-6-М/26, 10.08.2026, FARM	ND	197-6-М/26, 10.08.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
64	2026-01	CoQ-PP-2026-0064	FB012602	P060352	Fat Bastard	FB_THC16.5:CBD1	R1 · Aug 2026	Conforms	iCoA-PP-2026-0113 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0113 (proposed), 13.08.2026, PP	Missing / not tested	—	18.86	Grade III, 13.68 – 19.25	197-7-К/26, 07.08.2026, FARM	<LOQ %w/w	197-7-К/26, 07.08.2026, FARM	0.22	197-7-К/26, 07.08.2026, FARM	Conforms	iCoA-PP-2026-0112 (proposed), 13.08.2026, PP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	ND	197-7-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-7-М/26, 10.08.2026, FARM ; 197-7-М/26, 10.08.2026, FARM ; 197-7-М/26, 10.08.2026, FARM ; 197-7-М/26, 10.08.2026, FARM	ND	197-7-М/26, 10.08.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
67	2026-01	CoQ-PP-2026-0067	GG012603	P060402	Gorilla Glue	GG_THC15:CBD1	R1 · Jun–Aug 2026	Conforms	iCoA-PP-2026-0116 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0116 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26114, 30.06.2026, CNP	16.70 ; 17.59	Grade III, 12.34 – 18.00 ; Grade III, 12.34 – 18.00	197-8-К/26, 07.08.2026, FARM ; ППК26114, 30.06.2026, CNP	<LOQ %w/w ; 0.05	197-8-К/26, 07.08.2026, FARM ; ППК26114, 30.06.2026, CNP	<LOQ %w/w ; 0.15	197-8-К/26, 07.08.2026, FARM ; ППК26114, 30.06.2026, CNP	0.09% (Conforms)	ППК26114, 30.06.2026, CNP	6.48	ППК26114, 30.06.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	ND	197-8-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-8-М/26, 10.08.2026, FARM ; 197-8-М/26, 10.08.2026, FARM ; 197-8-М/26, 10.08.2026, FARM ; 197-8-М/26, 10.08.2026, FARM	ND	197-8-М/26, 10.08.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
70	2026-01	CoQ-PP-2026-0070	SCR012603	P060382	Scrambler	SCR_THC18.5:CBD1	R1 · Aug 2026	Conforms	iCoA-PP-2026-0120 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0120 (proposed), 13.08.2026, PP	Missing / not tested	—	17.84	Grade III, 16.13 – 20.75	197-21-К/26, 07.08.2026, FARM	<LOQ %w/w	197-21-К/26, 07.08.2026, FARM	<LOQ %w/w	197-21-К/26, 07.08.2026, FARM	Conforms	iCoA-PP-2026-0119 (proposed), 13.08.2026, PP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	ND	197-21-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-21-М/26, 10.08.2026, FARM ; 197-21-М/26, 10.08.2026, FARM ; 197-21-М/26, 10.08.2026, FARM ; 197-21-М/26, 10.08.2026, FARM	ND	197-21-М/26, 10.08.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
