"QC BATCH RELEASE RESULTS REGISTER — FINAL POTENCY GRADES (27.08.2026, rev. 2 — T1+T2 re-analysis anchors of 26.08.2026)"
"Part 1: batch-level release results (CoQ-forming values) with assigned grade · Part 2: Specifications by Strain — every grade, range, and the results in it · Part 3: Batch -> Grade Assignments. Per-certificate detail: QC_Batch_Release_Results_Register.xlsx (letta-stack) and the eCoA Register sheet rev.5. Source: RAGFlow eCoA_DATABASE · ImB_Potency_Grade_Ranges · Potency Atlas. T2 values (Farmahem, 26.08.2026) are unofficial until the formal eCoAs are filed."

PART 1 — BATCH RELEASE QC (batch level)
No.,Batch,P-number,Strain,THC %,Grade range %,Potency grade,Spec code,CBD %,CBN %,LoD %,FM %,TAMC,TYMC,BTGNB,Salmonella,E.coli,AflaΣ,AflaB1,OTA,Pb,Cd,As,Hg,Pesticides,No. of certs,CoQ code
1,BG1024,,Blue Gelato,26.14,23.40-28.60,I · BG_THC26:CBD1,QCSP_001_BG-I,< LOQ,0.28,5.73,Confirms,"1,6 x 10⁴",1 x 10⁴,<10^2-10,Одговара,Одговара,ND,ND,ND,0.01,0.016,0.014,0.005,н.д.,6,
2,BSS1024,,Blue Sunset Sherbet,25.01,22.01-25.99,I · BSS_THC24:CBD1,QCSP_001_BSS-I,<LOQ,<LOQ,5.99,Confirms,"1,5 x 10⁴","2,2 x 10³",,Одговара,Одговара,< 2,ND,ND,0.071,0.014,0.081,0.014,Н.Д.,6,
3,CJ1024,,Cap Junky,23.00,23.00-25.00,III · CJ_THC24:CBD1,QCSP_001_CJ-III,0.05,0.02,5.91,Confirms,"8,4 x 10³",<10,< 10,Одговара,Одговара,< 2,Н.д.,Н.д.,0.036,0.013,0.063,0.006,Н.д.,4,CoQ-PP-2026-0004
4,GG1024_01,P050092,Gorilla Glue,18.67,17.01-18.99,I · GG_THC18:CBD1,QCSP_001_GG-I,< LOQ,0.20,7.54,Confirms,"5,1 х 10⁴","4,2 х 10³",< 10,Одговара,Одговара,< 2,ND,ND,0.02,0.007,0.015,0.005,Одговара,6,
5,GP0824_01,P050102,Grape Pie,20.79,18.00-22.00,IV · GP_THC20:CBD1,QCSP_001_GP-IV,0.06,N.D.,6.73,Confirms,"5,2 x 10³ CFU/g","8,8 x 10³ CFU/g",,Одговара,Одговара,< 2,Н.Д.,Н.Д.,0.026,0.005,0.015,0.005,Н.д.,5,CoQ-PP-2026-0005
6,GG1024,,Gorilla Glue,15.51 (Т2 неофиц.),15.00-17.00,II · GG_THC16:CBD1,QCSP_001_GG-II,0.03,,,< 2.0,1.1·10⁴,<10,,Absent,Absent,< 2,,,0.052,0.016,0.04,0.004,,1,CoQ-PP-2026-0007
7,HPA1024,,High Pro Amnesia,17.31,17.00-19.00,III · HPA_THC18:CBD1,QCSP_001_HPA-III,<LOQ,0.36,,< 2.0,5.2•10⁴,7•10²,,Absent,Absent,< 2,ND,<LOQ,0.02,0.013,0.017,0.0026,N.D.,3,CoQ-PP-2026-0001
8,OPM1024,,Orange Punch Mimosa,20.03,19.81-24.19,I · OPM_THC22:CBD1,QCSP_001_OPM-I,< LOQ,< LOQ,,< 2.0,1.3•10^4,7•10^2,,Absent,Absent,< 2,ND,ND,0.031,0.017,0.045,0.005,N.D.,3,CoQ-PP-2026-0008
9,MB0824_04,P050032,Motor Breath,18.67,16.20-19.80,I · MB_THC18:CBD1,QCSP_001_MB-I,0.05,0.03,6.01,Confirms,< 10 CFU/g,< 10 CFU/g,< 10 CFU/g,Одговара,Одговара,N.D.,N.D.,N.D.,0.031,0.005,0.011,N.D.,Н.Д.,4,CoQ-PP-2026-0009
10,OMP1024_01,P050042,Orange Punch Mimosa,18.99 (Т2 неофиц.),16.20-19.80,II · OPM_THC18:CBD1,QCSP_001_OPM-II,0.04,0.01,5.86,Confirms,10 CFU/g,< 10 CFU/g,<10^2 and >10 CFU/g,Одговара,Одговара,< 2,N.D.,N.D.,0.031,0.004,0.01,0.001,Одговара,4,
11,GG1024_02,P050012,Gorilla Glue,15.95,15.00-17.00,II · GG_THC16:CBD1,QCSP_001_GG-II,0.06,0.01,6.88,Confirms,"2,1 x 10⁴","1,9 x 10⁴",<10,Одговара,Одговара,< 2,Н.Д.,Н.Д.,Н.Д.,Н.Д.,Н.Д.,Н.Д.,ОДГОВАРА,4,CoQ-PP-2026-0011
12,GP0824_02,P050022,Grape Pie,22.61,22.61-25.39,III · GP_THC24:CBD1,QCSP_001_GP-III,< LOQ,0.23,6.51,Confirms,< 10 CFU/g,< 10 CFU/g,<10 CFU/g,Одговара,Одговара,< 2,ND,ND,н.д.,н.д.,0.047,н.д.,Н.д.,13,CoQ-PP-2026-0014
13,HPA1024_01,P050052,High Pro Amnesia,21.61,21.00-23.00,I · HPA_THC22:CBD1,QCSP_001_HPA-I,<LOQ,<LOQ,6.36,Confirms,"9,6 x 10³","1,5 x 10⁴",<10,Одговара,Одговара,< 2,ND,2.06,0.059,0.014,0.037,0.008,Н.Д.,6,CoQ-PP-2026-0012
14,OPM1024_02,P050062,Orange Punch Mimosa,18.04,16.20-19.80,II · OPM_THC18:CBD1,QCSP_001_OPM-II,< LOQ,< LOQ,6.89,Confirms,"3,4 x 10³ CFU/g","3,6 x 10³ CFU/g",< 10 CFU/g,Одговара,Одговара,< 2,ND,ND,0.052,0.011,0.028,0.061,Н.д.,6,CoQ-PP-2026-0013
15,BSS1024_01/1,P050122,Blue Sunset Sherbet,23.42,22.01-25.99,I · BSS_THC24:CBD1,QCSP_001_BSS-I,0.06,BLQ,6.38,Confirms,< 10 CFU/g,< 10 CFU/g,<10,Одговара,Одговара,<2,Н.Д.,Н.Д.,Н.д.,Н.д.,0.112,Н.д.,Н.д.,4,
16,GP0824_03,P050072,Grape Pie,28.03 (Т2 неофиц.),26.61-29.39,I · GP_THC28:CBD1,QCSP_001_GP-I,0.08,BLQ,6.58,Confirms,"1,1 x 10^4","1,2 x 10^4",,Одговара,Одговара,< 2,Н.Д.,Н.Д.,н.д.,н.д.,0.119,н.д.,Н.д.,7,CoQ-PP-2026-0015
17,MB0824_05,P050112,Motor Breath,17.93 (Т2 неофиц.),16.20-19.80,I · MB_THC18:CBD1,QCSP_001_MB-I,0.06,0.02,6.56,Confirms,"3,5 x 10³",1 x 10³,<10,Одговара,Одговара,2,Н.Д.,Н.Д.,Н.Д.,Н.Д.,0.086,0.006,Н.д.,4,CoQ-PP-2026-0017
18,OPM1024_03,P050082,Orange Punch Mimosa,19.30 (Т2 неофиц.),16.20-19.80,II · OPM_THC18:CBD1,QCSP_001_OPM-II,0.04,0.01,6.38,Confirms,2 х 10^2 CFU/g,3 х 10^2 CFU/g,< 10 CFU/g,Одговара,Одговара,2.1,Н.Д.,Н.Д.,н.д.,н.д.,0.135,0.03,Н.д.,4,CoQ-PP-2026-0018
19,OPM052501,P050132,Orange Punch Mimosa,14.16,12.60-15.40,III · OPM_THC14:CBD1,QCSP_001_OPM-III,0.04,0.02,8.28,Confirms,"1,2 x 10⁴","3,3 x 10³",< 10,Одговара,Одговара,2.1,Н.Д.,Н.Д.,Н.Д.,Н.Д.,Н.Д.,Н.Д.,Одговара,4,CoQ-PP-2026-0019
20,CJ052501/01,P050162,Cap Junky,24.05,23.00-25.00,III · CJ_THC24:CBD1,QCSP_001_CJ-III,0.07,< LOQ,7.93,Confirms,"2,8 x 10⁴","1,7 x 10⁴",,Одговара,Одговара,< 2,Н.Д.,Н.Д.,0.085,Н.Д.,Н.Д.,Н.Д.,Одговара,6,
21,CJ052501/02,P050172,Cap Junky,14.93,14.40-17.60,V · CJ_THC16:CBD1,QCSP_001_CJ-V,0.10,0.02,6.63,Confirms,9 x 10^3,"6,3 x 10^3",< 10⁴CFU/g,Одговара,Одговара,< 2,Н.д.,Н.д.,0.02,Н.д.,0.042,н.д.,Н.д.,4,
22,GP052501,P050152,Grape Pie,18.52,18.00-22.00,IV · GP_THC20:CBD1,QCSP_001_GP-IV,< LOQ,< LOQ,7.30,,"2,1 x 10^4","3,6 x 10^4",,Одговара,Одговара,< 2,ND,ND,0.06,Н.Д.,Н.Д.,Н.Д.,Одговара,5,CoQ-PP-2026-0022
23,HPA052501,P050182,High Pro Amnesia,19.69 (Т2 неофиц.),19.01-20.99,II · HPA_THC20:CBD1,QCSP_001_HPA-II,0.09,0.02,7.29,Confirms,"2,7 x 10⁴","2,6 x 10⁴",,Одговара,Одговара,< 2,Н.Д.,Н.Д.,0.034,Н.Д.,Н.Д.,Н.Д.,Н.Д.,4,CoQ-PP-2026-0023
24,GP062501,P050202,Grape Pie,24.89,22.61-25.39,III · GP_THC24:CBD1,QCSP_001_GP-III,0.17,,8.19,Confirms,600,400,< 10,Одговара,Одговара,< 2,Н.Д.,Н.Д.,0.077,0.014,0.024,0.011,Н.Д.,9,CoQ-PP-2026-0025
25,CJ062501/2,P050212,Cap Junky,18.91,18.00-22.00,IV · CJ_THC20:CBD1,QCSP_001_CJ-IV,0.14,< LOQ,6.70,Confirms,"2,2 x 10⁴","4,9 x 10³",,Одговара,Одговара,< 2,ND,ND,0.026,0.002,0.011,0.012,Н.д.,6,CoQ-PP-2026-0024
26,CJ062501/1,P050222,Cap Junky,24.80 (Т2 неофиц.),23.00-25.00,III · CJ_THC24:CBD1,QCSP_001_CJ-III,0.07,0.02,7.77,,< 10 CFU/g,20 CFU/g,,Одговара,Одговара,< 2,Н.д.,Н.д.,0.037,0.002,0.027,0.017,ОДГОВАРА НА,3,CoQ-PP-2026-0026
27,BSS052501,P050192,Blue Sunset Sherbet,20.52 (Т2 неофиц.),18.00-22.00,II · BSS_THC20:CBD1,QCSP_001_BSS-II,0.11,0.01,8.60,Confirms,200,200,,Одговара,Одговара,N.D.,ND,<LOQ,0.024,0.004,0.025,0.0036,≤ LOQ,7,CoQ-PP-2026-0029
