Seq,CoQ number,CoQ type,Basis date,Issue date,Packaged lot,Cultivation batch,Strain,Grade,iCoA reference,№,Group,Parameter,Параметар,Method / reference,Acceptance criterion,Result,Source document,Document date,Issuing institution,Report series,Status,Performed by,Also on file
1011,CoQ-PP-2026-0022,initial release,23.05.2026,≥ 30.06.2026,P060422,JD012603/02V,Jelly Donuts,III,iCoA-PP-2026-0022,11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,—,—,,,,not tested — no certificate covers it,,
1012,CoQ-PP-2026-0022,initial release,23.05.2026,≥ 30.06.2026,P060422,JD012603/02V,Jelly Donuts,III,iCoA-PP-2026-0022,12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,"< 0,01 mg/kg — all 22 residues",3662/2026,22.06.2026,IJZ,read 09.09.2026,covered,,
1013,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,ППК26114,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1014,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,ППК26114,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1015,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,ППК26114,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1016,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),"16.23 – 19.76 %  (grade I, nominal 18.00 ± 1.77)",17.59,ППК26114,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,16.70 (197-8-К/26)
1017,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",0.05,ППК26114,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,<LOQ (197-8-К/26)
1018,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",0.15,ППК26114,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,<LOQ (197-8-К/26)
1019,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",Conforms,ППК26114,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1020,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,8,,Loss on Drying,Губиток при сушење,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,6.48,ППК26114,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1021,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,—,—,,,,not tested — no certificate covers it,,
1022,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,—,—,,,,not tested — no certificate covers it,,
1023,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,—,—,,,,not tested — no certificate covers it,,
1024,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,—,—,,,,not tested — no certificate covers it,,
1025,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,not tested — no certificate covers it,,
1026,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
1027,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
1028,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-8-М/26)
1029,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-8-М/26)
1030,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-8-М/26)
1031,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,—,—,,,,not tested — no certificate covers it,,
1032,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,—,—,,,,not tested — no certificate covers it,,
1033,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,—,—,,,,not tested — no certificate covers it,,
1034,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,—,—,,,,not tested — no certificate covers it,,
1035,CoQ-PP-2026-0023,initial release,24.05.2026,≥ 30.06.2026,P060402,GG012603,Gorilla Glue,II,iCoA-PP-2026-0023,12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,"< 0,01 mg/kg — all 22 residues",3659/2026,22.06.2026,IJZ,read 09.09.2026,covered,,
1036,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
1037,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
1038,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,outside laboratory — the HPLC cannabinoid certificate discharges Ident C (Farmahem -K- or CNP); in-house iCoA P03 only where none exists,
1039,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),Per grade of the potency specification of 15.09.2026 — no Total THC result on file,—,—,,,,not tested — no certificate covers it,,14.76 (220-29-К/26)
1040,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (220-29-К/26)
1041,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (220-29-К/26)
1042,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
1043,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,8,,Loss on Drying,Губиток при сушење,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,—,—,,,,not tested — no certificate covers it,,
1044,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,—,—,,,,not tested — no certificate covers it,,
1045,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,—,—,,,,not tested — no certificate covers it,,
1046,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,—,—,,,,not tested — no certificate covers it,,
1047,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,—,—,,,,not tested — no certificate covers it,,
1048,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,not tested — no certificate covers it,,
1049,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
1050,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
1051,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (220-29-М/26)
1052,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (220-29-М/26)
1053,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (220-29-М/26)
1054,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,—,—,,,,not tested — no certificate covers it,,
1055,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,—,—,,,,not tested — no certificate covers it,,
1056,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,—,—,,,,not tested — no certificate covers it,,
1057,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,—,—,,,,not tested — no certificate covers it,,
1058,CoQ-PP-2026-0024,initial release,24.05.2026,≥ 11.05.2026,P060372,CC012603,Cash Cow,I,iCoA-PP-2026-0024,12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,—,—,,,,not tested — no certificate covers it,,
1059,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,ППК26113,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1060,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,ППК26113,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1061,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,ППК26113,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1062,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),"19.80 – 24.19 %  (grade I, nominal 22.00 ± 2.20)",20.54,ППК26113,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,14.43 (220-17-К/26)
1063,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",0.05,ППК26113,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,<LOQ (220-17-К/26)
1064,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",0.05,ППК26113,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,<LOQ (220-17-К/26)
1065,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",Conforms,ППК26113,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1066,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,8,,Loss on Drying,Губиток при сушење,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,7.52,ППК26113,30.06.2026,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1067,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,—,—,,,,not tested — no certificate covers it,,
1068,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,—,—,,,,not tested — no certificate covers it,,
1069,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,—,—,,,,not tested — no certificate covers it,,
1070,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,—,—,,,,not tested — no certificate covers it,,
1071,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,not tested — no certificate covers it,,
1072,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
1073,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
1074,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (220-17-М/26)
1075,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (220-17-М/26)
1076,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (220-17-М/26)
1077,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,—,—,,,,not tested — no certificate covers it,,
1078,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,—,—,,,,not tested — no certificate covers it,,
1079,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,—,—,,,,not tested — no certificate covers it,,
1080,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,—,—,,,,not tested — no certificate covers it,,
1081,CoQ-PP-2026-0025,initial release,24.05.2026,≥ 30.06.2026,P060412,JD012603/02,Jelly Donuts,IV,iCoA-PP-2026-0025,12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,"< 0,01 mg/kg — all 22 residues",3660/2026,22.06.2026,IJZ,read 09.09.2026,covered,,
