Seq,CoQ number,CoQ type,Basis date,Issue date,Packaged lot,Cultivation batch,Strain,Grade,iCoA reference,№,Group,Parameter,Параметар,Method / reference,Acceptance criterion,Result,Source document,Document date,Issuing institution,Report series,Status,Performed by,Also on file
14,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
15,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
16,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-2-М/26)
17,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,<2,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,ND (197-2-М/26)
18,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-2-М/26)
19,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.071,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
20,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.014,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
21,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.081,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
22,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.014,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
23,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,N.D.,751/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
