code,batch,p_lot,strain,round,campaign,tranche,tested_from,tested_to,issued,parameters,covers_in_house,note
iCoA-PP_26-001,CJ1024,,Cup Junky,initial release,,,03.03.2025,03.03.2025,03.06.2026,1 2 7,,
iCoA-PP_26-002,BSS1024,,Blue Sunset Sherbet,initial release,,,04.03.2025,04.03.2025,03.06.2026,1 2 7,,
iCoA-PP_26-003,BG1024,,Blue Gelato,initial release,,,07.03.2025,07.03.2025,03.06.2026,1 2 7,,
iCoA-PP_26-004,GG1024,,Gorilla Glue,initial release,,,11.03.2025,11.03.2025,03.06.2026,1 2 7,,
iCoA-PP_26-005,HPA1024,,HighProAmnesia,initial release,,,11.04.2025,11.04.2025,03.06.2026,1 2 4 5 7 9.1 9.2 9.3 9.4 9.5 10.2 11.1 11.2 11.3 11.4 12,4 5 9.1 9.2 9.3 9.4 9.5 10.2 11.1 11.2 11.3 11.4 12,
iCoA-PP_26-006,OPM1024,,OrangePunchMimosa,initial release,,,24.04.2025,24.04.2025,03.06.2026,1 2 4 5 7 9.1 9.2 9.3 9.4 9.5 10.2 11.1 11.2 11.3 11.4 12,4 5 9.1 9.2 9.3 9.4 9.5 10.2 11.1 11.2 11.3 11.4 12,
iCoA-PP_26-007,GP0824_02,P050022,Grape Pie,initial release,,,03.06.2025,03.06.2025,03.06.2026,1 2 7,,
iCoA-PP_26-008,GG1024_02,P050012,Gorilla Glue,initial release,,,11.06.2025,11.06.2025,03.06.2026,1 2 7,,
iCoA-PP_26-009,MB0824_04,P050032,Motor Breath,initial release,,,16.06.2025,16.06.2025,03.06.2026,1 2 7,,
iCoA-PP_26-010,HPA1024_01,P050052,High Pro Amnesia,initial release,,,27.06.2025,27.06.2025,03.06.2026,1 2 7,,
iCoA-PP_26-011,OPM1024_02,P050062,Orange Punch Mimosa,initial release,,,04.07.2025,04.07.2025,03.06.2026,1 2 7,,
iCoA-PP_26-012,GP0824_03,P050072,Grape Pie,initial release,,,14.07.2025,14.07.2025,03.06.2026,1 2 7,,
iCoA-PP_26-013,OPM1024_03,P050082,Orange Punch Mimosa,initial release,,,22.07.2025,22.07.2025,03.06.2026,1 2 7,,
iCoA-PP_26-014,GG1024_01,P050092,Gorilla Glue,initial release,,,31.07.2025,31.07.2025,03.06.2026,1 2 7,,
iCoA-PP_26-015,GP0824_01,P050102,Grape Pie,initial release,,,05.08.2025,05.08.2025,03.06.2026,1 2 7,,
iCoA-PP_26-016,MB0824_05,P050112,Motor Breath,initial release,,,25.08.2025,25.08.2025,03.06.2026,1 2 7,,
iCoA-PP_26-017,OPM052501,P050132,Orange Punch Mimosa,initial release,,,09.09.2025,09.09.2025,03.06.2026,1 2 7,,
iCoA-PP_26-018,GP052501,P050152,Grape Pie,initial release,,,25.09.2025,25.09.2025,03.06.2026,1 2 7,,
iCoA-PP_26-019,BSS1024_01/2,P050142,Blue Sunset Sherbet,initial release,,,30.09.2025,30.09.2025,03.06.2026,1 2 7,,
iCoA-PP_26-020,CJ052501-1,P050162,Cup Junky,initial release,,,30.09.2025,30.09.2025,03.06.2026,1 2 7,,
iCoA-PP_26-021,CJ052501-2,P050172,Cup Junky,initial release,,,01.10.2025,01.10.2025,03.06.2026,1 2 7,,
iCoA-PP_26-022,HPA052501,P050182,High Pro Amnesia,initial release,,,03.10.2025,03.10.2025,03.06.2026,1 2 7,,
iCoA-PP_26-023,BSS052501,P050192,Blue Sunset Sherbet,initial release,,,10.10.2025,10.10.2025,03.06.2026,1 2 4 5 7 8,4 5 8,
iCoA-PP_26-024,GP062501,P050202,Grape Pie,initial release,,,30.10.2025,30.10.2025,03.06.2026,1 2 4 5 7 8,4 5 8,
iCoA-PP_26-025,CJ062501-2,P050212,Cap Junkie,initial release,,,18.11.2025,18.11.2025,03.06.2026,1 2 7,,
iCoA-PP_26-026,CJ062501-1,P050222,Cap Junkie,initial release,,,24.11.2025,24.11.2025,03.06.2026,1 2 7,,
iCoA-PP_26-027,CJ072501,P050252,Cup Junky,initial release,,,27.11.2025,27.11.2025,03.06.2026,1 2 7,,
iCoA-PP_26-028,WC072501,P050262,Wedding Crasher,initial release,,,01.12.2025,01.12.2025,03.06.2026,1 2 7,,
iCoA-PP_26-029,PM072501,P050272,Permanent Market,initial release,,,02.12.2025,02.12.2025,03.06.2026,1 2 7,,
iCoA-PP_26-030,CLE072501,P050282,Clemosa a bud,initial release,,,03.12.2025,03.12.2025,03.06.2026,1 2 7,,
iCoA-PP_26-031,GP072501-1,P050292,Grape Pie,initial release,,,15.12.2025,15.12.2025,03.06.2026,1 2 7,,
iCoA-PP_26-032,GP072501-2,P050302,Grape Pie,initial release,,,22.12.2025,22.12.2025,03.06.2026,1 2 7,,
iCoA-PP_26-033,GP082501-1,P050312,Grape Pie,initial release,,,23.12.2025,23.12.2025,03.06.2026,1 2 7,,
iCoA-PP_26-034,GP082501-2,P050322,Grape Pie,initial release,,,26.12.2025,26.12.2025,03.06.2026,1 2 7,,
iCoA-PP_26-035,WC082501,P060012,Wedding Crasher,initial release,,,13.01.2026,13.01.2026,03.06.2026,1 2 7,,
iCoA-PP_26-036,CJ082501-1,P060022,Cap Junky,initial release,,,16.01.2026,16.01.2026,03.06.2026,1 2 7,,
iCoA-PP_26-037,CJ082501-2,P060032,Cap Junky,initial release,,,29.01.2026,29.01.2026,03.06.2026,1 2 7,,
iCoA-PP_26-038,OPM092501,P060042,Orange Punch Mimosa,initial release,,,29.01.2026,29.01.2026,03.06.2026,1 2 7,,
iCoA-PP_26-039,AB092501,P060052,Apple and Banana,initial release,,,30.01.2026,30.01.2026,03.06.2026,1 2 7,,
iCoA-PP_26-040,PM092501,P060062,Permanent Market,initial release,,,30.01.2026,30.01.2026,03.06.2026,1 2 7,,
iCoA-PP_26-041,CJ092501,P060072,Cap Junky,initial release,,,02.02.2026,02.02.2026,03.06.2026,1 2 7,,
iCoA-PP_26-042,SJ092501,P060082,Sleepy Joy,initial release,,,02.02.2026,02.02.2026,03.06.2026,1 2 7,,
iCoA-PP_26-043,GP092501,P060092,Grape Pie,initial release,,,03.02.2026,03.02.2026,03.06.2026,1 2 7,,
iCoA-PP_26-044,WED102501,P060102,Wedding Cake,initial release,,,16.02.2026,16.02.2026,03.06.2026,1 2 7,,
iCoA-PP_26-045,PUM102501,P060112,Pure Michigen,initial release,,,17.02.2026,17.02.2026,03.06.2026,1 2 7,,
iCoA-PP_26-046,ACC102501,P060122,Amnesia Core Cut,initial release,,,18.02.2026,18.02.2026,03.06.2026,1 2 7,,
iCoA-PP_26-047,CF102501,P060132,Chem Flyer,initial release,,,19.02.2026,19.02.2026,03.06.2026,1 2 7,,
iCoA-PP_26-048,GRC102501/1,P060142,Graps & Creme,initial release,,,23.02.2026,23.02.2026,03.06.2026,1 2 7,,
iCoA-PP_26-049,GP0824_02,P050022,Grape Pie,retest 1,,,05.03.2026,05.03.2026,03.06.2026,1 2 7,,
iCoA-PP_26-050,GP0824_02,P050022,Grape Pie,retest 2,,,05.03.2026,05.03.2026,03.06.2026,1 2 7,,
iCoA-PP_26-051,GP0824_03,P050072,Grape Pie,retest 2,,,05.03.2026,05.03.2026,03.06.2026,1 2 7,,
iCoA-PP_26-052,J31102501,P060152,Jokerz 31,initial release,,,05.03.2026,05.03.2026,03.06.2026,1 2 7,,
iCoA-PP_26-053,SJ102501,P060162,Sleepy Joy,initial release,,,09.03.2026,09.03.2026,03.06.2026,1 2 7,,
iCoA-PP_26-054,KC102501,P060172,Kush Crasher,initial release,,,12.03.2026,12.03.2026,03.06.2026,1 2 7,,
iCoA-PP_26-055,GRC102501-2,P060182,Graps & Creme,initial release,,,14.03.2026,14.03.2026,03.06.2026,1 2 7,,
iCoA-PP_26-056,SJ112501,P060192,Sleepy Joy,initial release,,,31.03.2026,31.03.2026,03.06.2026,1 2 7,,
iCoA-PP_26-057,J31112501,P060202,Jokerz 31,retest 1,,,09.04.2026,09.04.2026,03.06.2026,1 2 7,,
iCoA-PP_26-058,J31112501,P060202,Jokerz 31,initial release,,,17.04.2026,17.04.2026,03.06.2026,1 2 7,,
iCoA-PP_26-059,JD112501,P060212,Jelly Donutz,initial release,,,21.04.2026,21.04.2026,03.06.2026,1 2 7,,
iCoA-PP_26-060,OPM112501,P060222,Orange Punch Mimosa,initial release,,,24.04.2026,24.04.2026,03.06.2026,1 2 7,,
iCoA-PP_26-061,PM112501,P060232,Permanent Market,initial release,,,27.04.2026,27.04.2026,03.06.2026,1 2 7,,
iCoA-PP_26-062,OPM122501,P060242,Orange Punch Mimosa,initial release,,,28.04.2026,28.04.2026,03.06.2026,1 2 7,,
iCoA-PP_26-063,GG112501,P060252,Gorilla Glue,initial release,,,05.05.2026,05.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-064,GP062501,P050202,Grape Pie,retest 1,,,11.05.2026,11.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-065,GP062501,P050202,Grape Pie,retest 2,,,11.05.2026,11.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-066,GP062501,P050202,Grape Pie,retest 3,,,11.05.2026,11.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-067,GP062501,P050202,Grape Pie,retest 4,,,11.05.2026,11.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-068,GP0824_02,P050022,Grape Pie,retest 3,,,11.05.2026,11.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-069,GP0824_02,P050022,Grape Pie,retest 4,,,11.05.2026,11.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-070,GP0824_03,P050072,Grape Pie,retest 1,,,11.05.2026,11.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-071,GP0824_03,P050072,Grape Pie,retest 3,,,11.05.2026,11.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-072,J31122501,P060262,Jokerz 31,initial release,,,14.05.2026,14.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-073,CC112501,P060272,Cash Cow,initial release,,,18.05.2026,18.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-074,SCR112501,P060282,Scrambler,initial release,,,18.05.2026,18.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-075,FB112501,P060292,Fat Bastard,initial release,,,19.05.2026,19.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-076,FB012601/1,P060322,Fat Bastard,initial release,,,22.05.2026,22.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-077,P060332,P060332,CashCow,initial release,,,22.05.2026,22.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-078,FB012603V,P060392,FatBastard,initial release,,,23.05.2026,23.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-079,JD012603-02V,P060422,JellyDonutz,initial release,,,23.05.2026,23.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-080,JD012603/01,P060362,Jelly Donutz,initial release,,,23.05.2026,23.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-081,P060352,P060352,FatBastard,initial release,,,23.05.2026,23.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-082,CC012603,P060372,Cash Cow,initial release,,,24.05.2026,24.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-083,GG012603,P060402,GorillaGlue,initial release,,,24.05.2026,24.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-084,JD012603-02,P060412,JellyDonutz,initial release,,,24.05.2026,24.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-085,P060382,P060382,Scrambler,initial release,,,25.05.2026,25.05.2026,03.06.2026,1 2 7,,
iCoA-PP_26-086,BSS1024_01,P050122,Blue Sunset Sherbet,initial release,,,,,03.06.2026,1 2 7,,"no packaging date on file — testing date not stated (owner, 15.09.2026: certified all the same)"
iCoA-PP_26-087,CC042601,,Cash Cow,initial release,,,,,03.06.2026,1 2 7,,"no packaging date on file — testing date not stated (owner, 15.09.2026: certified all the same)"
iCoA-PP_26-088,FB042601,,Fat Bastard,initial release,,,,,03.06.2026,1 2 7,,"no packaging date on file — testing date not stated (owner, 15.09.2026: certified all the same)"
iCoA-PP_26-089,GG012601,,Gorilla Glue,initial release,,,,,03.06.2026,1 2 7,,"no packaging date on file — testing date not stated (owner, 15.09.2026: certified all the same)"
iCoA-PP_26-090,JD012601,,Jelly Donutz,initial release,,,,,03.06.2026,1 2 7,,"no packaging date on file — testing date not stated (owner, 15.09.2026: certified all the same)"
iCoA-PP_26-091,OPM1024_01,P050042,Orange Punch Mimosa,initial release,,,,,03.06.2026,1 2 7,,"no packaging date on file — testing date not stated (owner, 15.09.2026: certified all the same)"
iCoA-PP_26-092,SCR012601,P060342,Scrambler,initial release,,,,,03.06.2026,1 2 7,,"no packaging date on file — testing date not stated (owner, 15.09.2026: certified all the same)"
iCoA-PP_26-093,FB012603,P060432,Fat Bastard,initial release,,,15.06.2026,15.06.2026,15.06.2026,1 2 7,,
iCoA-PP_26-094,SCR022601,P060442,Scrambler,initial release,,,18.06.2026,18.06.2026,18.06.2026,1 2 7,,
iCoA-PP_26-095,FB032601,P060452,FatBastard,initial release,,,29.06.2026,29.06.2026,29.06.2026,1 2 7,,
iCoA-PP_26-096,P160012,P160012,GrapePie,initial release,,,,,06.07.2026,1 2 7,,"no packaging date on file — testing date not stated (owner, 15.09.2026: certified all the same)"
iCoA-PP_26-097,P160022,P160022,GrapePie,initial release,,,,,06.07.2026,1 2 7,,"no packaging date on file — testing date not stated (owner, 15.09.2026: certified all the same)"
iCoA-PP_26-098,P160032,P160032,GrapePie,initial release,,,,,06.07.2026,1 2 7,,"no packaging date on file — testing date not stated (owner, 15.09.2026: certified all the same)"
iCoA-PP_26-099,GG032601,P060462,GorillaGlue,initial release,,,16.07.2026,16.07.2026,16.07.2026,1 2 7,,
iCoA-PP_26-100,BG1024,,Blue Gelato,retest 1,197,Tranche 1 (sampled 21–24.07.2026),21.07.2026,21.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-101,BSS1024,,Blue Sunset Sherbet,retest 1,197,Tranche 1 (sampled 21–24.07.2026),21.07.2026,21.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-102,CJ052501-1,P050162,Cup Junky,retest 1,197,Tranche 1 (sampled 21–24.07.2026),21.07.2026,21.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-103,CJ062501-2,P050212,Cap Junkie,retest 1,197,Tranche 1 (sampled 21–24.07.2026),21.07.2026,21.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-104,CJ082501-2,P060032,Cap Junky,retest 1,197,Tranche 1 (sampled 21–24.07.2026),21.07.2026,21.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-105,P060332,P060332,CashCow,retest 1,197,Tranche 1 (sampled 21–24.07.2026),21.07.2026,21.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-106,GG1024_01,P050092,Gorilla Glue,retest 1,197,Tranche 1 (sampled 21–24.07.2026),22.07.2026,22.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-107,GP052501,P050152,Grape Pie,retest 1,197,Tranche 1 (sampled 21–24.07.2026),22.07.2026,22.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-108,GP0824_02,P050022,Grape Pie,retest 5,197,Tranche 1 (sampled 21–24.07.2026),22.07.2026,22.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-109,P060352,P060352,FatBastard,retest 1,197,Tranche 1 (sampled 21–24.07.2026),22.07.2026,22.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-110,P060402,P060402,GorillaGlue,retest 1,197,Tranche 1 (sampled 21–24.07.2026),22.07.2026,22.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-111,GP082501-2,P050322,Grape Pie,retest 1,197,Tranche 1 (sampled 21–24.07.2026),23.07.2026,23.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-112,HPA1024,,HighProAmnesia,retest 1,197,Tranche 1 (sampled 21–24.07.2026),23.07.2026,23.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-113,HPA1024_01,P050052,High Pro Amnesia,retest 1,197,Tranche 1 (sampled 21–24.07.2026),23.07.2026,23.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-114,P060152,P060152,Jokerz31,retest 1,197,Tranche 1 (sampled 21–24.07.2026),23.07.2026,23.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-115,P060212,P060212,JellyDonutz,retest 1,197,Tranche 1 (sampled 21–24.07.2026),23.07.2026,23.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-116,OPM1024,,OrangePunchMimosa,retest 1,197,Tranche 1 (sampled 21–24.07.2026),24.07.2026,24.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-117,OPM1024_02,P050062,Orange Punch Mimosa,retest 1,197,Tranche 1 (sampled 21–24.07.2026),24.07.2026,24.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-118,P060242,P060242,OrangePunchMimosa,retest 1,197,Tranche 1 (sampled 21–24.07.2026),24.07.2026,24.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-119,P060382,P060382,Scrambler,retest 1,197,Tranche 1 (sampled 21–24.07.2026),24.07.2026,24.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-120,PM092501,P060062,Permanent Market,retest 1,197,Tranche 1 (sampled 21–24.07.2026),24.07.2026,24.07.2026,27.07.2026,1 2 7,,
iCoA-PP_26-121,JD022601,P060482,JellyDonutz,initial release,,,05.08.2026,05.08.2026,05.08.2026,1 2 7,,
iCoA-PP_26-122,JD042601,P060492,Jelly Donutz,initial release,,,13.08.2026,13.08.2026,13.08.2026,1 2 7,,
iCoA-PP_26-123,ACC102501,P060122,Amnesia Core Cut,retest 1,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-124,BSS052501,P050192,Blue Sunset Sherbet,retest 1,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-125,CF102501,P060132,Chem Flyer,retest 1,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-126,CJ062501-1,P050222,Cap Junkie,retest 1,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-127,CJ082501-1,P060022,Cap Junky,retest 1,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-128,CJ092501,P060072,Cap Junky,retest 1,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-129,CLE072501,P050282,Clemosa a bud,retest 1,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-130,FB012601/1,P060322,Fat Bastard,retest 1,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-131,GG1024,,Gorilla Glue,retest 1,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-132,GP072501-2,P050302,Grape Pie,retest 1,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-133,GP0824_03,P050072,Grape Pie,retest 4,220,Tranche 2 (sampled 12–14.08.2026),12.08.2026,12.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-134,GP082501-1,P050312,Grape Pie,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-135,GP092501,P060092,Grape Pie,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-136,GRC102501-2,P060182,Graps & Creme,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-137,HPA052501,P050182,High Pro Amnesia,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-138,JD012603-02,P060412,JellyDonutz,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-139,JD012603-02V,P060422,JellyDonutz,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-140,JD012603/01,P060362,Jelly Donutz,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
iCoA-PP_26-141,KC102501,P060172,Kush Crasher,retest 1,220,Tranche 2 (sampled 12–14.08.2026),13.08.2026,13.08.2026,17.08.2026,1 2 7,,
