seq,release_date,register_ref,batch,strain,icoa_scope,ident_A,ident_B,ident_C,foreign_matter,coq_initial,coq_reissue,reissue_basis_date,outsourced_outstanding,in_register,note
60,11.05.2026,58,JD112501,Jelly Donutz,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,microbiology; physchem,Y,
61,11.05.2026,59,SCR112501,Scrambler,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,microbiology; physchem,Y,
62,30.06.2026,60,FB012603,Fat Bastard,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
63,30.06.2026,61,FB012603V,FatBastard,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
64,30.06.2026,62,GG012603,GorillaGlue,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
65,30.06.2026,63,JD012603-02,JellyDonutz,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
66,30.06.2026,64,JD012603-02V,JellyDonutz,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
67,30.06.2026,65,JD022601,JellyDonutz,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
68,06.07.2026,66,P160012,GrapePie,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
69,06.07.2026,67,P160022,GrapePie,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
70,06.07.2026,68,P160032,GrapePie,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
71,06.07.2026,69,SCR022601,Scrambler,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
72,21.07.2026,70,FB032601,FatBastard,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
73,21.07.2026,71,GG032601,GorillaGlue,IdentC only,covered by CNP,covered by CNP,required,covered by CNP,yes,,,microbiology; physchem,Y,
74,10.08.2026,72,P060152,Jokerz31,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,microbiology; physchem,Y,197-only
75,10.08.2026,73,P060212,JellyDonutz,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,microbiology; physchem,Y,197-only
76,10.08.2026,74,P060242,OrangePunchMimosa,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,microbiology; physchem,Y,197-only
77,10.08.2026,75,P060332,CashCow,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,microbiology; physchem,Y,197-only
78,10.08.2026,76,P060352,FatBastard,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,microbiology; physchem,Y,197-only
79,10.08.2026,77,P060382,Scrambler,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,microbiology; physchem,Y,197-only
80,10.08.2026,78,P060402,GorillaGlue,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,microbiology; physchem,Y,197-only
81,,—,GG1024,Gorilla Glue,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,microbiology; physchem,N,
