key,cu_batch,p_batch,series,coq_code,issue_date,rule_date,icoa_ref,icoa_issue_date,issuable
P050152|R,GP052501,P050152,retest — Tranche 1 (sampled July 2026),— at issue —,,17.08.2026,— at issue —,,no
P050162|R,CJ052501/01,P050162,retest — Tranche 1 (sampled July 2026),— at issue —,,17.08.2026,— at issue —,,no
P050182|R,HPA052501,P050182,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P050192|R,BSS052501,P050192,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,07.09.2026,— at issue —,,no
P050222|R,CJ062501/1,P050222,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P050252|R,CJ072501,P050252,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,08.09.2026,— at issue —,,no
P050262|R,WC072501,P050262,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,08.09.2026,— at issue —,,no
P050282|R,CLE072501,P050282,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P050302|R,GP072501/2,P050302,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P050312|R,GP082501/1,P050312,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P050322|R,GP082501/2,P050322,retest — Tranche 1 (sampled July 2026),— at issue —,,17.08.2026,— at issue —,,no
P060012|R,WC082501,P060012,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P060022|R,CJ082501/1,P060022,retest — not yet sampled,— at issue —,,at retest sampling,— at issue —,,no
P050292|R,GP072501/1,P050292,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,08.09.2026,— at issue —,,no
P050272|R,PM072501,P050272,retest — sampled — Tranche 2/3 (potency and mycotoxins pending),— at issue —,,08.09.2026,— at issue —,,no
P050212|R,CJ062501/2,P050212,retest — Tranche 1 (sampled July 2026),— at issue —,,17.08.2026,— at issue —,,no
P060032|R,CJ082501/2,P060032,retest — Tranche 1 (sampled July 2026),— at issue —,,17.08.2026,— at issue —,,no
