code,phenotype,dominance,dom,chemotype,processing,packaging,printed_code,file
QCSP_001_SCB-IV_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SCB-IV_v.01,RENs/SCB_Soft_Citrus_Bloom_Grade_IV.pdf
QCSP_001_SCB-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SCB-I_v.01,RENs/SCB_Soft_Citrus_Bloom_Grade_I.pdf
QCSP_001_SCR-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SCR-III_v.01,BASE_SPCs/SCR_Scrambler_Grade_III.pdf
QCSP_001_SCR-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SCR-II_v.01,BASE_SPCs/SCR_Scrambler_Grade_II.pdf
QCSP_001_SCR-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SCR-I_v.01,BASE_SPCs/SCR_Scrambler_Grade_I.pdf
QCSP_001_SH-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SH-III_v.01,BASE_SPCs/SH_Skywalker_Haze_Grade_III.pdf
QCSP_001_SH-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SH-II_v.01,BASE_SPCs/SH_Skywalker_Haze_Grade_II.pdf
QCSP_001_SH-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SH-IV_v.01,BASE_SPCs/SH_Skywalker_Haze_Grade_IV.pdf
QCSP_001_SH-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SH-I_v.01,BASE_SPCs/SH_Skywalker_Haze_Grade_I.pdf
QCSP_001_SJ-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SJ-III_v.01,BASE_SPCs/SJ_Sleepy_Joe_Grade_III.pdf
QCSP_001_SJ-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SJ-II_v.01,BASE_SPCs/SJ_Sleepy_Joe_Grade_II.pdf
QCSP_001_SJ-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SJ-IV_v.01,BASE_SPCs/SJ_Sleepy_Joe_Grade_IV.pdf
QCSP_001_SJ-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SJ-I_v.01,BASE_SPCs/SJ_Sleepy_Joe_Grade_I.pdf
QCSP_001_ST-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ST-III_v.01,RENs/ST_Shark_Tank_Grade_III.pdf
QCSP_001_ST-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ST-II_v.01,RENs/ST_Shark_Tank_Grade_II.pdf
QCSP_001_ST-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ST-IV_v.01,RENs/ST_Shark_Tank_Grade_IV.pdf
QCSP_001_ST-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ST-I_v.01,RENs/ST_Shark_Tank_Grade_I.pdf
QCSP_001_STC-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_STC-III_v.01,RENs/STC_Strawberry_Cupcakes_Grade_III.pdf
QCSP_001_STC-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_STC-II_v.01,RENs/STC_Strawberry_Cupcakes_Grade_II.pdf
QCSP_001_STC-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_STC-IV_v.01,RENs/STC_Strawberry_Cupcakes_Grade_IV.pdf
QCSP_001_STC-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_STC-I_v.01,RENs/STC_Strawberry_Cupcakes_Grade_I.pdf
QCSP_001_SUN-II_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SUN-II_v.01,T1_rename/SUN_Sunset_Sherbet_Grade_II.pdf
QCSP_001_SUN-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_SUN-I_v.01,RENs/SUN_Sunset_Sherbet_Grade_I.pdf
QCSP_001_TC-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_TC-III_v.01,RENs/TC_Tropic_Cake_Grade_III.pdf
QCSP_001_TC-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_TC-II_v.01,RENs/TC_Tropic_Cake_Grade_II.pdf
QCSP_001_TC-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_TC-IV_v.01,RENs/TC_Tropic_Cake_Grade_IV.pdf
QCSP_001_TC-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_TC-I_v.01,RENs/TC_Tropic_Cake_Grade_I.pdf
QCSP_001_TQ-III_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_TQ-III_v.01,T1_rename/TQ_Tangie_Queen_Grade_III.pdf
QCSP_001_TQ-II_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_TQ-II_v.01,RENs/TQ_Tangie_Queen_Grade_II.pdf
QCSP_001_TQ-IV_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_TQ-IV_v.01,RENs/TQ_Tangie_Queen_Grade_IV.pdf
QCSP_001_TQ-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_TQ-I_v.01,RENs/TQ_Tangie_Queen_Grade_I.pdf
QCSP_001_VG-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_VG-III_v.01,T1_rename/VG_Vanilla_Grapes_Grade_III.pdf
